Animal Number;Birth Date;Age In Days;Last Calving Date;Days In Milk;Lactation Number;Total Kick-Offs Last 7d;Peak OCC Current Lactation;Latest Lifetime Daily Yield;Total Lifetime Yield;Type;Avg. OCC Last 9 Milkings;Avg. Flow Last 7 Days;Avg. Yield Per Milking Last 7d;Total Yield In Lactation;Peak Yield;Peak Yield Day;Peak OCC Current Lactation
454;2/11/2015;3202;3/21/2023;242;7;;1365;47.0;150495;Tank;729;7.35;19.20;25622.64;136.93;43;1365
254;9/9/2013;3722;11/13/2022;321;7;;1268;38.6;143827;Tank;454;;;29957.04;133.09;49;1268
628;4/22/2016;2766;10/17/2023;32;6;;520;49.0;135567;Tank;99;8.68;36.26;2897.27;;;520
627;4/17/2016;2771;8/17/2023;93;6;;1425;52.9;146679;Tank;257;16.77;52.31;10674.56;;;1425
571;12/4/2015;2906;10/20/2023;29;6;3;822;50.1;145731;Tank;;8.35;41.03;2431.46;;;822
497;6/5/2015;3088;12/12/2022;309;6;;114;52.0;160616;Tank;;;;28840.63;112.33;31;114
453;2/10/2015;3203;10/21/2022;291;6;;1597;44.9;143886;Tank;602;;;27930.94;132.50;54;1597
855;10/7/2017;2233;11/17/2023;1;5;;;36.8;82233;Divert 2;193;5.62;14.09;28.18;;;
808;7/10/2017;2322;10/19/2023;30;5;;885;48.0;111462;Tank;42;8.56;35.55;3246.40;;;885
807;7/9/2017;2323;8/25/2023;85;5;;4542;56.8;131982;Tank;255;9.67;37.12;9279.46;;;4542
785;5/26/2017;2367;10/12/2023;37;5;;477;45.5;107783;Tank;89;8.75;34.07;3478.30;;;477
778;5/3/2017;2390;9/24/2023;55;5;;5360;46.3;110691;Tank;119;8.69;30.22;4219.30;;;5360
764;3/6/2017;2448;6/6/2023;165;5;;1180;45.1;110525;Tank;;9.31;36.63;17444.06;124.27;42;1180
747;1/13/2017;2500;4/23/2023;209;5;1;2280;49.8;124529;Tank;32;11.94;37.97;24489.77;148.27;62;2280
738;12/15/2016;2529;1/28/2023;294;5;;1537;43.0;108635;Tank;383;12.91;25.82;22853.17;95.49;114;1537
736;12/11/2016;2533;3/9/2023;254;5;;268;49.2;124545;Tank;20;7.38;31.55;24435.58;120.36;60;268
729;11/26/2016;2548;5/31/2023;171;5;;280;55.8;142180;Tank;65;9.99;58.78;22536.23;160.46;130;280
