animal_number,milk_flow_duration_mean,yield_visit_mean,yield_lf_visit_mean,yield_lr_visit_mean,yield_rr_visit_mean,yield_rf_visit_mean,peak_flow_rf_mean,peak_flow_lf_mean,peak_flow_rr_mean,peak_flow_lr_mean,notmilk_visit_duration_mean,interval_sec_mean
454,381.2437106918239,18.092106918238994,3.7753459119496853,5.109465408805031,5.893915094339623,3.313380503144654,1.3700943396226415,1.7828301886792455,1.6134591194968555,1.4116981132075472,96.58647798742139,31513.775157232703
571,450.4,17.54733333333333,3.5151666666666666,6.301666666666667,4.934333333333333,2.7961666666666667,1.256,1.172,1.7020000000000002,1.48,89.6,37775.433333333334
627,244.5040322580645,19.376451612903224,3.7845564516129033,5.40133064516129,5.924314516129033,4.26625,2.429274193548387,2.2369354838709676,2.6366129032258065,2.398306451612903,96.625,31303.342741935485
628,332.9367088607595,16.635189873417723,4.160886075949366,6.386075949367089,6.088227848101266,,,1.5015189873417722,1.9625316455696202,1.9518987341772152,79.46835443037975,33534.81012658228
686,316.45536609829486,20.46792377131394,4.4613340020060175,5.744543630892679,5.596850551654965,4.665195586760281,1.9926980942828485,2.2011634904714144,2.050110330992979,1.8813640922768304,91.38816449348045,30134.228686058173
703,260.2350230414747,18.23327188940092,4.687019969278034,5.045007680491552,4.097880184331797,4.403364055299539,1.9820276497695852,2.383225806451613,1.850967741935484,1.9518894009216592,93.036866359447,31739.483870967742
722,588.1662870159454,23.306697038724373,6.622357630979499,4.288929384965831,6.439521640091116,5.955888382687927,1.237995444191344,1.3235535307517083,1.3260820045558086,0.9798861047835992,96.36674259681094,34905.1993166287
723,228.4125,15.708250000000001,4.248125,4.531750000000001,3.52725,3.4011250000000004,1.8967500000000002,2.25375,2.166,2.29275,95.5875,35950.5
729,412.6422857142857,22.58470857142857,5.383737142857143,5.155028571428571,5.5925714285714285,6.453371428571429,1.6917257142857143,1.5071999999999999,1.6426971428571426,1.5077485714285714,108.70628571428571,36239.78057142857
736,402.33248730964465,16.62739847715736,3.168426395939086,4.675939086294416,5.121205583756345,3.6618274111675126,1.215761421319797,1.0776395939086294,1.2705837563451776,1.2482741116751268,94.57106598984771,34134.47461928934
738,217.31791221826808,12.20393831553974,2.8558837485172006,0.6039027283511269,6.012431791221826,2.731720047449585,2.401067615658363,2.3234163701067616,2.9802135231316726,1.1608540925266904,97.27283511269276,29452.582443653617
747,316.5352941176471,19.543220588235293,5.193264705882353,4.776058823529412,4.61975,4.95414705882353,1.9403823529411766,2.0537647058823527,1.8238235294117648,1.6591764705882353,103.37647058823529,33721.29705882353
764,353.47777777777776,16.88301388888889,5.174958333333333,5.643083333333333,1.4248194444444442,4.640152777777778,1.6041666666666667,1.7285833333333331,0.97925,1.5620833333333335,96.85555555555555,33676.44583333333
778,304.13375796178343,11.90375796178344,,4.984140127388535,3.700891719745223,3.2187261146496815,1.7281528662420382,,1.2668789808917198,2.025095541401274,81.85350318471338,28076.229299363058
