animal_number,kickoff_lf_sum,kickoff_lr_sum,kickoff_rf_sum,kickoff_rr_sum,kickoff_front_sum,kickoff_back_sum,kickoff_any_sum,total_yield,total_visits,kickoff_lf_perc,kickoff_lr_perc,kickoff_rf_perc,kickoff_rr_perc,kickoff_front_perc,kickoff_back_perc,kickoff_any_perc
454,5,38,3,18,8,51,53,11622.23,651,0.7680491551459293,5.837173579109063,0.4608294930875576,2.7649769585253456,1.228878648233487,7.834101382488479,8.141321044546851
571,2,13,5,13,7,21,23,1102.89,64,3.125,20.3125,7.8125,20.3125,10.9375,32.8125,35.9375
627,0,0,0,0,0,0,0,4841.9,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,0,0,0,1,0,1,1,1314.18,79,0.0,0.0,0.0,1.2658227848101267,0.0,1.2658227848101267,1.2658227848101267
686,1,9,1,6,2,15,16,20687.2,1016,0.09842519685039369,0.8858267716535433,0.09842519685039369,0.5905511811023622,0.19685039370078738,1.4763779527559056,1.574803149606299
703,1,2,4,0,4,2,6,11946.1,658,0.1519756838905775,0.303951367781155,0.60790273556231,0.0,0.60790273556231,0.303951367781155,0.911854103343465
722,0,1,0,0,0,1,1,20737.51,895,0.0,0.11173184357541899,0.0,0.0,0.0,0.11173184357541899,0.11173184357541899
723,0,0,0,0,0,0,0,1279.05,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,6,14,1,9,7,21,21,20004.29,896,0.6696428571428571,1.5625,0.11160714285714285,1.0044642857142858,0.78125,2.34375,2.34375
736,4,7,3,4,7,11,14,13230.75,801,0.4993757802746567,0.8739076154806492,0.37453183520599254,0.4993757802746567,0.8739076154806492,1.373283395755306,1.7478152309612984
738,6,3,1,1,7,4,5,10366.02,851,0.7050528789659225,0.35252643948296125,0.11750881316098707,0.11750881316098707,0.8225616921269095,0.4700352526439483,0.5875440658049353
747,3,21,6,6,8,27,32,13483.5,698,0.42979942693409745,3.0085959885386817,0.8595988538681949,0.8595988538681949,1.146131805157593,3.8681948424068766,4.584527220630372
764,5,3,3,1,8,4,7,12333.85,733,0.6821282401091405,0.4092769440654843,0.4092769440654843,0.1364256480218281,1.0914051841746248,0.5457025920873124,0.9549795361527967
778,0,0,2,0,2,0,2,1913.84,163,0.0,0.0,1.2269938650306749,0.0,1.2269938650306749,0.0,1.2269938650306749
785,0,0,0,1,0,1,1,1577.73,113,0.0,0.0,0.0,0.8849557522123894,0.0,0.8849557522123894,0.8849557522123894
807,0,2,1,1,1,3,4,4209.09,275,0.0,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.090909090909091,1.4545454545454546
