cow,farmname,robotside,filename,directory,date,time,size,computer,animal_number,lactation_number,begin_time,end_time,yield,days_in_milk,conductivity_lf,conductivity_lr,conductivity_rf,conductivity_rr,mean_flow_lf,mean_flow_lr,mean_flow_rf,mean_flow_rr,milk_flow_duration,occ,peak_flow_lr,peak_flow_rf,peak_flow_rr,peak_flow_lf,teats_not_found,yield_lf,yield_lr,yield_rf,yield_rr,interval,kickoff,kickoff_lf,kickoff_lr,kickoff_milkings,kickoff_rf,kickoff_rr,alternative_attach,device_name,incomplete,is_incomplete,incomplete_milkings
764,laufenberg,right,0764_20231117_144922.bag,videos_1,20231117,14:49:54,3807979957,maria,764,5,2023-11-17 14:49:00,2:58 PM,18.84,164.0,4.29,4.25,4.36,6.13,1.14,1.2,1.14,0.6,382.0,,1.62,1.74,1.14,1.8,,5.83,6.79,5.37,0.85,08:58:24,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_3,,Unchecked,0.0
902,laufenberg,right,0902_20231117_142952.bag,videos_1,20231117,14:30:30,4303784100,maria,902,4,2023-11-17 14:28:00,2:39 PM,22.49,65.0,5.29,4.51,,4.07,0.9,1.44,,1.44,422.0,,1.92,,1.86,1.26,,5.04,8.33,,9.12,13:45:15,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_3,,Unchecked,0.0
970,laufenberg,right,0970_20231117_150812.bag,videos_1,20231117,15:08:38,2800097357,maria,970,4,2023-11-17 15:08:00,3:15 PM,22.4,165.0,4.16,3.98,3.89,3.92,1.44,1.68,1.5,1.5,310.0,,2.28,2.04,1.92,2.1,,4.37,6.26,4.94,6.83,12:23:12,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_3,,Unchecked,0.0
973,laufenberg,right,0973_20231117_135700.bag,videos_1,20231117,13:57:48,5620008570,maria,973,3,2023-11-17 13:56:00,2:09 PM,26.54,313.0,4.66,4.42,4.34,4.32,1.02,1.08,0.78,0.84,558.0,,1.56,1.2,1.32,1.44,,6.68,6.64,6.2,7.02,19:20:32,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_4,,Unchecked,0.0
1116,laufenberg,right,1116_20231117_141845.bag,videos_1,20231117,14:19:42,6708885177,maria,1116,3,2023-11-17 14:17:00,2:27 PM,24.88,105.0,4.4,4.36,4.48,4.32,1.14,1.44,1.26,1.32,362.0,,1.86,1.68,1.74,1.56,,4.62,7.62,5.75,6.89,12:23:57,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_4,,Unchecked,0.0
1184,laufenberg,right,1184_20231117_172549.bag,videos_1,20231117,17:26:08,1592799059,maria,1184,3,2023-11-17 17:24:00,5:32 PM,16.67,4.0,4.13,4.22,4.34,4.0,2.04,1.74,1.5,1.74,213.0,,2.34,1.98,2.4,2.94,,3.58,4.99,3.5,4.6,10:53:25,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_4,,Unchecked,0.0
1223,laufenberg,right,1223_20231117_110830.bag,videos_1,20231117,11:09:04,3923648168,maria,1223,2,2023-11-17 11:07:00,11:13 AM,9.82,312.0,4.14,4.1,4.22,3.96,1.32,1.44,1.38,1.38,165.0,,1.98,1.98,1.98,1.92,,2.1,3.01,2.36,2.35,05:54:42,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_4,,Unchecked,0.0
1223,laufenberg,right,1223_20231117_160714.bag,videos_1,20231117,16:07:28,1424044502,maria,1223,2,2023-11-17 16:26:00,4:32 PM,9.81,312.0,3.99,4.16,4.21,3.99,0.84,1.26,1.02,1.02,203.0,,1.92,1.5,1.56,1.38,,1.97,3.12,2.32,2.4,05:12:51,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_4,,Unchecked,0.0
1223,laufenberg,right,1223_20231117_162703.bag,videos_1,20231117,16:27:16,1396124589,maria,1223,2,2023-11-17 16:26:00,4:32 PM,9.81,312.0,3.99,4.16,4.21,3.99,0.84,1.26,1.02,1.02,203.0,,1.92,1.5,1.56,1.38,,1.97,3.12,2.32,2.4,05:12:51,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_4,,Unchecked,0.0
1236,laufenberg,right,1236_20231117_142505.bag,videos_1,20231117,14:25:42,4112333268,maria,1236,2,2023-11-17 14:24:00,2:34 PM,15.9,203.0,4.38,4.46,4.38,4.59,0.72,0.72,1.14,0.78,446.0,8.0,1.02,1.56,1.08,1.02,,3.48,4.48,3.79,4.15,08:52:44,,Unchecked,Unchecked,0.0,Unchecked,Unchecked,Normal,VMS_2,,Unchecked,0.0
