animal_number,yield_lf_visit_sum,yield_lr_visit_sum,yield_rr_visit_sum,yield_rf_visit_sum,interval_visit_mean
454,2432.15,3276.69,3782.15,2131.24,31594.31643625192
571,225.47,392.54,309.63,175.25,37965.25
627,948.77,1347.54,1480.53,1065.06,31442.34
628,328.71,504.5,480.97,0.0,33534.81012658228
686,4501.31,5808.03,5664.09,4713.77,30266.279527559054
703,3071.63,3305.01,2690.85,2878.61,31691.065349544075
722,5906.6,3790.15,5740.74,5300.0199999999995,35002.581005586595
723,346.0,369.71999999999997,287.01,276.32,36978.04878048781
729,4776.2,4548.33,4953.81,5725.95,36087.228794642855
736,2524.63,3707.99,4089.27,2908.86,34144.24968789014
738,2413.85,516.67,5113.56,2321.94,29487.282021151586
747,3588.87,3288.75,3187.78,3418.1,33639.46418338109
764,3760.88,4127.59,1047.17,3398.21,33631.32878581173
778,0.0,806.19,597.99,509.66,28509.0736196319
785,354.1,402.67,409.78,411.18,27255.610619469026
807,981.92,1327.89,805.39,1093.89,25957.316363636364
808,315.55,475.49,454.83,226.67,23954.961165048542
833,8.64,3187.35,2434.74,1961.38,27509.892430278884
837,4260.45,3404.89,4508.41,0.0,31257.81582733813
842,0.0,5196.01,5897.25,3122.81,30775.94669756663
855,4627.19,3229.41,3432.95,0.0,31023.127296587925
856,3983.51,5379.29,3335.86,3774.12,29242.572265625
861,1575.62,2468.57,2441.57,1691.18,22752.521452145214
868,834.14,887.99,936.34,742.16,24553.138095238097
896,2968.34,3399.27,3393.2,2922.82,32280.866488651536
897,3053.72,5966.72,5434.81,3528.21,33573.052
902,747.62,948.01,1109.72,0.0,32111.13294797688
904,3417.73,5003.67,3982.92,3173.16,29271.831797235023
905,2155.88,5035.52,4724.86,2465.89,26150.418095238096
912,2819.3,3792.21,3850.44,3681.22,33311.31627296588
915,3599.41,5104.53,5155.81,3879.68,33596.980891719744
921,2707.6,3741.13,3533.78,2777.11,31191.443383356072
922,2168.78,2121.44,2358.42,2337.77,31407.30971659919
924,1638.86,862.8,949.51,1604.09,22617.62951807229
925,2952.49,4611.16,3937.48,2795.13,43016.39835164835
929,197.68,159.63,163.58,145.85,33801.75
935,4937.87,5038.16,4610.28,15.07,31778.222702702704
948,1711.65,5827.64,5918.98,5199.95,27023.190476190477
962,3175.66,5307.6,4774.74,2488.16,30466.20923076923
