cow,dinc_cl,dim,dinc_dim_cl,dinc_7d,dinc_dim_7d,vinc_cl,visits_cl,vinc_nv_cl,vinc_7d,visits_7d,vinc_nv_7d
254,10,320,3.125,,,13,809,1.6069221260815822,,,
453,8,291,2.7491408934707904,,,8,804,0.9950248756218906,,,
454,13,241,5.394190871369295,4.0,57.14285714285714,15,651,2.3041474654377883,6.0,18.0,33.33333333333333
497,14,309,4.53074433656958,,,15,726,2.066115702479339,,,
571,4,28,14.285714285714285,2.0,28.57142857142857,4,64,6.25,2.0,17.0,11.76470588235294
627,2,93,2.1505376344086025,0.0,0.0,2,251,0.796812749003984,0.0,17.0,0.0
628,0,31,0.0,0.0,0.0,0,79,0.0,0.0,21.0,0.0
686,3,50,6.0,1.0,14.285714285714285,3,154,1.948051948051948,1.0,24.0,4.166666666666666
703,6,244,2.459016393442623,0.0,0.0,7,658,1.0638297872340423,0.0,19.0,0.0
711,7,337,2.0771513353115725,0.0,0.0,7,911,0.7683863885839737,0.0,3.0,0.0
722,0,117,0.0,0.0,0.0,0,318,0.0,0.0,19.0,0.0
723,2,35,5.714285714285714,0.0,0.0,2,82,2.4390243902439024,0.0,14.0,0.0
729,7,170,4.117647058823529,0.0,0.0,7,430,1.627906976744186,0.0,18.0,0.0
736,12,253,4.743083003952568,0.0,0.0,13,645,2.0155038759689923,0.0,17.0,0.0
738,8,293,2.7303754266211606,0.0,0.0,8,851,0.9400705052878966,0.0,20.0,0.0
747,9,208,4.326923076923077,0.0,0.0,9,537,1.675977653631285,0.0,18.0,0.0
764,11,164,6.707317073170732,0.0,0.0,12,460,2.608695652173913,0.0,19.0,0.0
778,4,54,7.4074074074074066,0.0,0.0,6,163,3.6809815950920246,0.0,26.0,0.0
783,12,453,2.6490066225165565,,,12,955,1.256544502617801,,,
785,0,36,0.0,0.0,0.0,0,113,0.0,0.0,24.0,0.0
791,22,331,6.646525679758309,,,23,714,3.221288515406162,,,
807,5,84,5.952380952380952,0.0,0.0,5,275,1.818181818181818,0.0,25.0,0.0
808,0,30,0.0,0.0,0.0,0,104,0.0,0.0,27.0,0.0
810,3,273,1.098901098901099,,,4,700,0.5714285714285714,,,
828,7,308,2.272727272727273,,,7,970,0.7216494845360825,,,
833,10,162,6.172839506172839,0.0,0.0,23,502,4.581673306772909,0.0,19.0,0.0
837,3,255,1.1764705882352942,0.0,0.0,3,696,0.4310344827586206,0.0,19.0,0.0
842,3,219,1.36986301369863,0.0,0.0,3,642,0.4672897196261681,0.0,18.0,0.0
855,0,0,,,,0,2,0.0,,,
856,13,121,10.743801652892564,1.0,14.285714285714285,14,400,3.5000000000000004,1.0,22.0,4.545454545454546
861,3,162,1.851851851851852,0.0,0.0,3,606,0.495049504950495,0.0,24.0,0.0
868,6,60,10.0,0.0,0.0,6,210,2.857142857142857,0.0,22.0,0.0
872,7,280,2.5,0.0,0.0,9,785,1.1464968152866242,0.0,2.0,0.0
896,9,284,3.169014084507042,1.0,14.285714285714285,9,749,1.2016021361815754,1.0,18.0,5.555555555555555
897,9,201,4.477611940298507,1.0,14.285714285714285,10,546,1.831501831501832,1.0,19.0,5.263157894736842
902,3,65,4.615384615384616,1.0,14.285714285714285,4,173,2.312138728323699,1.0,19.0,5.263157894736842
904,9,125,7.199999999999999,1.0,14.285714285714285,10,414,2.415458937198068,1.0,24.0,4.166666666666666
905,9,288,3.125,0.0,0.0,9,977,0.9211873080859776,0.0,20.0,0.0
911,12,293,4.09556313993174,0.0,0.0,12,826,1.452784503631961,0.0,2.0,0.0
912,7,278,2.5179856115107917,0.0,0.0,8,732,1.092896174863388,0.0,10.0,0.0
915,16,246,6.504065040650407,1.0,14.285714285714285,18,652,2.7607361963190185,1.0,19.0,5.263157894736842
921,5,249,2.0080321285140563,0.0,0.0,5,686,0.7288629737609329,0.0,18.0,0.0
922,3,181,1.6574585635359116,0.0,0.0,3,494,0.6072874493927125,0.0,17.0,0.0
924,5,88,5.681818181818182,0.0,0.0,7,332,2.108433734939759,0.0,26.0,0.0
925,8,192,4.166666666666666,0.0,0.0,8,406,1.9704433497536944,0.0,14.0,0.0
929,0,14,0.0,0.0,0.0,0,36,0.0,0.0,20.0,0.0
935,4,91,4.395604395604396,0.0,0.0,5,269,1.858736059479554,0.0,23.0,0.0
937,11,356,3.089887640449438,0.0,0.0,11,715,1.5384615384615383,0.0,2.0,0.0
948,14,437,3.203661327231121,0.0,0.0,18,1260,1.4285714285714286,0.0,17.0,0.0
956,2,384,0.5208333333333333,,,2,919,0.2176278563656148,,,
957,11,335,3.2835820895522385,0.0,0.0,13,790,1.6455696202531649,0.0,2.0,0.0
962,4,118,3.389830508474576,1.0,14.285714285714285,4,375,1.0666666666666669,1.0,22.0,4.545454545454546
968,8,359,2.2284122562674096,,,8,975,0.8205128205128205,,,
970,14,165,8.484848484848486,1.0,14.285714285714285,16,541,2.957486136783734,1.0,19.0,5.263157894736842
971,5,70,7.142857142857142,0.0,0.0,5,204,2.450980392156863,0.0,23.0,0.0
973,17,313,5.431309904153355,0.0,0.0,19,848,2.240566037735849,0.0,13.0,0.0
975,2,147,1.3605442176870748,0.0,0.0,2,462,0.4329004329004329,0.0,21.0,0.0
978,6,234,2.564102564102564,0.0,0.0,6,775,0.7741935483870968,0.0,21.0,0.0
981,0,24,0.0,0.0,0.0,0,76,0.0,0.0,25.0,0.0
985,11,326,3.374233128834356,0.0,0.0,11,970,1.134020618556701,0.0,2.0,0.0
986,4,110,3.636363636363636,0.0,0.0,4,288,1.3888888888888888,0.0,18.0,0.0
1003,4,115,3.4782608695652173,0.0,0.0,4,430,0.9302325581395348,0.0,25.0,0.0
1014,11,407,2.702702702702702,,,11,984,1.1178861788617886,,,
1023,5,118,4.23728813559322,0.0,0.0,5,347,1.440922190201729,0.0,22.0,0.0
1036,29,345,8.405797101449275,,,38,850,4.470588235294118,,,
1039,12,302,3.9735099337748343,0.0,0.0,12,690,1.7391304347826086,0.0,19.0,0.0
1040,3,214,1.4018691588785046,0.0,0.0,5,546,0.9157509157509158,0.0,18.0,0.0
1042,15,286,5.244755244755245,,,16,657,2.43531202435312,,,
1052,15,252,5.952380952380952,,,24,765,3.1372549019607843,,,
1056,10,315,3.1746031746031744,,,10,800,1.25,,,
1057,1,20,5.0,0.0,0.0,1,45,2.2222222222222223,0.0,14.0,0.0
1058,14,445,3.146067415730337,0.0,0.0,14,1193,1.173512154233026,0.0,18.0,0.0
1061,4,284,1.4084507042253522,0.0,0.0,4,796,0.5025125628140703,0.0,15.0,0.0
1065,37,294,12.585034013605442,,,39,717,5.439330543933055,,,
1067,15,215,6.976744186046512,0.0,0.0,18,712,2.528089887640449,0.0,22.0,0.0
1074,5,223,2.242152466367713,0.0,0.0,5,749,0.6675567423230975,0.0,23.0,0.0
1078,47,306,15.359477124183009,0.0,0.0,58,1280,4.53125,0.0,2.0,0.0
