cow,lactation_number,dko_lb_cl,dko_lf_cl,dko_rb_cl,dko_rf_cl,dko_udder_cl,dim,dko_lb_dim_cl,dko_lf_dim_cl,dko_rf_dim_cl,dko_rb_dim_cl,dko_udder_dim_cl,dko_lb_7d,dko_lf_7d,dko_rb_7d,dko_rf_7d,dko_udder_7d,dko_lb_nd_7d,dko_lf_nd_7d,dko_rf_nd_7d,dko_rb_nd_7d,dko_udder_nd_7d,vko_lb_cl,vko_lf_cl,vko_rb_cl,vko_rf_cl,vko_udder_cl,visits_cl,vko_lb_nv_cl,vko_lf_nv_cl,vko_rf_nv_cl,vko_rb_nv_cl,vko_udder_nv_cl,vko_lb_7d,vko_lf_7d,vko_rb_7d,vko_rf_7d,vko_udder_7d,visits_7d,vko_lb_nv_7d,vko_lf_nv_7d,vko_rf_nv_7d,vko_rb_nv_7d,vko_udder_nv_7d
254,7,2.0,,12.0,86.0,96,320,0.625,,26.875,3.75,30.0,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,2.0,,12.0,113.0,124,800,0.25,,14.124999999999998,1.5,15.5,,,,,,,,,,,
453,6,0.0,0.0,0.0,1.0,1,291,0.0,0.0,0.3436426116838488,0.0,0.3436426116838488,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,715,0.0,0.0,0.1398601398601398,0.0,0.1398601398601398,,,,,,,,,,,
454,7,36.0,5.0,17.0,3.0,49,241,14.937759336099584,2.0746887966804977,1.2448132780082988,7.053941908713693,20.33195020746888,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,18.0,3.0,57,651,5.837173579109063,0.7680491551459293,0.4608294930875576,2.7649769585253456,8.755760368663594,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
497,6,12.0,2.0,9.0,0.0,22,309,3.883495145631068,0.6472491909385114,0.0,2.912621359223301,7.119741100323624,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,0.0,22,726,1.6528925619834711,0.2754820936639118,0.0,1.2396694214876034,3.0303030303030303,,,,,,,,,,,
571,6,11.0,2.0,11.0,5.0,19,28,39.285714285714285,7.142857142857142,17.857142857142858,39.285714285714285,67.85714285714286,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,13.0,5.0,24,64,20.3125,3.125,7.8125,20.3125,37.5,1.0,1.0,1.0,3.0,4.0,17.0,5.88235294117647,5.88235294117647,17.647058823529413,5.88235294117647,23.52941176470588
627,6,0.0,0.0,0.0,0.0,0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
628,6,0.0,0.0,1.0,,1,31,0.0,0.0,,3.225806451612903,3.225806451612903,0.0,0.0,0.0,,0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,1,79,0.0,0.0,,1.2658227848101269,1.2658227848101269,0.0,0.0,0.0,,0.0,21.0,0.0,0.0,,0.0,0.0
686,5,1.0,0.0,0.0,0.0,1,50,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,154,1.2987012987012987,0.0,0.0,0.0,1.2987012987012987,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
703,5,2.0,1.0,0.0,4.0,6,244,0.819672131147541,0.4098360655737705,1.639344262295082,0.0,2.459016393442623,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,6,658,0.303951367781155,0.1519756838905775,0.60790273556231,0.0,0.911854103343465,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
711,5,2.0,0.0,0.0,2.0,4,337,0.5934718100890208,0.0,0.5934718100890208,0.0,1.1869436201780417,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4,911,0.2195389681668496,0.0,0.2195389681668496,0.0,0.4390779363336992,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
722,5,0.0,0.0,0.0,0.0,0,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
723,5,0.0,0.0,0.0,0.0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
729,5,1.0,1.0,1.0,0.0,3,170,0.5882352941176471,0.5882352941176471,0.0,0.5882352941176471,1.7647058823529411,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,430,0.2325581395348837,0.2325581395348837,0.0,0.2325581395348837,0.6976744186046512,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
