cow,peak_flow_lf_cl,peak_flow_lb_cl,peak_flow_rf_cl,peak_flow_rb_cl,dim,peak_flow_lf_7d,peak_flow_lb_7d,peak_flow_rf_7d,peak_flow_rb_7d
254,,2.282150803461063,1.5098640296662547,1.284548825710754,320,,,,
453,1.8407462686567164,1.8844776119402986,1.4007462686567165,1.5909701492537314,291,,,,
454,1.7727188940092165,1.4030414746543778,1.3640552995391706,1.603379416282642,241,1.4433333333333334,1.26,1.2266666666666666,1.4833333333333334
497,1.4325619834710743,1.6869421487603307,1.4211570247933885,2.1544628099173555,309,,,,
571,1.17375,1.4728125,1.23,1.6940625,28,1.1294117647058823,1.4505882352941177,1.2352941176470589,1.588235294117647
627,2.237211155378486,2.400239043824701,2.4279681274900398,2.6368924302788845,93,2.3188235294117647,2.7282352941176473,2.4,2.7388235294117647
628,1.5015189873417722,1.9518987341772152,,1.9625316455696202,31,1.477142857142857,1.8771428571428572,,1.9514285714285715
686,2.04,1.734935064935065,1.8522077922077922,1.9948051948051948,50,1.9800000000000002,1.7300000000000002,1.7525000000000002,1.8375000000000001
703,2.37838905775076,1.9500911854103344,1.974255319148936,1.8495136778115502,244,2.412631578947368,1.9610526315789472,1.9799999999999998,1.9200000000000002
711,1.2399121844127332,1.8367508232711307,1.737694840834248,1.7905817782656421,337,1.3800000000000001,1.7,1.54,1.72
722,1.3447169811320754,1.0167924528301886,1.1811320754716983,1.3279245283018868,117,1.3263157894736841,0.9442105263157895,1.2978947368421052,1.2757894736842104
723,2.241219512195122,2.276341463414634,1.889268292682927,2.147560975609756,35,2.442857142857143,2.472857142857143,2.1471428571428572,2.1342857142857143
729,1.545767441860465,1.535720930232558,1.7328837209302326,1.658093023255814,170,1.5766666666666667,1.53,1.6766666666666667,1.62
736,1.0727441860465117,1.2203720930232558,1.2060465116279069,1.2626046511627906,253,1.0447058823529412,1.224705882352941,1.256470588235294,1.2811764705882354
738,2.3112338425381904,1.1615746180963573,2.4012690951821387,2.9773678025851935,293,2.319,1.05,2.181,3.0149999999999997
747,2.0691620111731845,1.68,1.9873743016759777,1.850949720670391,208,2.106666666666667,1.6366666666666667,1.9933333333333334,1.8066666666666669
764,1.6550869565217392,1.5035217391304347,1.5747391304347826,1.0129565217391303,164,1.7684210526315791,1.676842105263158,1.651578947368421,1.0042105263157894
778,,2.0182822085889573,1.7072392638036809,1.2677300613496931,54,,2.1530769230769233,1.8138461538461539,1.3223076923076924
783,1.694198952879581,1.267476439790576,1.5889633507853405,1.3475183246073297,453,,,,
785,1.291858407079646,1.3794690265486724,1.3858407079646018,1.553628318584071,36,1.2725,1.315,1.3575,1.5525
791,1.9343697478991597,2.1122689075630254,2.1272268907563023,2.0457983193277314,331,,,,
807,1.9261090909090912,1.7777454545454545,1.2955636363636363,1.5521454545454545,84,1.8119999999999998,1.824,1.1256,1.4808000000000001
808,1.453269230769231,1.8853846153846154,1.1359615384615385,1.771730769230769,30,1.4222222222222223,1.6577777777777778,0.9955555555555555,1.6177777777777778
810,1.4172857142857143,2.0591142857142857,1.6576285714285712,1.7467714285714286,273,,,,
828,0.9770103092783505,1.3023092783505155,1.3214226804123712,1.2169484536082475,308,,,,
833,0.8842105263157896,1.7126294820717132,1.2352589641434264,1.5964541832669321,162,,1.8,0.9031578947368422,1.62
837,2.2905172413793102,1.7767241379310343,,2.294137931034483,255,2.1189473684210527,1.730526315789474,,2.156842105263158
