cow,dudder_cl,dtnf_lb_cl,dtnf_lf_cl,dtnf_rf_cl,dtnf_rb_cl,all_cl_x,dim,dtnf_udder_dim_cl,dtnf_lf_dim_cl,dtnf_lb_dim_cl,dtnf_rf_dim_cl,dtnf_rb_dim_cl,dtnf_all_dim_cl,dudder_7d_x,dtnf_lb_7d_x,dtnf_lf_7d_x,dtnf_rf_7d_x,dtnf_rb_7d_x,all_7d_x,dtnf_udder_dim_7d_x,dtnf_lf_dim_7d_x,dtnf_lb_dim_7d_x,dtnf_rf_dim_7d_x,dtnf_rb_dim_7d_x,dtnf_all_dim_7d_x,vudder_cl,vtnf_lb_cl,vtnf_lf_cl,vtnf_rf_cl,vtnf_rb_cl,all_cl_y,visits_cl,vtnf_udder_nv_cl,vtnf_lf_nv_cl,vtnf_lb_nv_cl,vtnf_rf_nv_cl,vtnf_rb_nv_cl,vtnf_all_nv_cl,dudder_7d_y,dtnf_lb_7d_y,dtnf_lf_7d_y,dtnf_rf_7d_y,dtnf_rb_7d_y,all_7d_y,dtnf_udder_dim_7d_y,dtnf_lf_dim_7d_y,dtnf_lb_dim_7d_y,dtnf_rf_dim_7d_y,dtnf_rb_dim_7d_y,dtnf_all_dim_7d_y
254,6,0,0,2,4,0.0,320,1.875,0.0,0.0,0.625,1.25,0.0,,,,,,,,,,,,,0,0.0,0.0,2.0,4.0,0.0,809,0.0,0.0,0.0,0.2472187886279357,0.4944375772558714,0.0,,,,,,,,,,,,
453,6,2,2,1,1,1.0,291,2.0618556701030926,0.6872852233676976,0.6872852233676976,0.3436426116838488,0.3436426116838488,0.3436426116838488,,,,,,,,,,,,,0,2.0,2.0,1.0,1.0,1.0,804,0.0,0.24875621890547264,0.24875621890547264,0.12437810945273632,0.12437810945273632,0.12437810945273632,,,,,,,,,,,,
454,3,2,0,1,2,0.0,241,1.2448132780082988,0.0,0.8298755186721992,0.4149377593360996,0.8298755186721992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,2.0,0.0,651,0.0,0.0,0.30721966205837176,0.15360983102918588,0.30721966205837176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,7,2,3,2,2,1.0,309,2.26537216828479,0.9708737864077669,0.6472491909385114,0.6472491909385114,0.6472491909385114,0.3236245954692557,,,,,,,,,,,,,0,2.0,3.0,2.0,2.0,1.0,726,0.0,0.4132231404958678,0.27548209366391185,0.27548209366391185,0.27548209366391185,0.13774104683195593,,,,,,,,,,,,
571,1,0,0,1,0,0.0,28,3.571428571428571,0.0,0.0,3.571428571428571,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,64,0.0,0.0,0.0,1.5625,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0
627,0,0,0,0,0,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,0,0,0,0,0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,3,1,0,1,1,0.0,50,6.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0,1.0,0.0,1.0,1.0,0.0,154,0.0,0.0,0.6493506493506493,0.6493506493506493,0.6493506493506493,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0
703,5,1,1,3,0,0.0,244,2.0491803278688523,0.4098360655737705,0.4098360655737705,1.2295081967213115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,3.0,0.0,0.0,658,0.0,0.1519756838905775,0.1519756838905775,0.4559270516717325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,4,3,0,0,1,0.0,337,1.1869436201780417,0.0,0.8902077151335311,0.0,0.2967359050445104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,911,0.0,0.0,0.3293084522502744,0.0,0.10976948408342481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
