cow,dyield_cl,dyield_lb_cl,dyield_lf_cl,dyield_rb_cl,dyield_rf_cl,dim,dyield_dim_cl,dyield_rb_dim_cl,dyield_rf_dim_cl,dyield_lb_dim_cl,dyield_lf_dim_cl,dyield_7d,dyield_lb_7d,dyield_lf_7d,dyield_rb_7d,dyield_rf_7d,adyield_nd_7d,adyield_rb_nd_7d,adyield_rf_nd_7d,adyield_lb_nd_7d,adyield_lf_nd_7d,vyield_cl,vyield_lb_cl,vyield_lf_cl,vyield_rf_cl,vyield_rb_cl,vyield_7d,vyield_lb_7d,vyield_lf_7d,vyield_rf_7d,vyield_rb_7d
254,13588.28,5247.39,0.0,4539.14,3801.75,320,42.463375,14.184812500000001,11.88046875,16.39809375,0.0,,,,,,,,,,,16.79639060568603,6.486266996291719,,4.699320148331273,5.610803461063041,,,,,
453,12669.26,3336.17,2897.72,3279.19,3156.18,291,43.53697594501718,11.268694158075602,10.845979381443298,11.464501718213059,9.957800687285223,,,,,,,,,,,15.757786069651742,4.149465174129353,3.6041293532338305,3.9255970149253727,4.078594527363184,,,,,
454,11622.23,3276.69,2432.15,3782.15,2131.24,241,48.225020746887964,15.69356846473029,8.843319502074689,13.596224066390041,10.091908713692947,171.24,48.45,31.95,63.7,27.14,24.462857142857143,9.1,3.8771428571428572,6.921428571428572,4.564285714285714,17.852887864823348,5.033317972350231,3.7360215053763444,3.2737941628264204,5.809754224270353,9.513333333333334,2.691666666666667,1.775,1.5077777777777779,3.538888888888889
497,13081.89,3717.33,2832.37,3594.37,2937.82,309,42.33621359223301,11.632265372168284,9.507508090614888,12.03019417475728,9.166245954692556,,,,,,,,,,,18.019132231404956,5.120289256198347,3.90133608815427,4.046584022038568,4.950922865013774,,,,,
571,1102.89,392.53999999999996,225.47,309.63,175.25,28,39.38892857142857,11.058214285714286,6.258928571428571,14.019285714285713,8.0525,314.37,117.05,61.150000000000006,88.89999999999999,47.27,44.910000000000004,12.7,6.752857142857144,16.72142857142857,8.735714285714286,17.23265625,6.1334375,3.52296875,2.73828125,4.83796875,18.49235294117647,6.885294117647058,3.597058823529412,2.780588235294118,5.229411764705882
627,4861.72,1353.2,952.5,1486.73,1069.29,93,52.27655913978495,15.986344086021505,11.497741935483871,14.550537634408602,10.241935483870968,389.33000000000004,110.97,75.61,121.0,81.75,55.618571428571435,17.285714285714285,11.678571428571429,15.852857142857143,10.801428571428572,19.36940239043825,5.391235059760956,3.7948207171314743,4.26011952191235,5.923227091633466,22.901764705882353,6.527647058823529,4.447647058823529,4.8088235294117645,7.117647058823529
628,1314.18,504.5,328.71,480.97,0.0,31,42.39290322580646,15.515161290322581,0.0,16.274193548387096,10.603548387096774,325.37,124.0,81.66,119.71,0.0,46.48142857142857,17.10142857142857,0.0,17.714285714285715,11.665714285714285,16.635189873417723,6.386075949367089,4.160886075949366,,6.088227848101266,15.493809523809524,5.904761904761905,3.8885714285714283,,5.7004761904761905
686,2996.98,810.4200000000001,657.71,819.4499999999999,709.4,50,59.9396,16.389,14.187999999999999,16.2084,13.154200000000001,498.1700000000001,142.28,107.03999999999999,134.15,114.69999999999999,71.16714285714286,19.164285714285715,16.385714285714283,20.325714285714287,15.29142857142857,19.46090909090909,5.262467532467532,4.270844155844156,4.606493506493506,5.321103896103897,20.757083333333334,5.928333333333334,4.46,4.779166666666667,5.589583333333334
703,11946.1,3305.01,3071.63,2690.85,2878.61,244,48.959426229508196,11.028073770491803,11.797581967213116,13.545122950819673,12.588647540983606,314.69,86.02,83.04,66.4,79.22999999999999,44.955714285714286,9.485714285714286,11.318571428571428,12.288571428571428,11.862857142857143,18.15516717325228,5.022811550151976,4.668130699088146,4.374787234042554,4.089437689969604,16.562631578947368,4.527368421052631,4.370526315789474,4.17,3.4947368421052634
711,14935.28,3767.24,3651.71,4457.44,3058.89,337,44.318338278931755,13.226824925816022,9.076824925816023,11.178753709198812,10.83593471810089,37.68,8.010000000000002,12.190000000000001,10.57,6.91,5.382857142857143,1.51,0.9871428571428572,1.1442857142857146,1.7414285714285715,16.394379802414928,4.135279912184412,4.008463227222832,3.357727771679473,4.892908891328211,12.56,2.6700000000000004,4.0633333333333335,2.3033333333333332,3.5233333333333334
