Animal Number;Animal Name;Group Name;Avg Daily Yield Last 7d;Avg. Daily Milkings Last 7 Days;Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Performance Index
1288;;VMS 3 & 4 Group;51.23;2.3;1.86;13;0.43;0.86;1.57;1.00;100
1264;;VMS 1&2 group;36.58;2.9;1.57;11;1.57;0.14;0.00;0.00;100
1451;;VMS 3 & 4 Group;30.33;3.0;1.29;9;0.29;1.00;0.00;0.00;100
902;;VMS 3 & 4 Group;48.09;2.9;1.14;8;0.00;0.00;0.29;1.14;100
1501;;VMS 3 & 4 Group;29.69;2.0;1.00;7;0.86;0.57;1.00;0.71;100
1163;;VMS 1&2 group;53.13;3.0;0.71;5;0.00;0.00;0.57;0.14;100
1476;;VMS 3 & 4 Group;29.58;3.3;0.71;5;0.14;0.00;0.14;0.43;100
986;;VMS 1&2 group;57.76;2.4;0.57;4;0.00;0.00;0.57;0.00;100
1219;;VMS 1&2 group;36.35;2.3;0.57;4;0.14;0.00;0.29;0.29;100
1305;;VMS 1&2 group;49.59;3.0;0.57;4;0.00;0.00;0.57;0.00;100
1406;;VMS 3 & 4 Group;24.95;2.6;0.57;4;0.43;0.00;0.00;0.14;100
571;;VMS 3 & 4 Group;45.20;2.4;0.43;3;0.14;0.29;0.14;0.14;100
962;;VMS 1&2 group;58.43;3.1;0.43;3;0.29;0.00;0.14;0.00;100
1262;;VMS 3 & 4 Group;50.89;2.7;0.43;3;0.14;0.00;0.14;0.14;100
1423;;VMS 3 & 4 Group;35.14;3.0;0.43;3;0.00;0.00;0.29;0.14;100
1457;;VMS 3 & 4 Group;44.91;3.3;0.43;3;0.00;0.00;0.43;0.14;100
1465;;VMS 3 & 4 Group;32.82;3.0;0.43;3;0.00;0.43;0.00;0.00;100
929;;VMS 1&2 group;53.63;3.0;0.29;2;0.14;0.00;0.00;0.14;100
981;;VMS 1&2 group;50.48;3.6;0.29;2;0.14;0.14;0.00;0.00;100
1160;;VMS 3 & 4 Group;43.06;3.4;0.29;2;0.00;0.14;0.14;0.00;100
1233;;VMS 1&2 group;39.17;2.4;0.29;2;0.29;0.00;0.00;0.00;100
1272;;VMS 3 & 4 Group;43.20;2.4;0.29;2;0.00;0.29;0.00;0.00;100
1409;;VMS 3 & 4 Group;40.30;3.7;0.29;2;0.00;0.00;0.00;0.29;100
1412;;VMS 3 & 4 Group;34.55;2.4;0.29;2;0.29;0.14;0.00;0.00;100
1495;;VMS 3 & 4 Group;27.76;2.4;0.29;2;0.00;0.14;0.14;0.29;100
1507;;VMS 3 & 4 Group;10.87;2.0;0.29;2;0.00;0.00;0.29;0.00;100
1511;;VMS 3 & 4 Group;11.96;1.8;0.29;2;0.14;0.29;0.14;0.14;100
747;;VMS 1&2 group;44.29;2.6;0.14;1;0.00;0.00;0.00;0.14;100
861;;VMS 1&2 group;44.92;3.4;0.14;1;0.00;0.14;0.00;0.00;100
896;;VMS 1&2 group;30.64;2.6;0.14;1;0.14;0.00;0.00;0.00;100
922;;VMS 1&2 group;48.14;2.4;0.14;1;0.00;0.14;0.00;0.00;100
925;;VMS 1&2 group;46.23;2.1;0.14;1;0.00;0.00;0.14;0.00;100
1057;;VMS 1&2 group;47.84;2.0;0.14;1;0.00;0.14;0.00;0.00;100
1058;;VMS 1&2 group;40.65;2.4;0.14;1;0.00;0.00;0.00;0.14;100
1177;;VMS 1&2 group;48.88;2.3;0.14;1;0.14;0.00;0.00;0.00;100
1178;;VMS 1&2 group;50.32;2.9;0.14;1;0.00;0.00;0.14;0.00;100
1192;;VMS 1&2 group;41.06;2.4;0.14;1;0.00;0.00;0.14;0.00;100
1198;;VMS 1&2 group;32.75;2.4;0.14;1;0.00;0.00;0.14;0.00;100
1212;;VMS 1&2 group;35.29;2.0;0.14;1;0.00;0.14;0.00;0.00;100
1245;;VMS 1&2 group;47.26;2.4;0.14;1;0.00;0.00;0.14;0.00;100
