Animal Number;Date;Begin Time;End Time;Yield;Kickoff LF;Kickoff Milkings;Kickoff LR;Kickoff RF;Kickoff RR
1284;10/19/2023;10/19/2023 12:01 AM;12:09 AM;22.03;Unchecked;0;Unchecked;Unchecked;Unchecked
1442;10/19/2023;10/19/2023 12:05 AM;12:12 AM;11.25;Unchecked;0;Unchecked;Unchecked;Unchecked
872;10/19/2023;10/19/2023 12:05 AM;12:13 AM;17.82;Unchecked;0;Unchecked;Unchecked;Unchecked
1058;10/19/2023;10/19/2023 12:09 AM;12:17 AM;19.78;Unchecked;0;Unchecked;Unchecked;Unchecked
1419;10/19/2023;10/19/2023 12:13 AM;12:21 AM;16.69;Unchecked;0;Unchecked;Unchecked;Unchecked
962;10/19/2023;10/19/2023 12:14 AM;12:22 AM;16.37;Unchecked;0;Unchecked;Unchecked;Unchecked
1385;10/19/2023;10/19/2023 12:17 AM;12:23 AM;12.97;Unchecked;0;Unchecked;Unchecked;Unchecked
1231;10/19/2023;10/19/2023 12:19 AM;12:27 AM;26.13;Unchecked;1;Unchecked;Checked;Unchecked
1423;10/19/2023;10/19/2023 12:22 AM;12:28 AM;13.97;Unchecked;0;Unchecked;Unchecked;Unchecked
1288;10/19/2023;10/19/2023 12:25 AM;12:35 AM;17.82;Checked;1;Unchecked;Unchecked;Checked
1327;10/19/2023;10/19/2023 12:29 AM;12:38 AM;20.12;Unchecked;0;Unchecked;Unchecked;Unchecked
1418;10/19/2023;10/19/2023 12:36 AM;12:41 AM;18.49;Unchecked;0;Unchecked;Unchecked;Unchecked
1435;10/19/2023;10/19/2023 12:38 AM;12:44 AM;9.02;Unchecked;0;Unchecked;Unchecked;Unchecked
1406;10/19/2023;10/19/2023 12:45 AM;12:50 AM;10.98;Unchecked;0;Unchecked;Unchecked;Unchecked
975;10/19/2023;10/19/2023 12:41 AM;12:50 AM;16.08;Unchecked;0;Unchecked;Unchecked;Unchecked
1430;10/19/2023;10/19/2023 12:42 AM;12:50 AM;12.45;Unchecked;0;Unchecked;Unchecked;Unchecked
1279;10/19/2023;10/19/2023 12:44 AM;12:50 AM;15.28;Unchecked;0;Unchecked;Unchecked;Unchecked
1241;10/19/2023;10/19/2023 12:50 AM;12:56 AM;17.14;Unchecked;0;Unchecked;Unchecked;Unchecked
