cow,farmname,robotside,filename,directory,date,time,size,computer,begin_time,end_time,yield,device_name,conductivity_lf,conductivity_lr,conductivity_rf,conductivity_rr,mean_flow_lf,mean_flow_lr,mean_flow_rf,mean_flow_rr,yield_lf,yield_lr,yield_rf,yield_rr,occ(*1000_cells/ml),peak_flow_lf,peak_flow_lr,peak_flow_rf,peak_flow_rr,interval,quarters_num,num_videos,birth_date,age_in_days,last_calving_date,days_in_milk,lactation_number,total_kick-offs_last_7d,peak_occ_current_lactation,latest_lifetime_daily_yield,total_lifetime_yield,type,avg._occ_last_9_milkings,avg._flow_last_7_days,avg._yield_per_milking_last_7d,total_yield_in_lactation,peak_yield,peak_yield_day,peak_occ_current_lactation.1
764,laufenberg,right,0764_20231117_144922.bag,videos_1,20231117,14:49:54,3807979957,maria,11/17/2023 2:49 PM,2:58 PM,41.54,VMS_3,4.29,4.25,4.36,6.13,2.51,2.65,2.51,1.32,12.85,14.97,11.84,1.87,,3.97,3.57,3.84,2.51,08:58:24,4.0,1,3/6/2017,2448,6/6/2023,165.0,5,,1180.0,45.1,110525.0,Tank,,9.31,36.63,17444.06,124.27,42.0,1180.0
902,laufenberg,right,0902_20231117_142952.bag,videos_1,20231117,14:30:30,4303784100,maria,11/17/2023 2:28 PM,2:39 PM,49.58,VMS_3,5.29,4.51,,4.07,1.98,3.17,,3.17,11.11,18.36,,20.11,,2.78,4.23,,4.1,13:45:15,3.0,1,12/31/2017,2148,9/13/2023,66.0,4,8.0,3651.0,42.5,91337.0,Tank,,7.92,39.51,6184.74,,,3651.0
970,laufenberg,right,0970_20231117_150812.bag,videos_1,20231117,15:08:38,2800097357,maria,11/17/2023 3:08 PM,3:15 PM,49.38,VMS_3,4.16,3.98,3.89,3.92,3.17,3.7,3.31,3.31,9.63,13.8,10.89,15.06,,4.63,5.03,4.5,4.23,12:23:12,4.0,1,5/6/2018,2022,6/5/2023,166.0,4,,2171.0,50.3,101614.0,Tank,,11.84,38.22,18725.98,129.75,43.0,2171.0
973,laufenberg,right,0973_20231117_135700.bag,videos_1,20231117,13:57:48,5620008570,maria,11/17/2023 1:56 PM,2:09 PM,58.51,VMS_4,4.66,4.42,4.34,4.32,2.25,2.38,1.72,1.85,14.73,14.64,13.67,15.48,,3.17,3.44,2.65,2.91,19:20:32,4.0,1,5/13/2018,2015,1/8/2023,314.0,3,,3131.0,50.6,101977.0,Tank,,8.98,45.19,33392.1,127.05,144.0,3131.0
1116,laufenberg,right,1116_20231117_141845.bag,videos_1,20231117,14:19:42,6708885177,maria,11/17/2023 2:17 PM,2:27 PM,54.85,VMS_4,4.4,4.36,4.48,4.32,2.51,3.17,2.78,2.91,10.19,16.8,12.68,15.19,,3.44,4.1,3.7,3.84,12:23:57,4.0,1,3/5/2019,1719,8/4/2023,106.0,3,,397.0,37.2,63975.0,Tank,,11.0,44.24,11476.25,128.15,42.0,397.0
1223,laufenberg,right,1223_20231117_110830.bag,videos_1,20231117,11:09:04,3923648168,maria,11/17/2023 11:07 AM,11:13 AM,21.65,VMS_4,4.14,4.1,4.22,3.96,2.91,3.17,3.04,3.04,4.63,6.64,5.2,5.18,,4.23,4.37,4.37,4.37,05:54:42,4.0,5,1/30/2020,1388,1/9/2023,313.0,2,,131.0,41.4,57520.0,Tank,,10.37,24.39,31026.43,113.97,42.0,131.0
1236,laufenberg,right,1236_20231117_142505.bag,videos_1,20231117,14:25:42,4112333268,maria,11/17/2023 2:24 PM,2:34 PM,35.05,VMS_2,4.38,4.46,4.38,4.59,1.59,1.59,2.51,1.72,7.67,9.88,8.36,9.15,8.0,2.25,2.25,3.44,2.38,08:52:44,4.0,1,3/13/2020,1345,4/28/2023,204.0,2,,2180.0,37.1,49921.0,Tank,25.0,7.47,37.62,22182.41,129.73,53.0,2180.0
1261,laufenberg,right,1261_20231117_134027.bag,videos_1,20231117,13:41:08,4774026248,maria,11/17/2023 1:39 PM,1:48 PM,45.37,VMS_4,4.8,4.83,4.81,4.39,3.44,3.04,2.38,3.04,9.63,13.78,7.52,14.44,,5.42,3.97,3.7,4.1,09:33:27,4.0,1,5/5/2020,1292,6/29/2023,142.0,2,,280.0,31.0,40109.0,Tank,,10.99,43.8,16902.18,131.02,35.0,280.0
1262,laufenberg,right,1262_20231117_121934.bag,videos_1,20231117,12:19:56,2376087276,maria,11/17/2023 12:18 PM,12:30 PM,54.61,VMS_4,4.54,4.56,4.48,0.0,2.78,3.17,2.91,0.26,17.92,17.99,18.54,0.15,,4.37,5.42,4.5,0.53,12:21:57,4.0,1,5/5/2020,1292,7/28/2023,113.0,2,3.0,1394.0,32.9,42456.0,Tank,,8.12,41.33,12085.61,118.14,97.0,1394.0
1271,laufenberg,right,1271_20231117_164614.bag,videos_1,20231117,16:46:48,3830368406,maria,11/17/2023 4:46 PM,4:56 PM,57.98,VMS_3,4.16,4.19,4.23,4.23,3.7,2.38,2.78,2.51,13.51,15.96,13.98,14.53,,5.16,3.44,3.84,3.44,13:44:26,4.0,1,5/23/2020,1274,6/22/2023,149.0,2,,334.0,29.4,37487.0,Tank,,10.98,44.86,15887.86,122.48,63.0,334.0
