Animal Number;Animal Name;Group Name;Avg Daily Yield Last 7d;Avg. Daily Milkings Last 7 Days;Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Performance Index
1264;;VMS 1&2 group;36.72;3.0;1.86;13;1.86;0.29;0.00;0.00;100
1288;;VMS 3 & 4 Group;48.35;2.1;1.71;12;0.29;0.71;1.57;0.86;100
1451;;VMS 3 & 4 Group;29.85;3.1;1.57;11;0.14;1.43;0.00;0.00;100
902;;VMS 3 & 4 Group;47.94;2.7;1.29;9;0.00;0.00;0.43;1.29;100
1501;;VMS 3 & 4 Group;29.07;2.0;1.00;7;0.86;0.71;1.00;0.86;100
1163;;VMS 1&2 group;53.78;3.1;0.86;6;0.00;0.00;0.71;0.14;100
1476;;VMS 3 & 4 Group;31.00;3.4;0.71;5;0.14;0.00;0.14;0.43;100
986;;VMS 1&2 group;59.04;2.6;0.71;5;0.00;0.00;0.71;0.00;100
1406;;VMS 3 & 4 Group;24.32;2.6;0.57;4;0.43;0.00;0.00;0.14;100
1219;;VMS 1&2 group;37.56;2.4;0.57;4;0.14;0.00;0.29;0.29;100
571;;VMS 3 & 4 Group;44.91;2.4;0.57;4;0.14;0.43;0.14;0.14;100
1465;;VMS 3 & 4 Group;33.64;3.1;0.43;3;0.00;0.43;0.00;0.00;100
1457;;VMS 3 & 4 Group;43.81;3.3;0.43;3;0.00;0.00;0.43;0.14;100
1305;;VMS 1&2 group;48.62;3.0;0.43;3;0.00;0.00;0.43;0.00;100
1507;;VMS 3 & 4 Group;10.34;1.9;0.29;2;0.00;0.00;0.29;0.00;100
1423;;VMS 3 & 4 Group;32.83;2.9;0.29;2;0.00;0.00;0.14;0.14;100
1272;;VMS 3 & 4 Group;39.12;2.3;0.29;2;0.00;0.29;0.00;0.00;100
1262;;VMS 3 & 4 Group;49.71;2.9;0.29;2;0.14;0.00;0.00;0.14;100
1233;;VMS 1&2 group;40.62;2.6;0.29;2;0.29;0.00;0.00;0.00;100
1160;;VMS 3 & 4 Group;41.68;3.6;0.29;2;0.00;0.14;0.14;0.00;100
