animal_number,date,dim,lactation_number,LR,RF,RR,LF,All,udder,dudder,dtnf_lr,dtnf_lf,dtnf_rf,dtnf_rr
254,2022-11-14,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-15,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-16,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-17,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-18,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-19,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-20,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-21,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-22,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-23,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-24,11,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-25,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-26,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-27,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-28,15,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-29,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-11-30,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-12-01,18,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-12-02,19,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-12-03,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-12-04,21,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-12-05,22,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
254,2022-12-06,23,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
