animal_number,lactation_number,ko_lr,ko_lf,ko_rf,ko_rr,udder_dko,total_dko,max,count,ko_days_pc
254,7,2,0,113,12,127,96,320,800,30.0
453,6,0,0,1,0,1,1,291,715,0.3436426116838488
454,7,38,5,3,18,64,49,241,651,20.33195020746888
497,6,12,2,0,9,23,22,309,726,7.119741100323624
571,6,13,2,5,13,33,19,28,64,67.85714285714286
627,6,0,0,0,0,0,0,92,250,0.0
628,6,0,0,0,1,1,1,31,79,3.225806451612903
686,5,2,0,0,0,2,1,50,154,2.0
703,5,2,1,4,0,7,6,244,658,2.459016393442623
711,5,2,0,2,0,4,4,337,911,1.1869436201780417
722,5,0,0,0,0,0,0,117,318,0.0
723,5,0,0,0,0,0,0,35,82,0.0
729,5,1,1,0,1,3,3,170,430,1.7647058823529411
736,5,7,4,3,4,18,15,253,645,5.928853754940711
738,5,3,6,1,1,11,10,293,851,3.4129692832764507
747,5,19,1,2,3,25,22,208,537,10.576923076923077
764,5,1,3,0,1,5,5,164,460,3.048780487804878
778,5,0,0,2,0,2,2,54,163,3.7037037037037033
783,4,1,0,0,0,1,1,453,831,0.22075055187637968
785,5,0,0,0,1,1,1,36,113,2.7777777777777777
791,4,21,4,3,11,39,33,331,633,9.969788519637463
807,5,2,0,1,1,4,4,84,275,4.761904761904762
808,5,0,0,0,0,0,0,29,103,0.0
810,4,0,0,0,0,0,0,273,700,0.0
828,4,25,0,20,5,50,44,308,970,14.285714285714285
833,4,9,0,3,2,14,10,162,502,6.172839506172839
837,4,1,0,0,0,1,1,254,695,0.39370078740157477
842,4,0,0,2,1,3,3,219,642,1.36986301369863
855,5,0,0,0,0,0,0,0,2,
856,4,4,1,3,3,11,7,120,399,5.833333333333333
861,4,4,1,2,5,12,11,162,606,6.790123456790123
868,4,0,0,1,3,4,4,60,210,6.666666666666667
872,4,0,3,2,0,5,5,280,785,1.7857142857142856
896,4,1,5,0,0,6,6,284,749,2.112676056338028
897,4,8,0,1,2,11,11,201,546,5.472636815920398
902,4,31,9,0,53,93,37,65,173,56.92307692307692
904,4,21,1,1,3,26,21,125,414,16.8
905,4,2,2,1,0,5,5,288,977,1.7361111111111112
911,4,83,10,4,24,121,92,293,826,31.399317406143346
912,4,2,3,1,3,9,9,278,732,3.237410071942446
915,4,13,1,0,3,17,15,246,652,6.097560975609756
921,4,1,5,1,1,8,7,249,686,2.8112449799196786
922,4,0,0,1,1,2,2,181,494,1.1049723756906076
924,4,3,0,0,2,5,4,88,332,4.545454545454546
925,4,4,0,1,4,9,8,192,406,4.166666666666666
929,4,0,1,0,3,4,3,14,36,21.428571428571427
935,4,0,0,0,0,0,0,91,269,0.0
937,3,0,0,3,3,6,5,356,715,1.4044943820224718
948,3,6,1,1,3,11,8,437,1130,1.8306636155606408
956,3,5,0,0,1,6,6,384,813,1.5625
957,3,0,0,0,1,1,1,335,790,0.2985074626865672
962,4,3,6,0,2,11,10,118,375,8.47457627118644
968,3,1,0,2,0,3,3,359,849,0.8356545961002786
970,4,1,4,0,2,7,7,165,541,4.242424242424243
971,4,0,0,0,0,0,0,70,204,0.0
973,3,7,0,0,13,20,18,313,848,5.7507987220447285
975,4,0,0,0,1,1,1,147,462,0.6802721088435374
978,3,5,3,8,4,20,15,233,774,6.437768240343347
981,4,0,1,1,0,2,2,24,76,8.333333333333332
985,3,0,1,0,5,6,6,326,970,1.8404907975460123
986,4,11,0,0,2,13,11,110,288,10.0
1003,3,2,0,0,0,2,2,114,429,1.7543859649122806
1014,3,14,3,1,2,20,17,407,870,4.176904176904177
1023,4,1,0,0,1,2,1,117,346,0.8547008547008548
1036,3,0,0,4,0,4,4,345,766,1.1594202898550725
1039,3,7,0,0,4,11,11,302,690,3.642384105960265
1040,3,2,0,0,2,4,2,213,545,0.9389671361502347
1042,3,18,4,4,4,30,26,286,657,9.090909090909092
1052,3,7,0,1,3,11,10,252,765,3.968253968253968
1056,3,8,4,0,5,17,17,315,800,5.396825396825397
1057,4,2,2,1,3,8,6,20,45,30.0
1058,2,1,1,0,1,3,3,445,1065,0.6741573033707865
1061,3,0,1,0,1,2,2,284,796,0.7042253521126761
1065,3,24,2,4,11,41,37,294,717,12.585034013605442
1067,3,2,1,1,0,4,4,215,712,1.8604651162790697
1074,3,4,1,1,3,9,5,222,748,2.2522522522522523
1078,3,0,5,3,34,42,37,306,1280,12.091503267973856
1081,3,0,0,0,0,0,0,258,669,0.0
1083,3,5,0,0,3,8,8,264,622,3.0303030303030303
1084,3,0,0,1,2,3,3,150,424,2.0
1088,3,1,14,1,1,17,16,623,676,2.568218298555377
1089,3,0,0,1,0,1,1,201,589,0.4975124378109453
1091,3,19,1,2,9,31,24,276,719,8.695652173913043
1092,3,2,1,0,1,4,4,272,708,1.4705882352941175
1094,2,1,0,1,0,2,2,418,991,0.4784688995215311
1098,3,5,1,0,6,12,11,252,771,4.365079365079365
1099,3,1,0,0,1,2,2,309,872,0.6472491909385114
1100,3,2,0,0,1,3,3,284,761,1.056338028169014
1101,3,2,1,0,0,3,2,177,630,1.1299435028248588
1102,3,4,0,0,1,5,5,212,611,2.358490566037736
1104,3,6,1,2,5,14,13,294,756,4.421768707482993
1116,3,1,1,0,4,6,6,105,259,5.714285714285714
1126,3,3,2,1,2,8,3,306,668,0.9803921568627451
1127,3,0,0,0,0,0,0,42,101,0.0
1133,3,0,0,0,0,0,0,41,117,0.0
1139,3,0,1,0,0,1,1,54,158,1.8518518518518516
1140,3,1,0,0,0,1,1,187,615,0.53475935828877
1142,3,0,2,0,7,9,8,83,226,9.63855421686747
1144,3,0,0,1,0,1,1,86,291,1.1627906976744187
1145,3,0,1,0,1,2,2,65,206,3.076923076923077
1146,2,17,11,0,6,34,31,460,871,6.739130434782608
1148,3,1,0,0,2,3,3,129,458,2.3255813953488373
1149,2,0,1,0,1,2,2,313,712,0.6389776357827476
1151,3,0,0,0,0,0,0,110,391,0.0
1153,3,10,1,0,5,16,11,75,269,14.666666666666666
1158,2,3,0,0,8,11,11,351,698,3.133903133903134
1159,3,0,0,0,0,0,0,9,21,0.0
1160,3,2,0,1,1,4,4,18,61,22.22222222222222
1163,3,83,1,6,40,130,60,100,300,60.0
