,date,days_in_milk,dim
96,2023-03-21,0,0
97,2023-03-21,0,0
98,2023-03-22,1,1
99,2023-03-22,1,1
100,2023-03-23,2,2
101,2023-03-23,2,2
102,2023-03-24,3,3
103,2023-03-24,3,3
104,2023-03-25,4,4
105,2023-03-25,4,4
106,2023-03-26,5,5
107,2023-03-26,5,5
108,2023-03-27,6,6
109,2023-03-27,6,6
110,2023-03-28,7,7
111,2023-03-28,7,7
112,2023-03-29,8,8
113,2023-03-29,8,8
114,2023-03-30,9,9
115,2023-03-30,9,9
116,2023-03-31,10,10
117,2023-03-31,10,10
118,2023-04-01,11,11
119,2023-04-01,11,11
120,2023-04-01,11,11
121,2023-04-02,12,12
122,2023-04-02,12,12
123,2023-04-03,13,13
124,2023-04-03,13,13
125,2023-04-03,13,13
126,2023-04-04,14,14
127,2023-04-04,14,14
128,2023-04-05,15,15
129,2023-04-05,15,15
130,2023-04-05,15,15
131,2023-04-06,16,16
132,2023-04-06,16,16
133,2023-04-06,16,16
134,2023-04-07,17,17
135,2023-04-07,17,17
136,2023-04-07,17,17
137,2023-04-08,18,18
138,2023-04-08,18,18
139,2023-04-09,19,19
140,2023-04-09,19,19
141,2023-04-09,19,19
142,2023-04-09,19,19
143,2023-04-10,20,20
144,2023-04-10,20,20
145,2023-04-11,21,21
146,2023-04-11,21,21
147,2023-04-12,22,22
148,2023-04-12,22,22
149,2023-04-12,22,22
150,2023-04-13,23,23
151,2023-04-13,23,23
152,2023-04-14,24,24
153,2023-04-14,24,24
154,2023-04-14,24,24
155,2023-04-15,25,25
156,2023-04-15,25,25
157,2023-04-16,26,26
158,2023-04-16,26,26
159,2023-04-16,26,26
160,2023-04-17,27,27
161,2023-04-17,27,27
162,2023-04-17,27,27
163,2023-04-18,28,28
164,2023-04-18,28,28
165,2023-04-18,28,28
166,2023-04-19,29,29
167,2023-04-19,29,29
168,2023-04-19,29,29
169,2023-04-20,30,30
170,2023-04-20,30,30
171,2023-04-21,31,31
172,2023-04-21,31,31
173,2023-04-21,31,31
174,2023-04-21,31,31
175,2023-04-22,32,32
176,2023-04-22,32,32
177,2023-04-23,33,33
178,2023-04-23,33,33
179,2023-04-23,33,33
180,2023-04-24,34,34
181,2023-04-24,34,34
182,2023-04-24,34,34
183,2023-04-25,35,35
184,2023-04-25,35,35
185,2023-04-26,36,36
186,2023-04-26,36,36
187,2023-04-26,36,36
188,2023-04-27,37,37
189,2023-04-27,37,37
190,2023-04-27,37,37
191,2023-04-28,38,38
192,2023-04-28,38,38
193,2023-04-28,38,38
194,2023-04-29,39,39
195,2023-04-29,39,39
196,2023-04-29,39,39
197,2023-04-30,40,40
198,2023-04-30,40,40
199,2023-04-30,40,40
200,2023-05-01,41,41
201,2023-05-01,41,41
202,2023-05-01,41,41
203,2023-05-02,42,42
204,2023-05-02,42,42
205,2023-05-02,42,42
206,2023-05-03,43,43
207,2023-05-03,43,43
208,2023-05-04,44,44
209,2023-05-04,44,44
210,2023-05-04,44,44
211,2023-05-05,45,45
212,2023-05-05,45,45
213,2023-05-06,46,46
214,2023-05-06,46,46
215,2023-05-06,46,46
216,2023-05-07,47,47
217,2023-05-07,47,47
218,2023-05-07,47,47
219,2023-05-08,48,48
220,2023-05-08,48,48
221,2023-05-09,49,49
222,2023-05-09,49,49
223,2023-05-09,49,49
224,2023-05-10,50,50
225,2023-05-10,50,50
226,2023-05-11,51,51
227,2023-05-11,51,51
228,2023-05-12,52,52
229,2023-05-12,52,52
230,2023-05-13,53,53
