Animal Number;Avg. Daily Kick-Off Milkings Last 7d;LF Avg. Daily Kick-Off Milkings Last 7d;LR Avg. Daily Kick-Off Milkings Last 7d;RF Avg. Daily Kick-Off Milkings Last 7d;RR Avg. Daily Kick-Off Milkings Last 7d;Total Kick-Offs Last 7d;Total Kick-Off Per Milking Last 7d
254;0.00;0.00;0.00;0.00;0.00;;0.00
453;0.00;0.00;0.00;0.00;0.00;;0.00
454;0.00;0.00;0.00;0.00;0.00;;0.00
497;0.00;0.00;0.00;0.00;0.00;;0.00
571;0.43;0.14;0.14;0.29;0.14;3;3.00
627;0.00;0.00;0.00;0.00;0.00;;0.00
628;0.00;0.00;0.00;0.00;0.00;;0.00
686;0.00;0.00;0.00;0.00;0.00;;0.00
703;0.00;0.00;0.00;0.00;0.00;;0.00
711;0.00;0.00;0.00;0.00;0.00;;0.00
722;0.00;0.00;0.00;0.00;0.00;;0.00
723;0.00;0.00;0.00;0.00;0.00;;0.00
729;0.00;0.00;0.00;0.00;0.00;;0.00
736;0.00;0.00;0.00;0.00;0.00;;0.00
738;0.00;0.00;0.00;0.00;0.00;;0.00
747;0.14;0.00;0.00;0.00;0.14;1;1.00
764;0.00;0.00;0.00;0.00;0.00;;0.00
778;0.00;0.00;0.00;0.00;0.00;;0.00
783;0.00;0.00;0.00;0.00;0.00;;0.00
785;0.00;0.00;0.00;0.00;0.00;;0.00
791;0.00;0.00;0.00;0.00;0.00;;0.00
807;0.00;0.00;0.00;0.00;0.00;;0.00
808;0.00;0.00;0.00;0.00;0.00;;0.00
810;0.00;0.00;0.00;0.00;0.00;;0.00
828;0.00;0.00;0.00;0.00;0.00;;0.00
833;0.00;0.00;0.00;0.00;0.00;;0.00
837;0.00;0.00;0.00;0.00;0.00;;0.00
842;0.00;0.00;0.00;0.00;0.00;;0.00
855;0.00;0.00;0.00;0.00;0.00;;0.00
856;0.00;0.00;0.00;0.00;0.00;;0.00
861;0.14;0.00;0.00;0.14;0.00;1;1.00
868;0.00;0.00;0.00;0.00;0.00;;0.00
872;0.00;0.00;0.00;0.00;0.00;;0.00
896;0.14;0.14;0.00;0.00;0.00;1;1.00
897;0.00;0.00;0.00;0.00;0.00;;0.00
902;1.14;0.00;0.29;0.00;1.14;8;8.00
904;0.00;0.00;0.00;0.00;0.00;;0.00
905;0.00;0.00;0.00;0.00;0.00;;0.00
911;0.00;0.00;0.00;0.00;0.00;;0.00
912;0.00;0.00;0.00;0.00;0.00;;0.00
915;0.00;0.00;0.00;0.00;0.00;;0.00
921;0.00;0.00;0.00;0.00;0.00;;0.00
922;0.14;0.00;0.00;0.14;0.00;1;1.00
924;0.00;0.00;0.00;0.00;0.00;;0.00
925;0.14;0.00;0.14;0.00;0.00;1;1.00
929;0.29;0.14;0.00;0.00;0.14;2;2.00
935;0.00;0.00;0.00;0.00;0.00;;0.00
937;0.00;0.00;0.00;0.00;0.00;;0.00
948;0.00;0.00;0.00;0.00;0.00;;0.00
956;0.00;0.00;0.00;0.00;0.00;;0.00
957;0.00;0.00;0.00;0.00;0.00;;0.00
962;0.43;0.29;0.14;0.00;0.00;3;3.00
968;0.00;0.00;0.00;0.00;0.00;;0.00
970;0.00;0.00;0.00;0.00;0.00;;0.00
971;0.00;0.00;0.00;0.00;0.00;;0.00
973;0.00;0.00;0.00;0.00;0.00;;0.00
975;0.00;0.00;0.00;0.00;0.00;;0.00
978;0.00;0.00;0.00;0.00;0.00;;0.00
981;0.29;0.14;0.00;0.14;0.00;2;2.00
985;0.00;0.00;0.00;0.00;0.00;;0.00
986;0.57;0.00;0.57;0.00;0.00;4;4.00
1003;0.00;0.00;0.00;0.00;0.00;;0.00
1014;0.00;0.00;0.00;0.00;0.00;;0.00
1023;0.00;0.00;0.00;0.00;0.00;;0.00
1036;0.00;0.00;0.00;0.00;0.00;;0.00
1039;0.00;0.00;0.00;0.00;0.00;;0.00
1040;0.00;0.00;0.00;0.00;0.00;;0.00
1042;0.00;0.00;0.00;0.00;0.00;;0.00
1052;0.00;0.00;0.00;0.00;0.00;;0.00
1056;0.00;0.00;0.00;0.00;0.00;;0.00
1057;0.14;0.00;0.00;0.14;0.00;1;1.00
1058;0.14;0.00;0.00;0.00;0.14;1;1.00
1061;0.00;0.00;0.00;0.00;0.00;;0.00
1065;0.00;0.00;0.00;0.00;0.00;;0.00
1067;0.00;0.00;0.00;0.00;0.00;;0.00
1074;0.00;0.00;0.00;0.00;0.00;;0.00
1078;0.00;0.00;0.00;0.00;0.00;;0.00
1081;0.00;0.00;0.00;0.00;0.00;;0.00
1083;0.00;0.00;0.00;0.00;0.00;;0.00
1084;0.00;0.00;0.00;0.00;0.00;;0.00
1088;0.00;0.00;0.00;0.00;0.00;;0.00
1089;0.00;0.00;0.00;0.00;0.00;;0.00
1091;0.00;0.00;0.00;0.00;0.00;;0.00
1092;0.00;0.00;0.00;0.00;0.00;;0.00
1094;0.00;0.00;0.00;0.00;0.00;;0.00
1098;0.00;0.00;0.00;0.00;0.00;;0.00
1099;0.00;0.00;0.00;0.00;0.00;;0.00
1100;0.00;0.00;0.00;0.00;0.00;;0.00
1101;0.00;0.00;0.00;0.00;0.00;;0.00
1102;0.00;0.00;0.00;0.00;0.00;;0.00
1104;0.00;0.00;0.00;0.00;0.00;;0.00
1116;0.00;0.00;0.00;0.00;0.00;;0.00
1126;0.00;0.00;0.00;0.00;0.00;;0.00
1127;0.00;0.00;0.00;0.00;0.00;;0.00
1133;0.00;0.00;0.00;0.00;0.00;;0.00
1139;0.00;0.00;0.00;0.00;0.00;;0.00
1140;0.00;0.00;0.00;0.00;0.00;;0.00
1142;0.00;0.00;0.00;0.00;0.00;;0.00
1144;0.00;0.00;0.00;0.00;0.00;;0.00
1145;0.00;0.00;0.00;0.00;0.00;;0.00
1146;0.00;0.00;0.00;0.00;0.00;;0.00
1148;0.00;0.00;0.00;0.00;0.00;;0.00
1149;0.00;0.00;0.00;0.00;0.00;;0.00
1151;0.00;0.00;0.00;0.00;0.00;;0.00
1153;0.00;0.00;0.00;0.00;0.00;;0.00
1158;0.00;0.00;0.00;0.00;0.00;;0.00
1159;0.00;0.00;0.00;0.00;0.00;;0.00
1160;0.29;0.00;0.14;0.14;0.00;2;2.00
1163;0.71;0.00;0.57;0.00;0.14;5;5.00
1164;0.00;0.00;0.00;0.00;0.00;;0.00
1168;0.00;0.00;0.00;0.00;0.00;;0.00
1170;0.00;0.00;0.00;0.00;0.00;;0.00
1171;0.00;0.00;0.00;0.00;0.00;;0.00
1172;0.00;0.00;0.00;0.00;0.00;;0.00
1173;0.00;0.00;0.00;0.00;0.00;;0.00
1177;0.14;0.14;0.00;0.00;0.00;1;1.00
1178;0.14;0.00;0.14;0.00;0.00;1;1.00
1184;0.00;0.00;0.00;0.00;0.00;;0.00
1191;0.00;0.00;0.00;0.00;0.00;;0.00
1192;0.14;0.00;0.14;0.00;0.00;1;1.00
1197;0.00;0.00;0.00;0.00;0.00;;0.00
1198;0.14;0.00;0.14;0.00;0.00;1;1.00
1199;0.00;0.00;0.00;0.00;0.00;;0.00
1200;0.00;0.00;0.00;0.00;0.00;;0.00
1204;0.00;0.00;0.00;0.00;0.00;;0.00
1207;0.00;0.00;0.00;0.00;0.00;;0.00
1212;0.14;0.00;0.00;0.14;0.00;1;1.00
1215;0.00;0.00;0.00;0.00;0.00;;0.00
1216;0.00;0.00;0.00;0.00;0.00;;0.00
1219;0.57;0.14;0.29;0.00;0.29;4;4.00
1223;0.00;0.00;0.00;0.00;0.00;;0.00
1224;0.00;0.00;0.00;0.00;0.00;;0.00
1225;0.00;0.00;0.00;0.00;0.00;;0.00
1231;0.00;0.00;0.00;0.00;0.00;;0.00
1232;0.00;0.00;0.00;0.00;0.00;;0.00
1233;0.29;0.29;0.00;0.00;0.00;2;2.00
1235;0.00;0.00;0.00;0.00;0.00;;0.00
1236;0.00;0.00;0.00;0.00;0.00;;0.00
1237;0.00;0.00;0.00;0.00;0.00;;0.00
1240;0.00;0.00;0.00;0.00;0.00;;0.00
1241;0.00;0.00;0.00;0.00;0.00;;0.00
1243;0.00;0.00;0.00;0.00;0.00;;0.00
1244;0.00;0.00;0.00;0.00;0.00;;0.00
1245;0.14;0.00;0.14;0.00;0.00;1;1.00
1246;0.00;0.00;0.00;0.00;0.00;;0.00
1252;0.00;0.00;0.00;0.00;0.00;;0.00
1255;0.00;0.00;0.00;0.00;0.00;;0.00
1258;0.14;0.14;0.00;0.00;0.00;1;1.00
1259;0.00;0.00;0.00;0.00;0.00;;0.00
1261;0.00;0.00;0.00;0.00;0.00;;0.00
1262;0.43;0.14;0.14;0.00;0.14;3;3.00
1263;0.00;0.00;0.00;0.00;0.00;;0.00
1264;1.57;1.57;0.00;0.14;0.00;11;11.00
1266;0.14;0.14;0.00;0.00;0.00;1;1.00
1267;0.00;0.00;0.00;0.00;0.00;;0.00
1268;0.00;0.00;0.00;0.00;0.00;;0.00
1270;0.00;0.00;0.00;0.00;0.00;;0.00
1271;0.00;0.00;0.00;0.00;0.00;;0.00
1272;0.29;0.00;0.00;0.29;0.00;2;2.00
1273;0.00;0.00;0.00;0.00;0.00;;0.00
1274;0.00;0.00;0.00;0.00;0.00;;0.00
1276;0.00;0.00;0.00;0.00;0.00;;0.00
1277;0.00;0.00;0.00;0.00;0.00;;0.00
1279;0.00;0.00;0.00;0.00;0.00;;0.00
1281;0.14;0.00;0.00;0.14;0.00;1;1.00
1282;0.00;0.00;0.00;0.00;0.00;;0.00
1283;0.00;0.00;0.00;0.00;0.00;;0.00
1284;0.00;0.00;0.00;0.00;0.00;;0.00
1286;0.00;0.00;0.00;0.00;0.00;;0.00
1288;1.86;0.43;1.57;0.86;1.00;13;13.00
1291;0.00;0.00;0.00;0.00;0.00;;0.00
1292;0.00;0.00;0.00;0.00;0.00;;0.00
1293;0.14;0.00;0.14;0.00;0.14;1;1.00
1294;0.00;0.00;0.00;0.00;0.00;;0.00
1295;0.00;0.00;0.00;0.00;0.00;;0.00
1300;0.00;0.00;0.00;0.00;0.00;;0.00
1304;0.00;0.00;0.00;0.00;0.00;;0.00
1305;0.57;0.00;0.57;0.00;0.00;4;4.00
1306;0.00;0.00;0.00;0.00;0.00;;0.00
1308;0.00;0.00;0.00;0.00;0.00;;0.00
1311;0.00;0.00;0.00;0.00;0.00;;0.00
1312;0.00;0.00;0.00;0.00;0.00;;0.00
1314;0.00;0.00;0.00;0.00;0.00;;0.00
1315;0.00;0.00;0.00;0.00;0.00;;0.00
1317;0.00;0.00;0.00;0.00;0.00;;0.00
1319;0.14;0.00;0.00;0.00;0.14;1;1.00
1320;0.00;0.00;0.00;0.00;0.00;;0.00
1321;0.00;0.00;0.00;0.00;0.00;;0.00
1322;0.00;0.00;0.00;0.00;0.00;;0.00
1323;0.00;0.00;0.00;0.00;0.00;;0.00
1324;0.00;0.00;0.00;0.00;0.00;;0.00
1325;0.00;0.00;0.00;0.00;0.00;;0.00
1327;0.00;0.00;0.00;0.00;0.00;;0.00
1328;0.14;0.14;0.00;0.00;0.00;1;1.00
1329;0.00;0.00;0.00;0.00;0.00;;0.00
1331;0.00;0.00;0.00;0.00;0.00;;0.00
1333;0.00;0.00;0.00;0.00;0.00;;0.00
1334;0.14;0.00;0.00;0.00;0.14;1;1.00
1335;0.00;0.00;0.00;0.00;0.00;;0.00
1337;0.00;0.00;0.00;0.00;0.00;;0.00
1339;0.00;0.00;0.00;0.00;0.00;;0.00
1343;0.00;0.00;0.00;0.00;0.00;;0.00
1344;0.00;0.00;0.00;0.00;0.00;;0.00
1346;0.00;0.00;0.00;0.00;0.00;;0.00
1348;0.00;0.00;0.00;0.00;0.00;;0.00
1351;0.00;0.00;0.00;0.00;0.00;;0.00
1352;0.00;0.00;0.00;0.00;0.00;;0.00
1354;0.00;0.00;0.00;0.00;0.00;;0.00
1356;0.00;0.00;0.00;0.00;0.00;;0.00
1359;0.00;0.00;0.00;0.00;0.00;;0.00
1360;0.00;0.00;0.00;0.00;0.00;;0.00
1361;0.00;0.00;0.00;0.00;0.00;;0.00
1362;0.14;0.00;0.00;0.00;0.14;1;1.00
1363;0.00;0.00;0.00;0.00;0.00;;0.00
1364;0.00;0.00;0.00;0.00;0.00;;0.00
1365;0.14;0.00;0.00;0.14;0.00;1;1.00
1366;0.00;0.00;0.00;0.00;0.00;;0.00
1367;0.00;0.00;0.00;0.00;0.00;;0.00
1368;0.00;0.00;0.00;0.00;0.00;;0.00
1370;0.00;0.00;0.00;0.00;0.00;;0.00
1371;0.00;0.00;0.00;0.00;0.00;;0.00
1372;0.00;0.00;0.00;0.00;0.00;;0.00
1373;0.00;0.00;0.00;0.00;0.00;;0.00
1374;0.00;0.00;0.00;0.00;0.00;;0.00
1375;0.00;0.00;0.00;0.00;0.00;;0.00
1376;0.00;0.00;0.00;0.00;0.00;;0.00
1377;0.00;0.00;0.00;0.00;0.00;;0.00
1378;0.00;0.00;0.00;0.00;0.00;;0.00
1380;0.00;0.00;0.00;0.00;0.00;;0.00
1382;0.00;0.00;0.00;0.00;0.00;;0.00
1385;0.14;0.14;0.00;0.00;0.00;1;1.00
1388;0.00;0.00;0.00;0.00;0.00;;0.00
1389;0.00;0.00;0.00;0.00;0.00;;0.00
1391;0.00;0.00;0.00;0.00;0.00;;0.00
1395;0.00;0.00;0.00;0.00;0.00;;0.00
1396;0.00;0.00;0.00;0.00;0.00;;0.00
1397;0.00;0.00;0.00;0.00;0.00;;0.00
1398;0.00;0.00;0.00;0.00;0.00;;0.00
1399;0.00;0.00;0.00;0.00;0.00;;0.00
1400;0.00;0.00;0.00;0.00;0.00;;0.00
1401;0.00;0.00;0.00;0.00;0.00;;0.00
1404;0.00;0.00;0.00;0.00;0.00;;0.00
1405;0.00;0.00;0.00;0.00;0.00;;0.00
1406;0.57;0.43;0.00;0.00;0.14;4;4.00
1407;0.00;0.00;0.00;0.00;0.00;;0.00
1409;0.29;0.00;0.00;0.00;0.29;2;2.00
1410;0.00;0.00;0.00;0.00;0.00;;0.00
1412;0.29;0.29;0.00;0.14;0.00;2;2.00
1414;0.14;0.00;0.14;0.00;0.00;1;1.00
1417;0.00;0.00;0.00;0.00;0.00;;0.00
1418;0.00;0.00;0.00;0.00;0.00;;0.00
1419;0.14;0.00;0.00;0.00;0.14;1;1.00
1422;0.14;0.00;0.00;0.14;0.00;1;1.00
1423;0.43;0.00;0.29;0.00;0.14;3;3.00
1424;0.14;0.00;0.00;0.14;0.00;1;1.00
1425;0.00;0.00;0.00;0.00;0.00;;0.00
1427;0.00;0.00;0.00;0.00;0.00;;0.00
1429;0.00;0.00;0.00;0.00;0.00;;0.00
1430;0.14;0.00;0.00;0.00;0.14;1;1.00
1432;0.00;0.00;0.00;0.00;0.00;;0.00
1433;0.00;0.00;0.00;0.00;0.00;;0.00
1434;0.00;0.00;0.00;0.00;0.00;;0.00
1435;0.00;0.00;0.00;0.00;0.00;;0.00
1436;0.00;0.00;0.00;0.00;0.00;;0.00
1437;0.00;0.00;0.00;0.00;0.00;;0.00
1440;0.00;0.00;0.00;0.00;0.00;;0.00
1441;0.00;0.00;0.00;0.00;0.00;;0.00
1442;0.00;0.00;0.00;0.00;0.00;;0.00
1443;0.00;0.00;0.00;0.00;0.00;;0.00
1447;0.00;0.00;0.00;0.00;0.00;;0.00
1449;0.00;0.00;0.00;0.00;0.00;;0.00
1451;1.29;0.29;0.00;1.00;0.00;9;9.00
1453;0.14;0.00;0.14;0.00;0.00;1;1.00
1454;0.00;0.00;0.00;0.00;0.00;;0.00
1455;0.00;0.00;0.00;0.00;0.00;;0.00
1456;0.00;0.00;0.00;0.00;0.00;;0.00
1457;0.43;0.00;0.43;0.00;0.14;3;3.00
1458;0.00;0.00;0.00;0.00;0.00;;0.00
1460;0.14;0.00;0.00;0.00;0.14;1;1.00
1461;0.00;0.00;0.00;0.00;0.00;;0.00
1462;0.14;0.00;0.14;0.00;0.00;1;1.00
1463;0.00;0.00;0.00;0.00;0.00;;0.00
1465;0.43;0.00;0.00;0.43;0.00;3;3.00
1467;0.00;0.00;0.00;0.00;0.00;;0.00
1468;0.00;0.00;0.00;0.00;0.00;;0.00
1469;0.00;0.00;0.00;0.00;0.00;;0.00
1470;0.00;0.00;0.00;0.00;0.00;;0.00
1471;0.14;0.14;0.00;0.00;0.00;1;1.00
1472;0.00;0.00;0.00;0.00;0.00;;0.00
1473;0.00;0.00;0.00;0.00;0.00;;0.00
1474;0.00;0.00;0.00;0.00;0.00;;0.00
1475;0.00;0.00;0.00;0.00;0.00;;0.00
1476;0.71;0.14;0.14;0.00;0.43;5;5.00
1477;0.00;0.00;0.00;0.00;0.00;;0.00
1478;0.00;0.00;0.00;0.00;0.00;;0.00
1479;0.00;0.00;0.00;0.00;0.00;;0.00
1480;0.14;0.00;0.00;0.14;0.00;1;1.00
1481;0.00;0.00;0.00;0.00;0.00;;0.00
1483;0.00;0.00;0.00;0.00;0.00;;0.00
1484;0.00;0.00;0.00;0.00;0.00;;0.00
1485;0.00;0.00;0.00;0.00;0.00;;0.00
1486;0.00;0.00;0.00;0.00;0.00;;0.00
1487;0.14;0.14;0.00;0.00;0.00;1;1.00
1488;0.00;0.00;0.00;0.00;0.00;;0.00
1489;0.00;0.00;0.00;0.00;0.00;;0.00
1490;0.00;0.00;0.00;0.00;0.00;;0.00
1491;0.00;0.00;0.00;0.00;0.00;;0.00
1492;0.00;0.00;0.00;0.00;0.00;;0.00
1493;0.00;0.00;0.00;0.00;0.00;;0.00
1494;0.00;0.00;0.00;0.00;0.00;;0.00
1495;0.29;0.00;0.14;0.14;0.29;2;2.00
1496;0.00;0.00;0.00;0.00;0.00;;0.00
1497;0.00;0.00;0.00;0.00;0.00;;0.00
1498;0.00;0.00;0.00;0.00;0.00;;0.00
1499;0.00;0.00;0.00;0.00;0.00;;0.00
1500;0.00;0.00;0.00;0.00;0.00;;0.00
1501;1.00;0.86;1.00;0.57;0.71;7;7.00
1502;0.00;0.00;0.00;0.00;0.00;;0.00
1503;0.00;0.00;0.00;0.00;0.00;;0.00
1504;0.00;0.00;0.00;0.00;0.00;;0.00
1505;0.00;0.00;0.00;0.00;0.00;;0.00
1506;0.00;0.00;0.00;0.00;0.00;;0.00
1507;0.29;0.00;0.29;0.00;0.00;2;2.00
1508;0.00;0.00;0.00;0.00;0.00;;0.00
1509;0.00;0.00;0.00;0.00;0.00;;0.00
1510;0.00;0.00;0.00;0.00;0.00;;0.00
1511;0.29;0.14;0.14;0.29;0.14;2;2.00
1512;0.00;0.00;0.00;0.00;0.00;;0.00
1513;0.00;0.00;0.00;0.00;0.00;;0.00
1514;0.00;0.00;0.00;0.00;0.00;;0.00
1515;0.00;0.00;0.00;0.00;0.00;;0.00
1516;0.00;0.00;0.00;0.00;0.00;;0.00
1517;0.00;0.00;0.00;0.00;0.00;;0.00
1518;0.00;0.00;0.00;0.00;0.00;;0.00
1519;0.00;0.00;0.00;0.00;0.00;;0.00
1520;0.00;0.00;0.00;0.00;0.00;;0.00
1521;0.00;0.00;0.00;0.00;0.00;;0.00
1522;0.00;0.00;0.00;0.00;0.00;;0.00
1523;0.00;0.00;0.00;0.00;0.00;;0.00
1524;0.00;0.00;0.00;0.00;0.00;;0.00
1525;0.00;0.00;0.00;0.00;0.00;;0.00
1526;0.00;0.00;0.00;0.00;0.00;;0.00
1527;0.00;0.00;0.00;0.00;0.00;;0.00
1528;0.00;0.00;0.00;0.00;0.00;;0.00
1530;0.00;0.00;0.00;0.00;0.00;;0.00
1531;0.00;0.00;0.00;0.00;0.00;;0.00
1532;0.00;0.00;0.00;0.00;0.00;;0.00
1533;0.00;0.00;0.00;0.00;0.00;;0.00
1534;0.00;0.00;0.00;0.00;0.00;;0.00
1535;0.00;0.00;0.00;0.00;0.00;;0.00
1536;0.00;0.00;0.00;0.00;0.00;;0.00
1537;0.00;0.00;0.00;0.00;0.00;;0.00
1538;0.00;0.00;0.00;0.00;0.00;;0.00
1539;0.00;0.00;0.00;0.00;0.00;;0.00
1540;0.00;0.00;0.00;0.00;0.00;;0.00
