Animal Number;Group Name;Lactation Number;Days In Milk;Avg Daily Yield Last 7 Days;Avg Daily Milkings Last 7 Days;Max Milking Interval Last 7 Days;Avg Yield Per Milking Last 7 Days;Avg Milking Duration Last 7 Days;Avg Flow Last 7 Days;Avg Daily Harvesting Flow Last 7 Days;Avg Kick_Offs Per Milking Last 7 Days;Avg Incomplete Milkings Last 7 Days;Performance Index
1058;VMS 1&2 group;2;445;39.88;2.57;13:50;15.51;06:57;4.24;2.23;0.06;0.00;100
948;VMS 1&2 group;3;437;34.01;2.43;18:28;14.88;06:05;4.83;2.46;0.00;0.00;100
1320;VMS 3 & 4 Group;1;414;32.60;1.57;21:54;20.75;07:03;4.72;2.96;0.00;0.00;100
1200;VMS 1&2 group;2;356;34.33;2.43;13:55;14.14;06:56;3.94;2.04;0.00;0.00;100
1329;VMS 3 & 4 Group;1;355;31.39;2.29;15:49;13.73;05:44;4.62;2.41;0.00;0.14;100
1192;VMS 1&2 group;2;353;41.97;2.29;14:30;17.62;07:11;5.00;2.45;0.06;0.14;100
1171;VMS 1&2 group;2;318;40.39;2.43;14:32;16.63;05:36;6.59;2.98;0.06;0.00;100
1362;VMS 3 & 4 Group;1;317;34.73;3.00;12:16;11.58;04:43;6.15;2.46;0.05;0.14;100
973;VMS 3 & 4 Group;3;313;35.14;1.86;17:57;18.92;08:03;4.11;2.37;0.00;0.00;100
1389;VMS 3 & 4 Group;1;312;29.58;1.71;19:34;17.25;09:20;3.25;1.85;0.00;0.14;100
1223;VMS 3 & 4 Group;2;312;40.90;3.71;09:21;11.01;05:14;4.70;2.11;0.00;0.00;100
1237;VMS 3 & 4 Group;2;311;36.26;2.29;16:33;15.86;07:00;5.23;2.27;0.00;0.14;100
1198;VMS 1&2 group;2;309;32.85;2.43;14:18;13.52;05:29;5.54;2.47;0.06;0.00;100
1219;VMS 1&2 group;2;306;37.56;2.43;16:33;15.47;06:42;4.84;2.31;0.24;0.00;100
1126;VMS 1&2 group;3;306;33.76;1.43;19:18;23.64;10:40;3.61;2.23;0.00;0.00;100
1039;VMS 1&2 group;3;302;45.05;2.71;12:33;16.60;07:21;4.54;2.27;0.00;0.00;100
1380;VMS 3 & 4 Group;1;301;33.01;3.00;13:33;11.00;04:32;5.55;2.43;0.00;0.14;100
1207;VMS 1&2 group;2;296;34.38;2.43;15:57;14.16;07:48;4.10;1.82;0.00;0.00;100
1372;VMS 3 & 4 Group;1;295;36.72;2.29;13:28;16.06;06:45;5.17;2.38;0.00;0.00;100
738;VMS 1&2 group;5;293;32.85;2.86;14:11;11.50;05:15;5.78;2.19;0.00;0.00;100
1232;VMS 1&2 group;2;291;34.93;1.86;18:33;18.81;08:30;4.39;2.22;0.00;0.00;100
1365;VMS 3 & 4 Group;1;290;39.47;2.71;15:33;14.54;04:26;7.44;3.29;0.05;0.00;100
1359;VMS 3 & 4 Group;1;288;42.23;3.00;12:24;14.08;06:55;4.36;2.04;0.00;0.00;100
905;VMS 1&2 group;4;288;35.35;2.86;13:40;12.37;06:33;4.01;1.89;0.00;0.00;100
1100;VMS 1&2 group;3;284;44.75;2.29;16:15;19.58;07:34;4.43;2.59;0.00;0.00;100
1061;VMS 1&2 group;3;284;39.25;2.14;13:09;18.32;07:47;4.01;2.37;0.00;0.00;100
896;VMS 1&2 group;4;284;29.78;2.57;15:30;11.58;06:50;3.56;1.70;0.06;0.14;100
1364;VMS 3 & 4 Group;1;283;28.63;1.43;21:02;20.04;06:30;6.65;3.08;0.00;0.00;100
1212;VMS 1&2 group;2;282;35.37;2.00;16:30;17.69;06:12;5.01;2.88;0.00;0.00;100
1360;VMS 3 & 4 Group;1;280;36.94;2.86;12:31;12.93;06:25;4.03;2.02;0.00;0.00;100
912;VMS 1&2 group;4;278;29.58;1.43;22:45;20.71;06:33;6.02;3.19;0.00;0.00;100
1376;VMS 3 & 4 Group;1;277;35.64;3.57;11:53;9.98;04:52;4.71;2.05;0.00;0.00;100
1091;VMS 1&2 group;3;276;46.17;2.29;16:48;20.20;08:31;4.27;2.38;0.00;0.00;100
1092;VMS 1&2 group;3;272;42.38;2.43;14:30;17.45;06:23;5.14;2.75;0.00;0.14;100
1255;VMS 1&2 group;2;271;43.44;2.57;15:24;16.90;05:56;5.17;2.84;0.00;0.00;100
1414;VMS 3 & 4 Group;1;267;32.01;2.00;16:20;16.01;07:10;5.25;2.24;0.07;0.00;100
1354;VMS 3 & 4 Group;1;267;34.89;1.86;18:15;18.79;06:51;4.55;2.74;0.08;0.00;100
1245;VMS 1&2 group;2;267;46.52;2.43;13:35;19.16;06:35;6.25;2.91;0.06;0.00;100
1371;VMS 3 & 4 Group;1;265;26.26;1.43;26:35;18.38;08:20;3.59;2.21;0.00;0.00;100
1267;VMS 1&2 group;2;264;33.19;2.00;18:16;16.59;08:23;3.43;1.99;0.00;0.00;100
1370;VMS 3 & 4 Group;1;259;37.43;2.71;14:35;13.79;06:04;4.93;2.28;0.00;0.00;100
1264;VMS 1&2 group;2;258;36.72;3.00;12:47;12.24;04:25;6.46;2.79;0.62;0.00;100
1081;VMS 1&2 group;3;258;50.40;2.57;11:07;19.60;06:54;5.14;2.85;0.00;0.00;100
1398;VMS 3 & 4 Group;1;257;31.41;2.71;12:11;11.57;06:05;4.47;1.91;0.00;0.00;100
1404;VMS 3 & 4 Group;1;256;33.02;4.29;08:24;7.70;04:08;6.04;1.86;0.00;0.14;100
1391;VMS 3 & 4 Group;1;256;33.77;2.86;11:15;11.82;05:11;5.00;2.29;0.00;0.00;100
1399;VMS 3 & 4 Group;1;254;34.97;2.71;13:22;12.88;07:39;3.33;1.69;0.00;0.00;100
837;VMS 1&2 group;4;254;44.05;2.71;11:28;16.23;06:11;4.32;2.64;0.00;0.00;100
736;VMS 1&2 group;5;253;35.00;2.43;13:48;14.41;07:14;3.41;1.99;0.00;0.00;100
1410;VMS 3 & 4 Group;1;252;33.56;2.57;16:33;13.05;07:49;2.80;1.68;0.00;0.00;100
1098;VMS 1&2 group;3;252;56.16;2.86;12:58;19.66;07:38;4.73;2.59;0.00;0.00;100
1422;VMS 3 & 4 Group;1;251;30.13;2.29;15:33;13.18;05:40;5.12;2.34;0.06;0.00;100
1401;VMS 3 & 4 Group;1;251;27.51;2.57;13:47;10.70;04:33;6.54;2.38;0.00;0.14;100
1397;VMS 3 & 4 Group;1;249;33.08;3.00;12:37;11.03;04:37;6.04;2.39;0.00;0.14;100
1385;VMS 3 & 4 Group;1;249;31.50;2.57;12:40;12.25;06:01;4.19;2.04;0.06;0.00;100
1259;VMS 1&2 group;2;249;44.06;2.43;15:38;18.14;06:57;4.47;2.61;0.00;0.00;100
921;VMS 1&2 group;4;249;31.52;2.57;15:47;12.26;05:32;4.72;2.23;0.00;0.00;100
1246;VMS 1&2 group;2;248;45.22;3.29;12:38;13.76;06:28;4.42;2.14;0.00;0.00;100
1361;VMS 3 & 4 Group;1;247;25.95;1.71;20:37;16.96;07:22;4.16;2.31;0.00;0.00;100
1243;VMS 1&2 group;2;246;38.31;2.43;15:35;15.77;04:55;6.97;3.23;0.00;0.00;100
1233;VMS 1&2 group;2;246;40.62;2.57;13:53;15.80;06:19;4.86;2.52;0.11;0.00;100
