Animal Number;Date;Incomplete;Incomplete Milkings;Kickoff LF;Kickoff LR;Kickoff RF;Kickoff RR;Incomplete Milkings;OCC(*1000 cells/ml);Peak Flow LF;Peak Flow LR;Peak Flow RF;Peak Flow RR;Yield LF;Yield LR;Yield RF;Yield RR;Yield/Hour;Yield/Hour LF;Yield/Hour LR;Yield/Hour RF;Yield/Hour RR;Avg. Milking Duration;Avg. Milking Interval;Days In Milk;Milk Duration (mm:ss);Lactation Number;Position;Teats Not Found;Begin Time;End Time;Mean Flow LF;Mean Flow LR;Mean Flow RF;Mean Flow RR
897;11/15/2023;All;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;03:19;06:04:13;199;03:19;4;0;All;11/15/2023 4:05 AM;4:08 AM;0.00;0.00;0.00;0.00
1489;11/10/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;03:58;09:34:13;1;03:58;1;0;All;11/10/2023 5:08 PM;5:12 PM;0.00;0.00;0.00;0.00
1472;11/15/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;0.42;0.36;1.08;0.42;0.04;0.02;1.68;0.04;0.00;0.00;0.00;0.00;0.00;10:48;00:14:13;58;10:48;1;0;LF, LR, RR;11/15/2023 3:07 AM;3:17 AM;0.30;0.24;0.60;0.24
1472;11/10/2023;;0;Unchecked;Checked;Unchecked;Unchecked;0;;0.00;0.48;0.48;0.00;0.00;0.25;0.19;0.00;0.00;0.00;0.00;0.00;0.00;11:19;00:11:29;53;11:19;1;0;LF, RF, RR;11/10/2023 2:32 PM;2:43 PM;0.00;0.30;0.30;0.00
1401;11/10/2023;RF, RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;8;2.58;1.92;0.00;0.00;3.34;2.65;0.00;0.00;0.51;0.29;0.23;0.00;0.00;05:49;11:34:15;244;05:49;1;0;RF, RR;11/10/2023 1:54 PM;2:00 PM;1.92;1.38;0.00;0.00
1262;11/17/2023;;0;Unchecked;Checked;Unchecked;Unchecked;0;;1.98;2.46;2.04;0.24;8.13;8.16;8.41;0.07;1.97;0.65;0.65;0.67;0.01;11:59;12:21:57;112;11:59;2;0;RR;11/17/2023 12:18 PM;12:30 PM;1.26;1.44;1.32;0.12
1328;11/16/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;2.94;2.34;2.04;0.00;3.35;4.95;3.83;0.00;1.38;0.38;0.56;0.44;0.00;05:49;08:41:13;65;05:49;2;0;RR;11/16/2023 10:52 AM;10:58 AM;1.74;1.62;1.44;0.00
1262;11/16/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.68;2.64;1.68;0.00;4.67;4.91;5.36;0.00;2.17;0.68;0.71;0.78;0.00;10:43;06:43:02;111;10:43;2;0;RR;11/16/2023 6:52 AM;7:03 AM;1.20;1.44;1.08;0.00
1511;11/15/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;0.96;1.20;0.84;0.54;0.36;0.56;0.47;0.15;0.14;0.03;0.05;0.04;0.01;08:20;10:31:36;1;08:20;1;0;RR;11/15/2023 5:54 PM;6:03 PM;0.36;0.54;0.30;0.30
1262;11/14/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.50;1.74;1.86;0.00;6.44;7.74;6.69;0.00;2.26;0.70;0.84;0.72;0.00;09:07;09:04:02;109;09:07;2;0;RR;11/14/2023 1:02 PM;1:12 PM;1.02;1.26;1.08;0.00
1262;11/14/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.56;1.14;1.44;0.00;3.22;2.01;3.37;0.00;1.68;0.63;0.39;0.66;0.00;10:41;04:56:20;109;10:41;2;0;RR;11/14/2023 3:48 AM;3:58 AM;1.02;0.66;1.02;0.00
1262;11/13/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.86;2.16;1.98;0.00;7.93;7.92;8.10;0.00;2.02;0.67;0.67;0.68;0.00;09:54;11:41:08;108;09:54;2;0;RR;11/13/2023 10:42 PM;10:51 PM;1.26;1.44;1.32;0.00
1380;11/13/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.80;2.04;1.80;0.00;2.41;3.50;2.10;0.00;1.01;0.30;0.44;0.27;0.00;04:47;07:50:59;297;04:47;1;0;RR;11/13/2023 6:35 AM;6:39 AM;1.38;1.56;1.32;0.00
1262;11/13/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.98;2.22;2.04;0.18;7.22;7.72;7.13;0.01;2.16;0.71;0.76;0.70;0.00;09:12;10:03:50;108;09:12;2;0;RR;11/13/2023 1:13 AM;1:22 AM;1.26;1.38;1.32;0.06
1501;11/12/2023;RR;1;Checked;Checked;Unchecked;Unchecked;1;;1.56;1.50;1.68;0.00;2.25;3.15;2.82;0.00;0.89;0.24;0.34;0.31;0.00;05:15;09:08:30;16;05:15;1;0;RR;11/12/2023 4:59 PM;5:04 PM;1.08;1.08;1.26;0.00
1409;11/12/2023;RR;1;Unchecked;Unchecked;Unchecked;Checked;1;;1.20;1.74;1.32;1.38;2.17;2.91;2.21;0.18;1.11;0.32;0.43;0.33;0.03;07:19;06:35:22;175;07:19;1;0;RR;11/12/2023 2:32 PM;2:39 PM;0.90;1.02;1.02;0.66
1262;11/12/2023;RR;1;Checked;Unchecked;Unchecked;Unchecked;1;;1.74;1.74;1.80;0.30;5.64;5.92;6.62;0.02;2.07;0.64;0.67;0.75;0.00;08:28;08:38:27;107;08:28;2;0;RR;11/12/2023 10:23 AM;10:32 AM;1.32;1.20;1.20;0.18
1262;11/12/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.44;1.98;1.44;0.00;5.98;6.43;6.22;0.00;1.98;0.64;0.68;0.66;0.00;09:29;09:13:57;107;09:29;2;0;RR;11/12/2023 1:35 AM;1:45 AM;1.08;1.26;1.08;0.00
1092;11/11/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;40;1.86;1.74;2.04;0.00;3.23;2.95;3.54;0.00;1.19;0.39;0.36;0.43;0.00;06:11;08:04:55;266;06:11;3;0;RR;11/11/2023 9:16 PM;9:22 PM;1.32;0.90;1.50;0.00
1362;11/11/2023;RR;1;Unchecked;Unchecked;Unchecked;Checked;1;;1.74;2.22;2.16;0.30;3.18;3.53;2.66;0.01;0.98;0.33;0.37;0.28;0.00;05:44;09:29:35;311;05:44;1;0;RR;11/11/2023 7:10 PM;7:16 PM;1.32;1.74;1.74;0.18
1262;11/11/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.80;1.92;2.34;0.00;7.38;7.90;7.83;0.00;1.83;0.58;0.62;0.62;0.00;10:05;12:29:31;106;10:05;2;0;RR;11/11/2023 4:11 PM;4:21 PM;1.26;1.32;1.38;0.00
904;11/10/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;11;1.08;1.26;1.14;0.00;3.01;5.56;2.89;0.00;1.34;0.35;0.65;0.34;0.00;11:58;08:23:48;118;11:58;4;0;RR;11/10/2023 11:23 PM;11:35 PM;0.78;0.90;0.84;0.00
1409;11/10/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;14;1.26;1.68;1.56;0.00;2.41;3.32;2.41;0.00;1.05;0.31;0.43;0.31;0.00;06:47;07:39:59;173;06:47;1;0;RR;11/10/2023 7:39 PM;7:46 PM;0.84;1.08;1.14;0.00
1472;11/10/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.32;0.90;1.08;0.00;1.99;1.92;2.35;0.00;0.84;0.27;0.26;0.32;0.00;06:20;07:21:12;53;06:20;1;0;RR;11/10/2023 2:01 PM;2:07 PM;0.78;0.60;0.72;0.00
1216;11/10/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.68;1.50;1.50;0.00;4.03;5.66;3.29;0.00;0.59;0.18;0.26;0.15;0.00;08:54;21:51:49;292;08:54;2;0;RR;11/10/2023 9:22 AM;9:31 AM;1.20;1.02;1.14;0.00
1472;11/10/2023;RR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;0.36;0.36;0.12;0.66;0.03;0.03;0.01;0.89;0.00;0.00;0.00;0.00;0.00;10:49;00:02:21;53;10:49;1;0;LF, RF, LR;11/10/2023 2:10 PM;2:20 PM;0.18;0.18;0.06;0.36
1262;11/16/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.74;0.12;1.68;1.80;5.64;0.01;5.52;5.39;2.14;0.73;0.00;0.71;0.70;13:26;07:31:55;111;13:26;2;0;LR;11/16/2023 11:43 PM;11:56 PM;1.20;0.06;1.08;1.32
1262;11/16/2023;LR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.80;0.18;1.62;2.04;6.09;0.03;5.95;6.26;2.01;0.67;0.00;0.65;0.69;10:07;08:58:14;111;10:07;2;0;LR;11/16/2023 4:01 PM;4:11 PM;1.14;0.06;1.20;1.32
1262;11/16/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.74;0.00;1.62;1.74;5.45;0.00;6.35;6.70;2.17;0.64;0.00;0.74;0.79;08:34;08:22:42;111;08:34;2;0;LR;11/16/2023 12:00 AM;12:09 AM;1.20;0.00;1.08;1.26
1262;11/15/2023;LR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.80;0.42;1.80;1.44;6.40;0.10;6.25;6.12;1.97;0.67;0.01;0.65;0.64;09:14;09:25:51;110;09:14;2;0;LR;11/15/2023 3:28 PM;3:37 PM;1.26;0.18;1.20;1.08
1178;11/15/2023;LR;1;Unchecked;Checked;Unchecked;Unchecked;1;154;1.74;0.66;1.08;1.14;3.87;0.07;3.05;2.81;1.55;0.61;0.01;0.48;0.44;08:15;06:11:41;61;08:15;3;0;LR;11/15/2023 3:50 AM;3:59 AM;1.32;0.42;0.66;0.84
1262;11/14/2023;LR;1;Unchecked;Unchecked;Unchecked;Checked;1;;1.98;0.00;1.98;1.74;6.05;0.00;7.01;5.22;1.82;0.60;0.00;0.70;0.52;10:36;09:53:15;109;10:36;2;0;LR;11/14/2023 11:05 PM;11:15 PM;1.26;0.00;1.20;1.02
962;11/14/2023;LR;1;Unchecked;Checked;Unchecked;Unchecked;1;745;1.44;0.24;1.68;1.38;3.01;0.01;2.81;4.80;1.59;0.45;0.00;0.42;0.72;07:31;06:32:25;115;07:31;4;0;LR;11/14/2023 3:08 PM;3:16 PM;1.08;0.18;1.14;0.96
1507;11/13/2023;;0;Unchecked;Checked;Unchecked;Unchecked;0;;1.08;0.48;1.08;1.38;0.80;0.04;2.18;2.60;0.53;0.08;0.00;0.21;0.25;09:07;10:26:33;3;09:07;1;0;LR;11/13/2023 5:50 PM;5:59 PM;0.66;0.30;0.84;1.02
1262;11/13/2023;LR;1;Unchecked;Unchecked;Unchecked;Unchecked;1;;1.98;0.00;1.98;1.98;6.58;0.00;6.71;7.08;2.11;0.68;0.00;0.70;0.73;09:17;09:28:50;108;09:17;2;0;LR;11/13/2023 10:51 AM;11:00 AM;1.32;0.00;1.32;1.38
1507;11/13/2023;;0;Unchecked;Unchecked;Unchecked;Unchecked;0;;1.02;0.36;1.14;1.26;1.05;0.08;2.18;1.90;0.37;0.07;0.01;0.15;0.13;12:33;13:52:05;3;12:33;1;0;LR;11/13/2023 7:11 AM;7:24 AM;0.60;0.12;0.84;0.90
