,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,0.533,0.058,-0.116,0.119,0.406
sarea_udder,0.546,-0.012,-0.175,0.001,0.494
peri_udder,0.602,-0.05,-0.294,0.076,0.648
area_udder,0.58,-0.022,-0.265,0.048,0.636
circ_udder,-0.305,0.017,-0.01,-0.086,-0.297
exc_udder,-0.036,-0.035,0.182,-0.203,0.016
min_teat,0.294,0.162,-0.011,-0.002,0.245
max_teat,0.146,0.049,0.022,-0.016,0.105
min_eu,0.139,0.174,0.102,-0.032,0.094
max_eu,0.474,0.01,-0.161,0.177,0.488
min_gd,0.176,0.112,0.098,0.008,0.184
max_gd,0.452,0.096,-0.058,0.181,0.493
