,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,3.1688936110946555e-07,0.9252487527303721,0.5240710279953538,0.8152621302554839,0.00018924417066554653
sarea_udder,1.0182144383990825e-07,0.9252487527303721,0.28995793205350034,0.9914076823553386,1.8198812563754674e-06
peri_udder,2.0094333833400738e-09,0.9252487527303721,0.05154274896630016,0.9394734114227921,2.7339144654055255e-11
area_udder,5.610969194344048e-09,0.9252487527303721,0.059488738188216206,0.9914076823553386,3.2863843813549386e-11
circ_udder,0.008094147286575978,0.9252487527303721,0.9272345069389866,0.9394734114227921,0.01157949604045502
exc_udder,0.7393643732580183,0.9252487527303721,0.28995793205350034,0.35454127197966256,0.8806596651876009
min_teat,0.006813611692855481,0.7122941845807441,0.9272345069389866,0.9914076823553386,0.02628780859604482
max_teat,0.1934395477331208,0.9252487527303721,0.9272345069389866,0.9914076823553386,0.37705560115440134
min_eu,0.19929889244020207,0.7122941845807441,0.5240710279953538,0.9914076823553386,0.40309206288842203
max_eu,3.4203712246514333e-06,0.9252487527303721,0.28995793205350034,0.35454127197966256,1.7830238016538628e-06
min_gd,0.12305546752931436,0.9252487527303721,0.5240710279953538,0.9914076823553386,0.10295032667978882
max_gd,1.1000545717987507e-05,0.9252487527303721,0.7729600154929966,0.35454127197966256,1.7830238016538628e-06
