,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,1.0562978703648852e-07,0.5928386989114482,0.28514458109020163,0.27175404341849463,9.462208533277327e-05
sarea_udder,2.5455360959977062e-08,0.9090487938207601,0.09830172663230845,0.9914076823553386,7.582838568231115e-07
peri_udder,1.6745278194500613e-10,0.6322244285908882,0.004295229080525013,0.46973670571139603,2.2782620545046047e-12
area_udder,9.351615323906747e-10,0.8326589211199276,0.009914789698036034,0.6489189621931934,5.477307302258231e-12
circ_udder,0.005396098191050652,0.8829971491226312,0.9272345069389866,0.4427989665875807,0.006754706023598762
exc_udder,0.7393643732580183,0.7508422246200012,0.09289947887391577,0.061018923159871466,0.8806596651876009
min_teat,0.003974606820832364,0.11871569743012401,0.9135113356128003,0.9812065644651087,0.017525205730696547
max_teat,0.161199623110934,0.6422300929784335,0.8299069393487725,0.8810369176288545,0.3142130009620011
min_eu,0.1826906514035186,0.09255370076072879,0.32755580086348257,0.7585042764247084,0.36950105764772023
max_eu,1.4251546769380973e-06,0.9252487527303721,0.1208158050222918,0.08863531799491564,5.943412672179542e-07
min_gd,0.09229160064698577,0.2859283144359641,0.34938068533023586,0.9426438719153453,0.07721274500984161
max_gd,5.5002728589937536e-06,0.36135761592859394,0.5797200116197475,0.08290434417457848,5.098107477719315e-07
