cow,vol_udder,sarea_udder,peri_udder,area_udder,circ_udder,exc_udder,date,begin_time,days_in_milk,device_name,lactation_number,interval_sec,yield,is_incomplete,occ
627,6.742235279216353,2202.840956612092,,,,0.614121871853345,20231117,2023-11-17 16:58:00,92.0,VMS_1,6,32640.0,21.51,Unchecked,300.0
723,5.866113739301144,1557.547076751207,1074.2051942088826,66114.5,,0.7274539718513864,20231117,2023-11-17 17:50:00,35.0,VMS_4,5,31383.0,12.03,Unchecked,
729,,,1239.0249993622774,92486.5,0.7564082788836594,0.5482087900648037,20231117,2023-11-17 11:28:00,170.0,VMS_1,5,37676.0,26.79,Unchecked,45.0
736,8.529069151065816,2190.923732283639,,,,0.6412490262556668,20231117,2023-11-17 15:28:00,253.0,VMS_2,5,47296.0,22.87,Unchecked,25.0
764,6.316109322081853,,1211.9108216936545,80918.0,,0.559735827730548,20231117,2023-11-17 14:49:00,164.0,VMS_3,5,32304.0,18.84,Unchecked,
778,7.435423584924918,2315.90990269921,1204.773736703807,88318.0,0.7674757040558919,0.5819290471652531,20231117,2023-11-17 14:02:00,54.0,VMS_2,5,21352.0,13.87,Unchecked,157.0
785,10.780987395718295,2297.708316845874,1281.66966030295,,0.758247952348037,0.6633811174107564,20231117,2023-11-17 12:51:00,36.0,VMS_1,5,38855.0,21.77,Unchecked,48.0
808,7.242970408004401,2212.334897742524,,92220.0,,0.6651285554099251,20231117,2023-11-17 17:33:00,29.0,VMS_1,5,31261.0,22.5,Unchecked,20.0
837,6.873320523250293,1884.50930247094,1236.7148622007608,88666.0,,,20231117,2023-11-17 16:50:00,254.0,VMS_2,4,38376.0,19.86,Unchecked,11.0
856,11.23319497170679,2058.2220384124707,1092.2640687119283,75697.0,0.7986342006997659,,20231117,2023-11-17 15:24:00,120.0,VMS_1,4,27535.0,19.54,Unchecked,402.0
861,5.331675883438992,1971.5110262189803,1151.7026688919411,81318.0,0.7713425792854874,0.4710806347544675,20231117,2023-11-17 12:24:00,162.0,VMS_1,4,34988.0,18.78,Unchecked,57.0
