"Row.names","ll_yield","ul_yield","ll_ec","ul_ec","ll_mf","ul_mf","ll_pf","ul_pf"
"(Intercept)",-0.92,-0.57,-0.64,-0.1,-0.07,0.46,-0.06,0.5
".sig01",0.26,0.45,0.53,0.75,0.69,0.95,0.67,0.92
".sigma",0.48,0.58,0.58,0.7,0.43,0.52,0.49,0.59
"area",0.13,0.35,-0.2,0.09,-0.14,0.09,-0.14,0.13
"circ",-0.03,0.13,-0.15,0.07,-0.13,0.04,-0.17,0.02
"days_in_milk",-0.14,0.04,-0.12,0.15,-0.09,0.23,-0.11,0.22
"exc",-0.06,0.1,-0.18,0,-0.03,0.11,-0.04,0.13
"interval_sec",0.4,0.57,-0.2,0.11,-0.48,-0.14,-0.42,-0.11
"len",-0.03,0.14,-0.08,0.14,-0.05,0.13,-0.03,0.17
"locationrear",0.39,0.88,-0.48,0.09,-0.4,0.1,-0.44,0.09
"parity1",0.4,0.73,0.41,0.97,-0.33,0.27,-0.3,0.33
"sideright",-0.06,0.17,-0.03,0.23,-0.21,0.01,-0.27,-0.03
"yield",NA,NA,-0.02,0.26,0.46,0.67,0.36,0.61
