,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,"ConfidenceInterval(low=0.30680840512667484, high=0.5627846819520811)","ConfidenceInterval(low=-0.05456742554914582, high=0.269380314944653)","ConfidenceInterval(low=-0.23052974624981537, high=0.04637492206568684)","ConfidenceInterval(low=-0.17071404668902165, high=0.1539107860624076)","ConfidenceInterval(low=0.12865497064251574, high=0.45047767074141293)"
sarea_udder,"ConfidenceInterval(low=0.33801988269277594, high=0.5761469387587015)","ConfidenceInterval(low=-0.19301891592623077, high=0.10616228296309183)","ConfidenceInterval(low=-0.26561737680014846, high=0.04738058927671565)","ConfidenceInterval(low=-0.2082142435101232, high=0.09839962822678276)","ConfidenceInterval(low=0.20601342797511454, high=0.5016064727041939)"
peri_udder,"ConfidenceInterval(low=0.43007312564298694, high=0.6601542313522623)","ConfidenceInterval(low=-0.22731056699585064, high=0.0846823251062138)","ConfidenceInterval(low=-0.39112967572359053, high=-0.04073807485978889)","ConfidenceInterval(low=-0.15161752545557214, high=0.19899495991572042)","ConfidenceInterval(low=0.6325712962260581, high=0.7861967681308268)"
area_udder,"ConfidenceInterval(low=0.41536526738461627, high=0.648011765548315)","ConfidenceInterval(low=-0.23419804577342176, high=0.09700991155473467)","ConfidenceInterval(low=-0.3502620125364698, high=-0.013385602654235438)","ConfidenceInterval(low=-0.18711693034534055, high=0.1689920900953201)","ConfidenceInterval(low=0.6006341820218755, high=0.7717179555615951)"
circ_udder,"ConfidenceInterval(low=-0.4909155942338463, high=-0.20264921150056023)","ConfidenceInterval(low=-0.13242428206355666, high=0.18760798523853414)","ConfidenceInterval(low=-0.049756994178507104, high=0.17475922430402746)","ConfidenceInterval(low=-0.23558011314560193, high=0.09351751486210048)","ConfidenceInterval(low=-0.4974332255855038, high=-0.18299255995896668)"
exc_udder,"ConfidenceInterval(low=-0.1433025137696702, high=0.20008238703316014)","ConfidenceInterval(low=-0.13654671215032801, high=0.2224458686888602)","ConfidenceInterval(low=-0.22080175335179836, high=0.17931414384589064)","ConfidenceInterval(low=-0.345824372220269, high=-0.029085903975378854)","ConfidenceInterval(low=-0.078826990986834, high=0.2447461766071304)"
min_teat,"ConfidenceInterval(low=0.052358366132902956, high=0.34620163206719484)","ConfidenceInterval(low=-0.1746678459886239, high=0.11074055293047486)","ConfidenceInterval(low=-0.19909699484013946, high=0.10312962181740852)","ConfidenceInterval(low=-0.11403171151932345, high=0.19403473730032322)","ConfidenceInterval(low=0.17223882503167473, high=0.4465863580804383)"
max_teat,"ConfidenceInterval(low=-0.024669860426357607, high=0.29225210896638804)","ConfidenceInterval(low=-0.15703817375663182, high=0.11256034686642634)","ConfidenceInterval(low=-0.1217885252670729, high=0.07346437649863065)","ConfidenceInterval(low=-0.1689642928690023, high=0.13517946428422406)","ConfidenceInterval(low=0.012129071639821333, high=0.3027221726354981)"
min_eu,"ConfidenceInterval(low=-0.015238742946459938, high=0.2824266729493318)","ConfidenceInterval(low=-0.08014737239537265, high=0.23975868368043324)","ConfidenceInterval(low=0.012343262398317349, high=0.3247009502937978)","ConfidenceInterval(low=-0.28095986871370654, high=0.018756062738392244)","ConfidenceInterval(low=-0.03862444828899135, high=0.28115558688432507)"
max_eu,"ConfidenceInterval(low=0.16594071639953004, high=0.5137214610386793)","ConfidenceInterval(low=-0.22171757981882007, high=0.11794049410334649)","ConfidenceInterval(low=-0.25087080244653054, high=-0.07505273984696538)","ConfidenceInterval(low=-0.11114453764572184, high=0.2127163766423569)","ConfidenceInterval(low=0.26548571788653186, high=0.5994639397645976)"
min_gd,"ConfidenceInterval(low=0.013717241642488649, high=0.3110418523802543)","ConfidenceInterval(low=-0.112265872297025, high=0.1865517365660735)","ConfidenceInterval(low=-0.018378045842584036, high=0.19836460017349405)","ConfidenceInterval(low=-0.24263398677561537, high=0.0628559861679881)","ConfidenceInterval(low=0.04575946722696804, high=0.36561653541679484)"
max_gd,"ConfidenceInterval(low=0.28991727135251144, high=0.5491093582100265)","ConfidenceInterval(low=-0.07605180047399368, high=0.21762427397484813)","ConfidenceInterval(low=-0.2148233715109409, high=0.04733396763417131)","ConfidenceInterval(low=-0.0764190486766399, high=0.21499811157286278)","ConfidenceInterval(low=0.3373581237834741, high=0.5653760707736702)"
