,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,0.4501920433229083,0.11358500033592647,-0.07803707817396102,-0.009584178950162225,0.2948318372698651
sarea_udder,0.4639619452286248,-0.0471214155250187,-0.1356350540631743,-0.05628759547069946,0.383631332825099
peri_udder,0.5615987725671041,-0.07179074009396888,-0.2285234226927142,0.01682293615496443,0.7242390655017006
area_udder,0.545836216939003,-0.0732525482909129,-0.205207865658749,-0.01934908272966003,0.7002136793408535
circ_udder,-0.36071385616591545,0.024319787142379454,0.05873905868236985,-0.07775184501599514,-0.35773054896906104
exc_udder,0.030658819915329955,0.06510528275587606,0.025875991326690856,-0.19239190552093066,0.07859935746131155
min_teat,0.20159123394627665,-0.0333158295594721,-0.026244241225877284,0.04548663323029199,0.3125998176009622
max_teat,0.13253311954033103,-0.025679998682780637,-0.010382757574387766,-0.019913871402536334,0.16120274620015293
min_eu,0.13946812665420585,0.09847689586834188,0.14977755954741095,-0.1314012720107819,0.12017804662486034
max_eu,0.37754567744746126,-0.0464223306003649,-0.16875857978885372,0.05224107178359952,0.4799495343900311
min_gd,0.16324216828841367,0.03294857682201574,0.09604632098013925,-0.09045872575948219,0.21283298481151025
max_gd,0.4274550306239646,0.08047668705928826,-0.07292727661260291,0.07485693693707877,0.46284854430805156
