,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,1.8286159651628781e-07,0.7886141685343754,0.5877544851666151,0.913147749563663,0.0008995434133670314
sarea_udder,6.564058933091386e-08,0.7886141685343754,0.2835465209440219,0.8883595789163682,1.1398337058221252e-05
peri_udder,1.3652610657283938e-11,0.7886141685343754,0.08942798568619988,0.913147749563663,2.640905347776516e-22
area_udder,3.789906031027813e-11,0.7886141685343754,0.09929101358454882,0.913147749563663,1.4366958944059966e-20
circ_udder,6.623186162171905e-05,0.7886141685343754,0.6892909286911745,0.8883595789163682,9.04591019044714e-05
exc_udder,0.7311899500717477,0.7886141685343754,0.842039663333071,0.35494905537250926,0.3778350914541179
min_teat,0.024786843274038416,0.7886141685343754,0.842039663333071,0.8883595789163682,0.000275509919248401
max_teat,0.12784973920282264,0.7886141685343754,0.902745189661928,0.913147749563663,0.06741453293236008
min_eu,0.11742039672918365,0.7886141685343754,0.22567996742275076,0.7143281568004541,0.1682984261984261
max_eu,7.249679132049906e-06,0.7886141685343754,0.17872654894663273,0.8883595789163682,6.022092366734754e-09
min_gd,0.0719498971972019,0.7886141685343754,0.5179149003018596,0.8883595789163682,0.015439976038413836
max_gd,3.321097142870198e-07,0.7886141685343754,0.5877544851666151,0.8883595789163682,2.5562573760536406e-08
