,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,6.095386550542928e-08,0.19470643489672365,0.3737840976056478,0.913147749563663,0.0005996956089113543
sarea_udder,1.6410147332728465e-08,0.5887419621323168,0.1181443837266758,0.5182896714693533,4.749307107592189e-06
peri_udder,1.1377175547736615e-12,0.4062214730632353,0.007452332140516656,0.8458702449775943,2.2007544564804298e-23
area_udder,6.316510051713022e-12,0.3967062051092336,0.01654850226409147,0.8230800146910001,2.394493157343328e-21
circ_udder,3.863525261266945e-05,0.7886141685343754,0.5169681965183809,0.3907049602776198,4.52295509522357e-05
exc_udder,0.7311899500717477,0.4653097448537955,0.7718696913886485,0.029579087947709106,0.3778350914541179
min_teat,0.016524562182692278,0.6949171275095954,0.7573882566844571,0.5922397192775788,0.00016071411956156725
max_teat,0.1171955942692541,0.76244735161257,0.902745189661928,0.8146880822900495,0.0561787774436334
min_eu,0.09785033060765305,0.24363384953200842,0.07522665580758359,0.11905469280007569,0.15427355734855727
max_eu,3.624839566024953e-06,0.58328521827569,0.04468163723665818,0.5369420684139463,1.5055230916836884e-09
min_gd,0.05396242289790144,0.6991541177069817,0.2589574501509298,0.2878241258265119,0.011579982028810377
max_gd,1.383790476195916e-07,0.34455159071654157,0.39183632344441005,0.3793945203071648,8.520857920178801e-09
