,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,0.45,0.114,-0.078,-0.01,0.295
sarea_udder,0.464,-0.047,-0.136,-0.056,0.384
peri_udder,0.562,-0.072,-0.229,0.017,0.724
area_udder,0.546,-0.073,-0.205,-0.019,0.7
circ_udder,-0.361,0.024,0.059,-0.078,-0.358
exc_udder,0.031,0.065,0.026,-0.192,0.079
min_teat,0.202,-0.033,-0.026,0.045,0.313
max_teat,0.133,-0.026,-0.01,-0.02,0.161
min_eu,0.139,0.098,0.15,-0.131,0.12
max_eu,0.378,-0.046,-0.169,0.052,0.48
min_gd,0.163,0.033,0.096,-0.09,0.213
max_gd,0.427,0.08,-0.073,0.075,0.463
