,yield_visit_mean,interval_sec_mean,kickoff_any_perc,days_in_milk,lactation
vol_udder,0.0,0.195,0.374,0.913,0.001
sarea_udder,0.0,0.589,0.118,0.518,0.0
peri_udder,0.0,0.406,0.007,0.846,0.0
area_udder,0.0,0.397,0.017,0.823,0.0
circ_udder,0.0,0.789,0.517,0.391,0.0
exc_udder,0.731,0.465,0.772,0.03,0.378
min_teat,0.017,0.695,0.757,0.592,0.0
max_teat,0.117,0.762,0.903,0.815,0.056
min_eu,0.098,0.244,0.075,0.119,0.154
max_eu,0.0,0.583,0.045,0.537,0.0
min_gd,0.054,0.699,0.259,0.288,0.012
max_gd,0.0,0.345,0.392,0.379,0.0
