filename,cow,frame_class
1003_20231117_163646_frame_1,1003,1
1003_20231117_163646_frame_10,1003,1
1003_20231117_163646_frame_100,1003,1
1003_20231117_163646_frame_101,1003,1
1003_20231117_163646_frame_102,1003,1
1003_20231117_163646_frame_103,1003,1
1003_20231117_163646_frame_104,1003,1
1003_20231117_163646_frame_105,1003,1
1003_20231117_163646_frame_106,1003,1
1003_20231117_163646_frame_107,1003,1
1003_20231117_163646_frame_108,1003,1
1003_20231117_163646_frame_109,1003,1
1003_20231117_163646_frame_11,1003,1
1003_20231117_163646_frame_110,1003,1
1003_20231117_163646_frame_111,1003,1
1003_20231117_163646_frame_112,1003,1
1003_20231117_163646_frame_113,1003,1
1003_20231117_163646_frame_114,1003,1
1003_20231117_163646_frame_115,1003,1
1003_20231117_163646_frame_116,1003,1
1003_20231117_163646_frame_117,1003,1
1003_20231117_163646_frame_118,1003,1
1003_20231117_163646_frame_119,1003,1
1003_20231117_163646_frame_12,1003,1
1003_20231117_163646_frame_120,1003,1
1003_20231117_163646_frame_121,1003,1
1003_20231117_163646_frame_122,1003,1
1003_20231117_163646_frame_123,1003,1
1003_20231117_163646_frame_124,1003,1
1003_20231117_163646_frame_125,1003,1
1003_20231117_163646_frame_126,1003,1
1003_20231117_163646_frame_127,1003,1
1003_20231117_163646_frame_128,1003,1
1003_20231117_163646_frame_129,1003,1
1003_20231117_163646_frame_13,1003,1
1003_20231117_163646_frame_130,1003,1
1003_20231117_163646_frame_131,1003,1
1003_20231117_163646_frame_132,1003,1
1003_20231117_163646_frame_133,1003,1
1003_20231117_163646_frame_134,1003,1
1003_20231117_163646_frame_135,1003,1
1003_20231117_163646_frame_136,1003,1
1003_20231117_163646_frame_137,1003,1
1003_20231117_163646_frame_138,1003,1
1003_20231117_163646_frame_139,1003,1
1003_20231117_163646_frame_14,1003,1
1003_20231117_163646_frame_140,1003,1
1003_20231117_163646_frame_141,1003,1
1003_20231117_163646_frame_142,1003,1
1003_20231117_163646_frame_143,1003,1
1003_20231117_163646_frame_144,1003,1
1003_20231117_163646_frame_145,1003,1
1003_20231117_163646_frame_146,1003,1
1003_20231117_163646_frame_147,1003,1
1003_20231117_163646_frame_148,1003,1
1003_20231117_163646_frame_149,1003,1
1003_20231117_163646_frame_15,1003,1
1003_20231117_163646_frame_150,1003,1
1003_20231117_163646_frame_151,1003,1
1003_20231117_163646_frame_152,1003,1
1003_20231117_163646_frame_153,1003,1
1003_20231117_163646_frame_154,1003,1
1003_20231117_163646_frame_155,1003,1
1003_20231117_163646_frame_156,1003,1
1003_20231117_163646_frame_157,1003,1
1003_20231117_163646_frame_158,1003,1
1003_20231117_163646_frame_159,1003,1
1003_20231117_163646_frame_16,1003,1
1003_20231117_163646_frame_160,1003,1
1003_20231117_163646_frame_161,1003,1
1003_20231117_163646_frame_162,1003,1
1003_20231117_163646_frame_163,1003,1
1003_20231117_163646_frame_164,1003,1
1003_20231117_163646_frame_165,1003,1
1003_20231117_163646_frame_166,1003,1
1003_20231117_163646_frame_167,1003,1
1003_20231117_163646_frame_168,1003,1
1003_20231117_163646_frame_169,1003,1
1003_20231117_163646_frame_17,1003,1
1003_20231117_163646_frame_170,1003,1
1003_20231117_163646_frame_171,1003,1
1003_20231117_163646_frame_172,1003,1
1003_20231117_163646_frame_173,1003,1
1003_20231117_163646_frame_174,1003,1
1003_20231117_163646_frame_175,1003,1
1003_20231117_163646_frame_176,1003,1
1003_20231117_163646_frame_177,1003,1
1003_20231117_163646_frame_178,1003,1
1003_20231117_163646_frame_179,1003,1
1003_20231117_163646_frame_18,1003,1
1003_20231117_163646_frame_180,1003,1
1003_20231117_163646_frame_181,1003,1
1003_20231117_163646_frame_182,1003,1
1003_20231117_163646_frame_183,1003,1
1003_20231117_163646_frame_184,1003,1
1003_20231117_163646_frame_185,1003,1
1003_20231117_163646_frame_186,1003,1
1003_20231117_163646_frame_187,1003,1
1003_20231117_163646_frame_188,1003,1
1003_20231117_163646_frame_189,1003,1
1003_20231117_163646_frame_19,1003,1
1003_20231117_163646_frame_190,1003,1
1003_20231117_163646_frame_191,1003,1
1003_20231117_163646_frame_192,1003,1
1003_20231117_163646_frame_193,1003,1
1003_20231117_163646_frame_194,1003,1
1003_20231117_163646_frame_195,1003,1
1003_20231117_163646_frame_196,1003,1
1003_20231117_163646_frame_197,1003,1
1003_20231117_163646_frame_198,1003,1
1003_20231117_163646_frame_199,1003,1
1003_20231117_163646_frame_2,1003,1
1003_20231117_163646_frame_20,1003,1
1003_20231117_163646_frame_200,1003,1
1003_20231117_163646_frame_201,1003,1
1003_20231117_163646_frame_202,1003,1
1003_20231117_163646_frame_203,1003,1
