cow,group,frame_class,date,computer,filename,fold_group,set_name
125,A,0,20210625,lab,20210625_125_under_435,3,test
125,A,0,20210625,lab,20210625_125_under_355,3,test
125,A,0,20210625,lab,20210625_125_under_314,3,test
125,A,0,20210625,lab,20210625_125_under_270,3,test
125,A,0,20210625,lab,20210625_125_under_403,3,test
125,A,0,20210625,lab,20210625_125_under_400,3,test
125,A,0,20210625,lab,20210625_125_under_341,3,test
125,A,0,20210625,lab,20210625_125_under_282,3,test
125,A,0,20210625,lab,20210625_125_under_240,3,test
125,A,0,20210625,lab,20210625_125_under_336,3,test
125,A,0,20210625,lab,20210625_125_under_277,3,test
125,A,0,20210625,lab,20210625_125_under_323,3,test
125,A,0,20210625,lab,20210625_125_under_379,3,test
125,A,0,20210625,lab,20210625_125_under_439,3,test
125,A,0,20210625,lab,20210625_125_under_289,3,test
125,A,0,20210625,lab,20210625_125_under_346,3,test
125,A,0,20210625,lab,20210625_125_under_352,3,test
125,A,0,20210625,lab,20210625_125_under_291,3,test
125,A,0,20210625,lab,20210625_125_under_356,3,test
125,A,0,20210625,lab,20210625_125_under_423,3,test
125,A,0,20210625,lab,20210625_125_under_243,3,test
125,A,0,20210625,lab,20210625_125_under_369,3,test
125,A,0,20210625,lab,20210625_125_under_193,3,test
125,A,0,20210625,lab,20210625_125_under_306,3,test
125,A,0,20210625,lab,20210625_125_under_354,3,test
125,A,0,20210625,lab,20210625_125_under_387,3,test
125,A,0,20210625,lab,20210625_125_under_364,3,test
125,A,0,20210625,lab,20210625_125_under_276,3,test
125,A,0,20210625,lab,20210625_125_under_262,3,test
125,A,0,20210625,lab,20210625_125_under_414,3,test
125,A,0,20210625,lab,20210625_125_under_413,3,test
125,A,0,20210625,lab,20210625_125_under_190,3,test
125,A,0,20210625,lab,20210625_125_under_373,3,test
125,A,0,20210625,lab,20210625_125_under_248,3,test
125,A,0,20210625,lab,20210625_125_under_363,3,test
125,A,0,20210625,lab,20210625_125_under_235,3,test
125,A,0,20210625,lab,20210625_125_under_340,3,test
125,A,0,20210625,lab,20210625_125_under_405,3,test
125,A,0,20210625,lab,20210625_125_under_229,3,test
125,A,0,20210625,lab,20210625_125_under_437,3,test
125,A,0,20210625,lab,20210625_125_under_436,3,test
125,A,0,20210625,lab,20210625_125_under_215,3,test
125,A,0,20210625,lab,20210625_125_under_247,3,test
125,A,0,20210625,lab,20210625_125_under_242,3,test
125,A,0,20210625,lab,20210625_125_under_204,3,test
125,A,0,20210625,lab,20210625_125_under_224,3,test
125,A,0,20210625,lab,20210625_125_under_212,3,test
125,A,0,20210625,lab,20210625_125_under_208,3,test
125,A,0,20210625,lab,20210625_125_under_213,3,test
125,A,0,20210625,lab,20210625_125_under_233,3,test
125,A,0,20210625,lab,20210625_125_under_271,3,test
125,A,0,20210625,lab,20210625_125_under_285,3,test
125,A,0,20210625,lab,20210625_125_under_424,3,test
125,A,0,20210625,lab,20210625_125_under_309,3,test
125,A,0,20210625,lab,20210625_125_under_227,3,test
125,A,0,20210625,lab,20210625_125_under_372,3,test
125,A,0,20210625,lab,20210625_125_under_238,3,test
125,A,0,20210625,lab,20210625_125_under_301,3,test
125,A,0,20210625,lab,20210625_125_under_266,3,test
125,A,0,20210625,lab,20210625_125_under_236,3,test
125,A,0,20210625,lab,20210625_125_under_280,3,test
125,A,0,20210625,lab,20210625_125_under_407,3,test
125,A,0,20210625,lab,20210625_125_under_382,3,test
125,A,0,20210625,lab,20210625_125_under_294,3,test
125,A,0,20210625,lab,20210625_125_under_367,3,test
125,A,0,20210625,lab,20210625_125_under_421,3,test
125,A,0,20210625,lab,20210625_125_under_283,3,test
125,A,0,20210625,lab,20210625_125_under_410,3,test
125,A,0,20210625,lab,20210625_125_under_221,3,test
125,A,0,20210625,lab,20210625_125_under_380,3,test
125,A,0,20210625,lab,20210625_125_under_401,3,test
125,A,0,20210625,lab,20210625_125_under_284,3,test
125,A,0,20210625,lab,20210625_125_under_335,3,test
125,A,0,20210625,lab,20210625_125_under_384,3,test
125,A,0,20210625,lab,20210625_125_under_226,3,test
125,A,0,20210625,lab,20210625_125_under_288,3,test
125,A,0,20210625,lab,20210625_125_under_321,3,test
125,A,0,20210625,lab,20210625_125_under_304,3,test
125,A,0,20210625,lab,20210625_125_under_275,3,test
125,A,0,20210625,lab,20210625_125_under_432,3,test
125,A,0,20210625,lab,20210625_125_under_264,3,test
125,A,0,20210625,lab,20210625_125_under_422,3,test
125,A,0,20210625,lab,20210625_125_under_211,3,test
125,A,0,20210625,lab,20210625_125_under_241,3,test
125,A,0,20210625,lab,20210625_125_under_326,3,test
125,A,0,20210625,lab,20210625_125_under_237,3,test
125,A,0,20210625,lab,20210625_125_under_210,3,test
125,A,0,20210625,lab,20210625_125_under_188,3,test
125,A,0,20210625,lab,20210625_125_under_274,3,test
125,A,0,20210625,lab,20210625_125_under_232,3,test
125,A,0,20210625,lab,20210625_125_under_412,3,test
125,A,0,20210625,lab,20210625_125_under_317,3,test
125,A,0,20210625,lab,20210625_125_under_385,3,test
125,A,0,20210625,lab,20210625_125_under_396,3,test
125,A,0,20210625,lab,20210625_125_under_230,3,test
125,A,0,20210625,lab,20210625_125_under_249,3,test
125,A,0,20210625,lab,20210625_125_under_327,3,test
125,A,0,20210625,lab,20210625_125_under_332,3,test
125,A,0,20210625,lab,20210625_125_under_365,3,test
125,A,0,20210625,lab,20210625_125_under_310,3,test
125,A,0,20210625,lab,20210625_125_under_398,3,test
125,A,0,20210625,lab,20210625_125_under_408,3,test
125,A,0,20210625,lab,20210625_125_under_261,3,test
125,A,0,20210625,lab,20210625_125_under_404,3,test
125,A,0,20210625,lab,20210625_125_under_246,3,test
125,A,0,20210625,lab,20210625_125_under_371,3,test
125,A,0,20210625,lab,20210625_125_under_199,3,test
125,A,0,20210625,lab,20210625_125_under_258,3,test
125,A,0,20210625,lab,20210625_125_under_375,3,test
125,A,0,20210625,lab,20210625_125_under_337,3,test
125,A,0,20210625,lab,20210625_125_under_338,3,test
125,A,0,20210625,lab,20210625_125_under_206,3,test
125,A,0,20210625,lab,20210625_125_under_244,3,test
125,A,0,20210625,lab,20210625_125_under_253,3,test
125,A,0,20210625,lab,20210625_125_under_359,3,test
125,A,0,20210625,lab,20210625_125_under_381,3,test
125,A,0,20210625,lab,20210625_125_under_250,3,test
125,A,0,20210625,lab,20210625_125_under_357,3,test
125,A,0,20210625,lab,20210625_125_under_350,3,test
125,A,0,20210625,lab,20210625_125_under_406,3,test
125,A,0,20210625,lab,20210625_125_under_202,3,test
125,A,0,20210625,lab,20210625_125_under_348,3,test
125,A,0,20210625,lab,20210625_125_under_197,3,test
125,A,0,20210625,lab,20210625_125_under_347,3,test
125,A,0,20210625,lab,20210625_125_under_325,3,test
125,A,0,20210625,lab,20210625_125_under_402,3,test
125,A,0,20210625,lab,20210625_125_under_223,3,test
125,A,0,20210625,lab,20210625_125_under_302,3,test
125,A,0,20210625,lab,20210625_125_under_388,3,test
125,A,0,20210625,lab,20210625_125_under_191,3,test
125,A,0,20210625,lab,20210625_125_under_279,3,test
125,A,0,20210625,lab,20210625_125_under_303,3,test
125,A,0,20210625,lab,20210625_125_under_394,3,test
125,A,0,20210625,lab,20210625_125_under_209,3,test
125,A,0,20210625,lab,20210625_125_under_268,3,test
125,A,0,20210625,lab,20210625_125_under_239,3,test
125,A,0,20210625,lab,20210625_125_under_200,3,test
125,A,0,20210625,lab,20210625_125_under_259,3,test
125,A,0,20210625,lab,20210625_125_under_207,3,test
125,A,0,20210625,lab,20210625_125_under_298,3,test
125,A,0,20210625,lab,20210625_125_under_222,3,test
125,A,0,20210625,lab,20210625_125_under_257,3,test
125,A,0,20210625,lab,20210625_125_under_307,3,test
125,A,0,20210625,lab,20210625_125_under_216,3,test
125,A,0,20210625,lab,20210625_125_under_419,3,test
125,A,0,20210625,lab,20210625_125_under_256,3,test
125,A,0,20210625,lab,20210625_125_under_374,3,test
125,A,0,20210625,lab,20210625_125_under_343,3,test
125,A,0,20210625,lab,20210625_125_under_313,3,test
125,A,0,20210625,lab,20210625_125_under_430,3,test
125,A,0,20210625,lab,20210625_125_under_431,3,test
125,A,0,20210625,lab,20210625_125_under_251,3,test
125,A,0,20210625,lab,20210625_125_under_361,3,test
125,A,0,20210625,lab,20210625_125_under_411,3,test
125,A,0,20210625,lab,20210625_125_under_315,3,test
125,A,0,20210625,lab,20210625_125_under_269,3,test
125,A,0,20210625,lab,20210625_125_under_360,3,test
125,A,0,20210625,lab,20210625_125_under_329,3,test
125,A,0,20210625,lab,20210625_125_under_353,3,test
125,A,0,20210625,lab,20210625_125_under_263,3,test
125,A,0,20210625,lab,20210625_125_under_219,3,test
125,A,0,20210625,lab,20210625_125_under_358,3,test
125,A,0,20210625,lab,20210625_125_under_434,3,test
125,A,0,20210625,lab,20210625_125_under_328,3,test
125,A,0,20210625,lab,20210625_125_under_339,3,test
125,A,0,20210625,lab,20210625_125_under_349,3,test
125,A,0,20210625,lab,20210625_125_under_320,3,test
125,A,0,20210625,lab,20210625_125_under_409,3,test
125,A,0,20210625,lab,20210625_125_under_234,3,test
125,A,0,20210625,lab,20210625_125_under_383,3,test
125,A,0,20210625,lab,20210625_125_under_196,3,test
125,A,0,20210625,lab,20210625_125_under_386,3,test
125,A,0,20210625,lab,20210625_125_under_201,3,test
125,A,0,20210625,lab,20210625_125_under_281,3,test
125,A,0,20210625,lab,20210625_125_under_203,3,test
125,A,0,20210625,lab,20210625_125_under_378,3,test
125,A,0,20210625,lab,20210625_125_under_272,3,test
125,A,0,20210625,lab,20210625_125_under_220,3,test
125,A,0,20210625,lab,20210625_125_under_344,3,test
125,A,0,20210625,lab,20210625_125_under_427,3,test
125,A,0,20210625,lab,20210625_125_under_265,3,test
125,A,0,20210625,lab,20210625_125_under_278,3,test
125,A,0,20210625,lab,20210625_125_under_318,3,test
125,A,0,20210625,lab,20210625_125_under_370,3,test
125,A,0,20210625,lab,20210625_125_under_311,3,test
125,A,0,20210625,lab,20210625_125_under_254,3,test
125,A,0,20210625,lab,20210625_125_under_198,3,test
125,A,0,20210625,lab,20210625_125_under_425,3,test
125,A,0,20210625,lab,20210625_125_under_296,3,test
125,A,0,20210625,lab,20210625_125_under_295,3,test
125,A,0,20210625,lab,20210625_125_under_287,3,test
125,A,0,20210625,lab,20210625_125_under_322,3,test
125,A,0,20210625,lab,20210625_125_under_420,3,test
125,A,0,20210625,lab,20210625_125_under_205,3,test
125,A,0,20210625,lab,20210625_125_under_334,3,test
125,A,0,20210625,lab,20210625_125_under_389,3,test
125,A,0,20210625,lab,20210625_125_under_225,3,test
125,A,0,20210625,lab,20210625_125_under_255,3,test
125,A,0,20210625,lab,20210625_125_under_189,3,test
125,A,0,20210625,lab,20210625_125_under_218,3,test
125,A,1,20210625,lab,20210625_125_under_127,3,test
125,A,1,20210625,lab,20210625_125_under_21,3,test
125,A,1,20210625,lab,20210625_125_under_104,3,test
125,A,1,20210625,lab,20210625_125_under_117,3,test
125,A,1,20210625,lab,20210625_125_under_491,3,test
125,A,1,20210625,lab,20210625_125_under_71,3,test
125,A,1,20210625,lab,20210625_125_under_145,3,test
125,A,1,20210625,lab,20210625_125_under_138,3,test
