,cow,filename
0,627,627_20231117_frame_653
1,627,627_20231117_frame_447
2,627,627_20231117_frame_527
3,627,627_20231117_frame_400
4,627,627_20231117_frame_517
5,627,627_20231117_frame_646
6,627,627_20231117_frame_564
7,627,627_20231117_frame_659
8,627,627_20231117_frame_536
9,627,627_20231117_frame_402
10,627,627_20231117_frame_393
11,627,627_20231117_frame_438
12,627,627_20231117_frame_478
13,627,627_20231117_frame_361
14,627,627_20231117_frame_667
15,627,627_20231117_frame_448
16,627,627_20231117_frame_571
17,627,627_20231117_frame_430
18,627,627_20231117_frame_693
19,627,627_20231117_frame_416
20,627,627_20231117_frame_553
21,627,627_20231117_frame_669
22,627,627_20231117_frame_652
23,627,627_20231117_frame_692
24,627,627_20231117_frame_415
25,627,627_20231117_frame_472
26,627,627_20231117_frame_390
27,627,627_20231117_frame_631
28,627,627_20231117_frame_495
29,627,627_20231117_frame_389
30,723,723_20231117_frame_151
31,723,723_20231117_frame_303
32,723,723_20231117_frame_197
33,723,723_20231117_frame_390
34,723,723_20231117_frame_416
35,723,723_20231117_frame_179
36,723,723_20231117_frame_142
37,723,723_20231117_frame_394
38,723,723_20231117_frame_102
39,723,723_20231117_frame_144
40,723,723_20231117_frame_325
41,723,723_20231117_frame_175
42,723,723_20231117_frame_173
43,723,723_20231117_frame_335
44,723,723_20231117_frame_345
45,723,723_20231117_frame_182
46,723,723_20231117_frame_388
47,723,723_20231117_frame_196
48,723,723_20231117_frame_191
49,723,723_20231117_frame_165
50,723,723_20231117_frame_176
51,723,723_20231117_frame_302
52,723,723_20231117_frame_164
53,723,723_20231117_frame_167
54,723,723_20231117_frame_171
55,723,723_20231117_frame_392
56,723,723_20231117_frame_113
57,723,723_20231117_frame_266
58,723,723_20231117_frame_146
59,723,723_20231117_frame_377
60,729,729_20231117_frame_82
61,729,729_20231117_frame_31
62,729,729_20231117_frame_423
63,729,729_20231117_frame_56
64,729,729_20231117_frame_218
65,729,729_20231117_frame_302
66,729,729_20231117_frame_135
67,729,729_20231117_frame_354
68,729,729_20231117_frame_414
69,729,729_20231117_frame_97
70,729,729_20231117_frame_225
71,729,729_20231117_frame_394
72,729,729_20231117_frame_30
73,729,729_20231117_frame_438
74,729,729_20231117_frame_15
75,729,729_20231117_frame_188
76,729,729_20231117_frame_213
77,729,729_20231117_frame_77
78,729,729_20231117_frame_203
79,729,729_20231117_frame_375
80,729,729_20231117_frame_235
81,729,729_20231117_frame_239
82,729,729_20231117_frame_322
83,729,729_20231117_frame_450
84,729,729_20231117_frame_353
85,729,729_20231117_frame_41
86,729,729_20231117_frame_386
87,729,729_20231117_frame_349
88,729,729_20231117_frame_397
89,729,729_20231117_frame_280
90,736,736_20231117_frame_621
91,736,736_20231117_frame_455
92,736,736_20231117_frame_137
93,736,736_20231117_frame_675
94,736,736_20231117_frame_148
95,736,736_20231117_frame_689
96,736,736_20231117_frame_200
97,736,736_20231117_frame_587
98,736,736_20231117_frame_467
99,736,736_20231117_frame_519
100,736,736_20231117_frame_564
101,736,736_20231117_frame_198
102,736,736_20231117_frame_386
103,736,736_20231117_frame_674
104,736,736_20231117_frame_469
105,736,736_20231117_frame_696
106,736,736_20231117_frame_254
107,736,736_20231117_frame_604
108,736,736_20231117_frame_714
109,736,736_20231117_frame_47
110,736,736_20231117_frame_211
111,736,736_20231117_frame_126
112,736,736_20231117_frame_141
113,736,736_20231117_frame_36
114,736,736_20231117_frame_237
115,736,736_20231117_frame_702
116,736,736_20231117_frame_405
117,736,736_20231117_frame_475
118,736,736_20231117_frame_709
119,736,736_20231117_frame_464
120,764,764_20231117_frame_855
121,764,764_20231117_frame_172
122,764,764_20231117_frame_631
123,764,764_20231117_frame_924
124,764,764_20231117_frame_690
125,764,764_20231117_frame_494
126,764,764_20231117_frame_810
127,764,764_20231117_frame_518
128,764,764_20231117_frame_602
129,764,764_20231117_frame_887
130,764,764_20231117_frame_289
131,764,764_20231117_frame_644
132,764,764_20231117_frame_825
133,764,764_20231117_frame_284
134,764,764_20231117_frame_707
135,764,764_20231117_frame_848
136,764,764_20231117_frame_323
137,764,764_20231117_frame_695
138,764,764_20231117_frame_519
139,764,764_20231117_frame_165
140,764,764_20231117_frame_935
141,764,764_20231117_frame_904
142,764,764_20231117_frame_930
143,764,764_20231117_frame_467
144,764,764_20231117_frame_247
145,764,764_20231117_frame_313
146,764,764_20231117_frame_218
147,764,764_20231117_frame_662
148,764,764_20231117_frame_489
149,764,764_20231117_frame_647
150,778,778_20231117_frame_394
151,778,778_20231117_frame_421
152,778,778_20231117_frame_175
153,778,778_20231117_frame_95
154,778,778_20231117_frame_592
155,778,778_20231117_frame_189
156,778,778_20231117_frame_509
157,778,778_20231117_frame_601
158,778,778_20231117_frame_331
159,778,778_20231117_frame_31
160,778,778_20231117_frame_487
161,778,778_20231117_frame_540
162,778,778_20231117_frame_164
163,778,778_20231117_frame_495
164,778,778_20231117_frame_33
165,778,778_20231117_frame_610
166,778,778_20231117_frame_228
167,778,778_20231117_frame_512
168,778,778_20231117_frame_239
169,778,778_20231117_frame_543
170,778,778_20231117_frame_485
171,778,778_20231117_frame_21
172,778,778_20231117_frame_275
173,778,778_20231117_frame_218
174,778,778_20231117_frame_53
175,778,778_20231117_frame_597
176,778,778_20231117_frame_598
177,778,778_20231117_frame_612
178,778,778_20231117_frame_124
179,778,778_20231117_frame_546
180,785,785_20231117_frame_339
181,785,785_20231117_frame_821
182,785,785_20231117_frame_904
183,785,785_20231117_frame_418
184,785,785_20231117_frame_319
185,785,785_20231117_frame_665
186,785,785_20231117_frame_895
187,785,785_20231117_frame_844
188,785,785_20231117_frame_432
189,785,785_20231117_frame_260
190,785,785_20231117_frame_813
