cow,filename
627,627_20231117_165940_frame_653
627,627_20231117_165940_frame_447
627,627_20231117_165940_frame_527
627,627_20231117_165940_frame_400
627,627_20231117_165940_frame_517
627,627_20231117_165940_frame_646
627,627_20231117_165940_frame_564
627,627_20231117_165940_frame_659
627,627_20231117_165940_frame_536
627,627_20231117_165940_frame_402
627,627_20231117_165940_frame_393
627,627_20231117_165940_frame_438
627,627_20231117_165940_frame_478
627,627_20231117_165940_frame_361
627,627_20231117_165940_frame_667
627,627_20231117_165940_frame_448
627,627_20231117_165940_frame_571
627,627_20231117_165940_frame_430
627,627_20231117_165940_frame_693
627,627_20231117_165940_frame_416
627,627_20231117_165940_frame_553
627,627_20231117_165940_frame_669
627,627_20231117_165940_frame_652
627,627_20231117_165940_frame_692
627,627_20231117_165940_frame_415
627,627_20231117_165940_frame_472
627,627_20231117_165940_frame_390
627,627_20231117_165940_frame_631
627,627_20231117_165940_frame_495
627,627_20231117_165940_frame_389
723,723_20231117_175039_frame_151
723,723_20231117_175039_frame_303
723,723_20231117_175039_frame_197
723,723_20231117_175039_frame_390
723,723_20231117_175039_frame_416
723,723_20231117_175039_frame_179
723,723_20231117_175039_frame_142
723,723_20231117_175039_frame_394
723,723_20231117_175039_frame_102
723,723_20231117_175039_frame_144
723,723_20231117_175039_frame_325
723,723_20231117_175039_frame_175
723,723_20231117_175039_frame_173
723,723_20231117_175039_frame_335
723,723_20231117_175039_frame_345
723,723_20231117_175039_frame_182
723,723_20231117_175039_frame_388
723,723_20231117_175039_frame_196
723,723_20231117_175039_frame_191
723,723_20231117_175039_frame_165
723,723_20231117_175039_frame_176
723,723_20231117_175039_frame_302
723,723_20231117_175039_frame_164
723,723_20231117_175039_frame_167
723,723_20231117_175039_frame_171
723,723_20231117_175039_frame_392
723,723_20231117_175039_frame_113
723,723_20231117_175039_frame_266
723,723_20231117_175039_frame_146
723,723_20231117_175039_frame_377
729,729_20231117_112927_frame_82
729,729_20231117_112927_frame_31
729,729_20231117_112927_frame_423
729,729_20231117_112927_frame_56
729,729_20231117_112927_frame_218
729,729_20231117_112927_frame_302
729,729_20231117_112927_frame_135
729,729_20231117_112927_frame_354
729,729_20231117_112927_frame_414
