                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38357,                  0.869,                      1,                0.44927,              0.0033296,              0.0033296,              0.0033296
                      2,                0.19104,                0.83252,                      1,                 0.4713,              0.0065969,              0.0065969,              0.0065969
                      3,                0.13603,                0.87775,                      1,                0.43263,              0.0097983,              0.0097983,              0.0097983
                      4,                0.11388,                0.85769,                      1,                0.45438,               0.009703,               0.009703,               0.009703
                      5,                 0.0823,                0.81395,                      1,                0.48669,               0.009703,               0.009703,               0.009703
                      6,                 0.0538,                0.84532,                      1,                0.45952,               0.009604,               0.009604,               0.009604
                      7,                0.04136,                0.86473,                      1,                0.44379,               0.009505,               0.009505,               0.009505
                      8,                0.04182,                0.80009,                      1,                0.49199,               0.009406,               0.009406,               0.009406
                      9,                0.03091,                0.78259,                      1,                0.51447,               0.009307,               0.009307,               0.009307
                     10,                0.02153,                0.80691,                      1,                0.48882,               0.009208,               0.009208,               0.009208
                     11,                0.02206,                0.80435,                      1,                0.49515,               0.009109,               0.009109,               0.009109
                     12,                0.01568,                0.84212,                      1,                0.45833,                0.00901,                0.00901,                0.00901
                     13,                 0.0173,                 0.8067,                      1,                 0.4917,               0.008911,               0.008911,               0.008911
                     14,                 0.0176,                0.82185,                      1,                0.47889,               0.008812,               0.008812,               0.008812
                     15,                0.02438,                0.84126,                      1,                0.46232,               0.008713,               0.008713,               0.008713
                     16,                0.01288,                0.82206,                      1,                0.47734,               0.008614,               0.008614,               0.008614
                     17,                0.00441,                 0.8131,                      1,                0.48977,               0.008515,               0.008515,               0.008515
                     18,                0.00456,                0.82334,                      1,                 0.4809,               0.008416,               0.008416,               0.008416
                     19,                0.01022,                0.79304,                      1,                0.50825,               0.008317,               0.008317,               0.008317
                     20,                0.01576,                0.81438,                      1,                0.48673,               0.008218,               0.008218,               0.008218
                     21,                0.00892,                0.80841,                      1,                0.49111,               0.008119,               0.008119,               0.008119
                     22,                0.01369,                0.80499,                      1,                0.49119,                0.00802,                0.00802,                0.00802
                     23,                 0.0047,                 0.8195,                      1,                0.48058,               0.007921,               0.007921,               0.007921
                     24,                0.00462,                0.81054,                      1,                0.49328,               0.007822,               0.007822,               0.007822
                     25,                0.00162,                0.83294,                      1,                 0.4709,               0.007723,               0.007723,               0.007723
                     26,                0.00157,                0.85364,                      1,                0.45121,               0.007624,               0.007624,               0.007624
                     27,                0.00104,                0.81374,                      1,                0.48908,               0.007525,               0.007525,               0.007525
                     28,                0.00097,                 0.8355,                      1,                0.46653,               0.007426,               0.007426,               0.007426
                     29,                0.00102,                0.82569,                      1,                0.47596,               0.007327,               0.007327,               0.007327
                     30,                  9e-05,                 0.8323,                      1,                0.47299,               0.007228,               0.007228,               0.007228
                     31,                  8e-05,                 0.8227,                      1,                 0.4791,               0.007129,               0.007129,               0.007129
                     32,                  7e-05,                0.84276,                      1,                0.46378,                0.00703,                0.00703,                0.00703
                     33,                  4e-05,                0.83316,                      1,                 0.4709,               0.006931,               0.006931,               0.006931
                     34,                0.00032,                0.83444,                      1,                0.46949,               0.006832,               0.006832,               0.006832
                     35,                  4e-05,                0.83038,                      1,                0.47299,               0.006733,               0.006733,               0.006733
                     36,                  5e-05,                0.82526,                      1,                0.47825,               0.006634,               0.006634,               0.006634
                     37,                  4e-05,                 0.8163,                      1,                0.48469,               0.006535,               0.006535,               0.006535
                     38,                  4e-05,                0.82227,                      1,                0.47903,               0.006436,               0.006436,               0.006436
                     39,                  3e-05,                0.82505,                      1,                0.47594,               0.006337,               0.006337,               0.006337
                     40,                  3e-05,                0.82163,                      1,                  0.479,               0.006238,               0.006238,               0.006238
                     41,                  4e-05,                0.81673,                      1,                 0.4833,               0.006139,               0.006139,               0.006139
                     42,                  3e-05,                 0.8259,                      1,                 0.4775,                0.00604,                0.00604,                0.00604
                     43,                  3e-05,                0.82846,                      1,                0.47506,               0.005941,               0.005941,               0.005941
                     44,                  3e-05,                0.82505,                      1,                 0.4778,               0.005842,               0.005842,               0.005842
                     45,                  3e-05,                0.82483,                      1,                0.47769,               0.005743,               0.005743,               0.005743
                     46,                  3e-05,                 0.8259,                      1,                0.47752,               0.005644,               0.005644,               0.005644
                     47,                  8e-05,                0.82334,                      1,                 0.4795,               0.005545,               0.005545,               0.005545
                     48,                  4e-05,                0.82291,                      1,                0.48042,               0.005446,               0.005446,               0.005446
                     49,                  3e-05,                0.82227,                      1,                0.48088,               0.005347,               0.005347,               0.005347
                     50,                  3e-05,                0.82249,                      1,                0.48054,               0.005248,               0.005248,               0.005248
                     51,                  3e-05,                0.82355,                      1,                0.48034,               0.005149,               0.005149,               0.005149
                     52,                  3e-05,                 0.8227,                      1,                0.48054,                0.00505,                0.00505,                0.00505
                     53,                  2e-05,                0.82163,                      1,                0.48139,               0.004951,               0.004951,               0.004951
