                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4928,                 1.5638,                0.59147,                 1.2377,                 1.9141,                0.20144,                0.29336,                0.14845,                0.07936,                0.40549,                0.56556,                 0.4008,                0.11345,                 1.8042,                 2.3245,                0.47365,                 2.6291,                 2.1953,              0.0006618,              0.0006618,              0.0006618
                      2,                   1.21,                 1.1836,                  0.395,                0.79096,                 1.6672,                  0.804,                0.71126,                0.83913,                0.39652,                 0.7549,                0.67285,                0.75761,                0.31195,                 1.7842,                 1.8775,                0.11768,                 1.4855,                 2.3395,              0.0013153,              0.0013153,              0.0013153
                      3,                 1.1742,                0.97377,                0.32927,                0.77102,                 1.6328,                0.00567,                 0.0543,                  0.003,                0.00106,                0.03707,                0.35497,                0.02771,                0.00683,                 2.9411,                 2.5804,                0.55154,                  4.613,                 3.1585,              0.0019556,              0.0019556,              0.0019556
                      4,                 1.1355,                0.87769,                0.30143,                0.74929,                 1.6016,                0.57176,                0.37483,                0.50788,                0.36647,                0.57565,                0.31982,                0.43841,                0.14808,                 1.0658,                 2.0215,                0.11146,                 2.4056,                 1.6244,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0945,                0.76919,                0.29036,                 0.7061,                 1.5495,                0.02216,                 0.4649,                0.02738,                0.00653,                0.02905,                0.60927,                0.04252,                0.01124,                  3.831,                 3.6682,                0.36007,                 3.7582,                 3.9972,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.047,                 0.7472,                0.28196,                0.68467,                 1.5142,                0.93654,                0.91867,                0.97687,                0.64681,                0.89062,                0.87152,                0.91677,                  0.604,                 1.1124,                 1.3825,                 0.0372,                0.78379,                 1.5695,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0236,                0.68233,                0.28536,                0.65807,                 1.5033,                0.99318,                0.96378,                0.99186,                 0.6299,                0.90412,                0.86183,                0.86348,                0.52824,                 1.2274,                 1.7073,                0.04426,                0.77755,                 1.7395,               0.001901,               0.001901,               0.001901
                      8,                 1.0048,                0.67798,                0.27972,                0.64832,                 1.4857,                0.99557,                      1,                0.99496,                0.76002,                0.99425,                0.99868,                0.99404,                0.82875,                0.94894,                0.56191,                0.03688,                0.50325,                 1.4644,              0.0018812,              0.0018812,              0.0018812
                      9,                0.95199,                0.60907,                 0.2686,                0.62425,                 1.4419,                0.30702,                0.50331,                 0.2777,                0.10894,                0.24569,                0.38013,                0.18259,                0.03745,                 2.2923,                 4.0828,                0.03024,                 2.6244,                 3.0972,              0.0018614,              0.0018614,              0.0018614
                     10,                0.94852,                0.60114,                0.27066,                0.61124,                 1.4409,                0.06041,                0.65563,                 0.0613,                0.01963,                 0.0836,                0.90728,                0.08728,                0.03156,                 2.9186,                  2.861,                0.12992,                 3.6685,                 3.6252,              0.0018416,              0.0018416,              0.0018416
