                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5351,                 1.6571,                0.59192,                 1.2921,                 1.9532,                 0.4756,                0.63709,                0.46968,                0.16574,                0.68331,                0.86887,                0.78519,                0.28276,                 2.2293,                 2.3828,                0.35615,                 1.7753,                 2.8683,              0.0006618,              0.0006618,              0.0006618
                      2,                 1.2782,                 1.3562,                0.40854,                0.88633,                 1.7315,                0.90967,                0.92318,                0.86685,                0.36966,                0.98045,                0.99338,                0.99288,                0.44361,                 1.9295,                 1.9848,                0.05602,                0.96905,                  2.702,              0.0013153,              0.0013153,              0.0013153
                      3,                 1.2136,                 1.2557,                0.34663,                 0.8643,                 1.6779,                 0.4371,                0.58411,                0.43469,                  0.191,                0.70006,                0.74305,                0.82292,                0.31322,                 1.9563,                  2.286,                0.03752,                 1.5132,                 2.5718,              0.0019556,              0.0019556,              0.0019556
                      4,                 1.1735,                  1.229,                0.31131,                0.84381,                 1.6406,                0.82415,                0.83974,                0.86954,                0.36835,                0.93358,                0.94834,                0.98167,                0.41522,                 2.2895,                 1.9971,                0.06774,                 1.0021,                 2.6574,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1125,                 1.1277,                0.30494,                 0.7859,                 1.5858,                0.98066,                0.98146,                0.97186,                0.70962,                0.98595,                0.98675,                 0.9837,                0.41503,                0.98982,                 2.0339,                0.02075,                 0.4856,                  1.481,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.0773,                 1.1082,                0.29468,                0.74431,                 1.5512,                0.90976,                0.90796,                0.96242,                0.70791,                 0.9217,                0.91988,                0.97502,                0.46415,                 1.0289,                 1.9074,                0.13173,                0.81265,                 1.5163,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0474,                 1.0684,                0.29091,                0.71982,                 1.5313,                0.01803,                0.23311,                0.01174,                0.00152,                0.07675,                0.99205,                0.37581,                0.11271,                 4.0274,                 4.3152,                0.63552,                   3.73,                  4.222,               0.001901,               0.001901,               0.001901
                      8,                 1.0147,                 1.0602,                0.28779,                0.70176,                  1.506,                 0.8731,                0.80194,                0.91554,                 0.5291,                0.86009,                0.77881,                0.90491,                0.39623,                  1.462,                 1.9512,                0.04698,                 1.1451,                 1.9347,              0.0018812,              0.0018812,              0.0018812
                      9,                0.97296,                 1.0031,                0.28272,                0.68717,                 1.4698,                0.98136,                0.98146,                0.97358,                0.65381,                 0.9999,                      1,                  0.995,                0.53516,                  1.181,                 1.4129,                0.03907,                0.49752,                 1.7692,              0.0018614,              0.0018614,              0.0018614
                     10,                0.95887,                 0.9752,                0.27778,                0.68496,                 1.4681,                0.96607,                0.96291,                0.97664,                0.82652,                0.98467,                0.98146,                0.99416,                0.50067,                0.74795,                 1.6532,                0.07451,                0.55108,                 1.2952,              0.0018416,              0.0018416,              0.0018416
