                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4035,                0.75208,                      1,                0.55902,              0.0033296,              0.0033296,              0.0033296
                      2,                0.21063,                0.74973,                      1,                0.54947,              0.0065969,              0.0065969,              0.0065969
                      3,                0.17184,                0.85321,                      1,                0.46588,              0.0097983,              0.0097983,              0.0097983
                      4,                0.13551,                0.83828,                      1,                0.46464,               0.009703,               0.009703,               0.009703
                      5,                0.10244,                0.86303,                      1,                0.44438,               0.009703,               0.009703,               0.009703
                      6,                0.07728,                0.84894,                      1,                0.46049,               0.009604,               0.009604,               0.009604
                      7,                0.05803,                0.86516,                      1,                0.44006,               0.009505,               0.009505,               0.009505
                      8,                 0.0407,                0.86004,                      1,                0.44698,               0.009406,               0.009406,               0.009406
                      9,                0.03883,                0.83998,                      1,                0.46222,               0.009307,               0.009307,               0.009307
                     10,                 0.0393,                 0.8355,                      1,                0.46602,               0.009208,               0.009208,               0.009208
                     11,                0.02678,                0.83209,                      1,                0.46684,               0.009109,               0.009109,               0.009109
                     12,                 0.0228,                0.80713,                      1,                0.49666,                0.00901,                0.00901,                0.00901
                     13,                0.02873,                0.86281,                      1,                0.44044,               0.008911,               0.008911,               0.008911
                     14,                0.01948,                0.85897,                      1,                0.44448,               0.008812,               0.008812,               0.008812
                     15,                0.02192,                 0.8434,                      1,                0.45986,               0.008713,               0.008713,               0.008713
                     16,                0.01283,                  0.853,                      1,                0.45072,               0.008614,               0.008614,               0.008614
                     17,                0.01395,                0.86409,                      1,                 0.4432,               0.008515,               0.008515,               0.008515
                     18,                0.01166,                0.87241,                      1,                0.43423,               0.008416,               0.008416,               0.008416
                     19,                0.01465,                0.81523,                      1,                0.48602,               0.008317,               0.008317,               0.008317
                     20,                0.01091,                0.87455,                      1,                0.43381,               0.008218,               0.008218,               0.008218
                     21,                0.00577,                0.87049,                      1,                0.43738,               0.008119,               0.008119,               0.008119
                     22,                0.00352,                0.85534,                      1,                0.45179,                0.00802,                0.00802,                0.00802
                     23,                0.00123,                0.85172,                      1,                0.45309,               0.007921,               0.007921,               0.007921
                     24,                 0.0023,                0.85705,                      1,                0.44726,               0.007822,               0.007822,               0.007822
                     25,                0.00689,                0.84489,                      1,                0.46165,               0.007723,               0.007723,               0.007723
                     26,                0.00407,                 0.8626,                      1,                0.44585,               0.007624,               0.007624,               0.007624
                     27,                0.00865,                0.88393,                      1,                0.42381,               0.007525,               0.007525,               0.007525
                     28,                0.01357,                0.90292,                      1,                0.40897,               0.007426,               0.007426,               0.007426
                     29,                0.00843,                 0.8722,                      1,                0.43454,               0.007327,               0.007327,               0.007327
                     30,                0.00527,                0.86964,                      1,                0.43864,               0.007228,               0.007228,               0.007228
                     31,                0.00182,                0.84532,                      1,                0.45903,               0.007129,               0.007129,               0.007129
                     32,                0.00043,                0.86644,                      1,                0.43984,                0.00703,                0.00703,                0.00703
                     33,                0.00045,                0.87135,                      1,                0.43609,               0.006931,               0.006931,               0.006931
                     34,                0.00541,                0.88244,                      1,                0.42646,               0.006832,               0.006832,               0.006832
                     35,                  7e-05,                0.87647,                      1,                0.43193,               0.006733,               0.006733,               0.006733
                     36,                  6e-05,                0.87647,                      1,                0.43261,               0.006634,               0.006634,               0.006634
                     37,                  3e-05,                0.87796,                      1,                0.42946,               0.006535,               0.006535,               0.006535
                     38,                  4e-05,                0.87433,                      1,                0.43378,               0.006436,               0.006436,               0.006436
                     39,                  4e-05,                0.87433,                      1,                 0.4333,               0.006337,               0.006337,               0.006337
                     40,                  4e-05,                 0.8754,                      1,                 0.4331,               0.006238,               0.006238,               0.006238
                     41,                  3e-05,                0.87561,                      1,                0.43184,               0.006139,               0.006139,               0.006139
                     42,                  2e-05,                0.87796,                      1,                 0.4309,                0.00604,                0.00604,                0.00604
                     43,                  2e-05,                0.87604,                      1,                0.43234,               0.005941,               0.005941,               0.005941
                     44,                  2e-05,                0.87391,                      1,                0.43376,               0.005842,               0.005842,               0.005842
                     45,                 0.0002,                  0.869,                      1,                0.43779,               0.005743,               0.005743,               0.005743
                     46,                  8e-05,                0.87135,                      1,                0.43519,               0.005644,               0.005644,               0.005644
                     47,                  7e-05,                0.87199,                      1,                0.43709,               0.005545,               0.005545,               0.005545
                     48,                  4e-05,                0.87455,                      1,                0.43421,               0.005446,               0.005446,               0.005446
                     49,                  3e-05,                0.87476,                      1,                0.43353,               0.005347,               0.005347,               0.005347
                     50,                  3e-05,                0.87497,                      1,                0.43301,               0.005248,               0.005248,               0.005248
                     51,                  2e-05,                0.87433,                      1,                0.43235,               0.005149,               0.005149,               0.005149
                     52,                  2e-05,                0.87455,                      1,                0.43263,                0.00505,                0.00505,                0.00505
                     53,                  2e-05,                0.87476,                      1,                0.43324,               0.004951,               0.004951,               0.004951
                     54,                  2e-05,                0.87476,                      1,                0.43242,               0.004852,               0.004852,               0.004852
                     55,                  2e-05,                0.87476,                      1,                0.43329,               0.004753,               0.004753,               0.004753
                     56,                  2e-05,                0.87455,                      1,                0.43313,               0.004654,               0.004654,               0.004654
                     57,                  2e-05,                0.87369,                      1,                0.43237,               0.004555,               0.004555,               0.004555
                     58,                  2e-05,                0.87412,                      1,                0.43241,               0.004456,               0.004456,               0.004456
                     59,                  2e-05,                0.87412,                      1,                 0.4325,               0.004357,               0.004357,               0.004357
                     60,                  2e-05,                0.87455,                      1,                0.43292,               0.004258,               0.004258,               0.004258
                     61,                  2e-05,                0.87476,                      1,                0.43215,               0.004159,               0.004159,               0.004159
                     62,                  2e-05,                0.87455,                      1,                0.43222,                0.00406,                0.00406,                0.00406
                     63,                  2e-05,                0.87369,                      1,                0.43345,               0.003961,               0.003961,               0.003961
                     64,                  2e-05,                0.87369,                      1,                0.43317,               0.003862,               0.003862,               0.003862
                     65,                  2e-05,                0.87369,                      1,                0.43276,               0.003763,               0.003763,               0.003763
                     66,                 0.0006,                0.87369,                      1,                0.43319,               0.003664,               0.003664,               0.003664
                     67,                 0.0015,                0.87348,                      1,                0.43319,               0.003565,               0.003565,               0.003565
                     68,                  2e-05,                0.87369,                      1,                0.43368,               0.003466,               0.003466,               0.003466
                     69,                  2e-05,                0.87369,                      1,                0.43318,               0.003367,               0.003367,               0.003367
                     70,                  2e-05,                0.87369,                      1,                0.43346,               0.003268,               0.003268,               0.003268
                     71,                  2e-05,                0.87327,                      1,                0.43384,               0.003169,               0.003169,               0.003169
                     72,                  2e-05,                0.87284,                      1,                0.43398,                0.00307,                0.00307,                0.00307
                     73,                  2e-05,                0.87241,                      1,                0.43342,               0.002971,               0.002971,               0.002971
                     74,                  2e-05,                0.87199,                      1,                0.43413,               0.002872,               0.002872,               0.002872
                     75,                  2e-05,                0.87199,                      1,                0.43348,               0.002773,               0.002773,               0.002773
                     76,                  2e-05,                0.87199,                      1,                0.43355,               0.002674,               0.002674,               0.002674
                     77,                  3e-05,                 0.8722,                      1,                0.43416,               0.002575,               0.002575,               0.002575
                     78,                  3e-05,                0.87199,                      1,                0.43407,               0.002476,               0.002476,               0.002476
