                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0142,                 2.5804,                 1.8692,                 1.4468,                0.70876,                0.32878,                0.47148,                0.25918,                0.57345,                0.26176,                 0.3455,                0.10917,                  1.432,                 5.1689,                  2.641,                 2.1015,              0.0006618,              0.0006618,              0.0006618
                      2,                0.79288,                 1.8483,                0.97825,                  1.238,                0.71426,                0.83104,                0.86664,                0.51308,                0.78688,                0.69139,                 0.8217,                0.43263,                 1.3855,                 3.0867,                 1.5043,                 1.9975,              0.0013153,              0.0013153,              0.0013153
                      3,                0.78203,                 1.7797,                0.74699,                 1.2113,                0.75249,                0.79732,                0.86974,                0.55405,                0.69804,                 0.7404,                0.80206,                0.41305,                 1.4081,                 3.4693,                 1.1132,                 1.9914,              0.0019556,              0.0019556,              0.0019556
                      4,                0.77629,                 1.7116,                0.64499,                 1.2131,                0.89689,                0.79735,                0.92805,                0.68405,                0.63876,                0.56677,                0.62219,                0.33236,                0.99332,                   4.25,                0.91607,                 1.5319,              0.0019406,              0.0019406,              0.0019406
                      5,                0.74485,                 1.6335,                0.59782,                 1.1825,                0.97532,                0.99467,                0.99282,                0.79875,                0.94286,                0.96291,                0.93967,                0.57786,                0.75253,                 2.1411,                0.52003,                 1.2922,              0.0019406,              0.0019406,              0.0019406
                      6,                0.71836,                 1.6005,                0.54885,                 1.1563,                0.96941,                0.92354,                 0.9881,                 0.7385,                0.96941,                0.92354,                0.98821,                0.63962,                0.92287,                 2.2823,                0.71728,                 1.4729,              0.0019208,              0.0019208,              0.0019208
                      7,                0.67512,                 1.5054,                0.50423,                 1.1339,                0.99468,                0.98543,                0.99458,                0.81238,                0.99468,                0.98543,                0.99458,                0.75927,                0.73675,                 1.5249,                 0.4517,                 1.2851,               0.001901,               0.001901,               0.001901
                      8,                0.67246,                  1.497,                0.48945,                 1.1341,                0.97539,                0.68212,                0.82034,                0.62479,                0.97202,                0.67947,                0.80597,                0.52783,                0.88753,                 2.5717,                 1.1035,                 1.4446,              0.0018812,              0.0018812,              0.0018812
                      9,                0.66662,                  1.508,                0.48396,                 1.1292,                0.99971,                0.39735,                0.43648,                0.37119,                0.99971,                0.39735,                  0.436,                0.30233,                0.83577,                 2.3619,                 3.1101,                 1.4428,              0.0018614,              0.0018614,              0.0018614
                     10,                0.65245,                 1.4171,                0.46497,                 1.1105,                0.99925,                      1,                  0.995,                0.85777,                0.99925,                      1,                  0.995,                0.79174,                0.65807,                 1.4101,                 0.3753,                  1.225,              0.0018416,              0.0018416,              0.0018416
                     11,                0.64339,                 1.4141,                0.45761,                 1.1055,                0.87141,                0.95364,                0.97018,                0.77908,                0.87341,                0.95954,                0.97086,                 0.7471,                0.80362,                  1.532,                0.65435,                  1.357,              0.0018218,              0.0018218,              0.0018218
