                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.16838,                0.33333,                      1,                0.06683,             0.00012852,             0.00012852,             0.00012852
                      2,                0.16088,                0.33333,                      1,                0.06787,             0.00026156,             0.00026156,             0.00026156
                      3,                0.14306,                0.33333,                      1,                0.06665,             0.00039192,             0.00039192,             0.00039192
                      4,                0.10427,                0.33333,                      1,                 0.0639,              0.0005196,              0.0005196,              0.0005196
                      5,                0.05882,                0.33333,                      1,                0.06738,             0.00064458,             0.00064458,             0.00064458
                      6,                0.01859,                0.33333,                      1,                0.08923,             0.00067866,             0.00067866,             0.00067866
                      7,                0.01102,                    0.5,                      1,                0.06848,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01276,                0.33333,                      1,                0.09167,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01674,                0.33333,                      1,                0.08331,             0.00066452,             0.00066452,             0.00066452
                     10,                0.02195,                0.33333,                      1,                0.08429,             0.00065745,             0.00065745,             0.00065745
                     11,                0.01221,                    0.5,                      1,                0.06659,             0.00065038,             0.00065038,             0.00065038
                     12,                0.02327,                0.33333,                      1,                 0.0918,             0.00064331,             0.00064331,             0.00064331
                     13,                 0.0151,                0.66667,                      1,                0.05563,             0.00063625,             0.00063625,             0.00063625
                     14,                0.01375,                0.33333,                      1,                0.07812,             0.00062918,             0.00062918,             0.00062918
                     15,                0.01702,                0.33333,                      1,                0.08154,             0.00062211,             0.00062211,             0.00062211
                     16,                0.01334,                0.33333,                      1,                0.09167,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00394,                0.33333,                      1,                0.08728,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00345,                0.16667,                      1,                0.08136,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00655,                0.16667,                      1,                0.08606,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00243,                0.33333,                      1,                0.08398,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00147,                0.33333,                      1,                0.07562,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00228,                0.33333,                      1,                0.07104,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00092,                0.33333,                      1,                0.08197,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00217,                0.33333,                      1,                0.08728,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00107,                0.33333,                      1,                0.08588,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00038,                0.33333,                      1,                0.08679,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00235,                0.33333,                      1,                0.07593,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00088,                0.33333,                      1,                0.07623,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00033,                0.33333,                      1,                0.07373,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00033,                0.33333,                      1,                0.06512,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00033,                0.33333,                      1,                0.06641,             0.00050901,             0.00050901,             0.00050901
                     32,                 0.0002,                0.33333,                      1,                0.07043,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00022,                0.33333,                      1,                0.08148,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00072,                0.33333,                      1,                0.08722,              0.0004878,              0.0004878,              0.0004878
                     35,                  8e-05,                0.33333,                      1,                 0.0907,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00371,                0.33333,                      1,                0.08508,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00142,                    0.5,                      1,                0.06982,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00457,                0.33333,                      1,                0.09009,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00151,                    0.5,                      1,                0.07788,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00142,                    0.5,                      1,                0.07758,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00038,                0.33333,                      1,                0.07849,             0.00043832,             0.00043832,             0.00043832
                     42,                 0.0003,                    0.5,                      1,                0.07373,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00016,                0.33333,                      1,                0.07581,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00014,                0.33333,                      1,                0.07581,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00012,                0.33333,                      1,                 0.0769,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00112,                0.33333,                      1,                0.08856,             0.00040298,             0.00040298,             0.00040298
                     47,                 0.0035,                0.33333,                      1,                0.08917,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00042,                0.33333,                      1,                0.08472,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00028,                0.33333,                      1,                0.08521,             0.00038178,             0.00038178,             0.00038178
                     50,                  8e-05,                0.33333,                      1,                  0.086,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00011,                0.33333,                      1,                0.08545,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00021,                0.33333,                      1,                0.08441,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00015,                0.33333,                      1,                0.08197,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00013,                0.33333,                      1,                0.08545,             0.00034643,             0.00034643,             0.00034643
                     55,                  4e-05,                0.33333,                      1,                0.08337,             0.00033936,             0.00033936,             0.00033936
                     56,                  5e-05,                0.33333,                      1,                0.08777,              0.0003323,              0.0003323,              0.0003323
                     57,                  2e-05,                0.33333,                      1,                0.08594,             0.00032523,             0.00032523,             0.00032523
                     58,                  2e-05,                0.33333,                      1,                0.08655,             0.00031816,             0.00031816,             0.00031816
                     59,                 0.0004,                0.33333,                      1,                0.08551,             0.00031109,             0.00031109,             0.00031109
                     60,                  4e-05,                0.33333,                      1,                0.08649,             0.00030402,             0.00030402,             0.00030402
