                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69771,                0.46774,                      1,                 0.7002,              7.854e-05,              7.854e-05,              7.854e-05
                      2,                 0.7114,                0.48387,                      1,                0.69824,             0.00016259,             0.00016259,             0.00016259
                      3,                 0.6907,                0.56452,                      1,                0.68823,             0.00024495,             0.00024495,             0.00024495
                      4,                 0.6589,                0.59677,                      1,                0.68848,             0.00032561,             0.00032561,             0.00032561
                      5,                0.66406,                    0.5,                      1,                0.69849,             0.00040458,             0.00040458,             0.00040458
                      6,                0.66947,                    0.5,                      1,                0.70483,             0.00048185,             0.00048185,             0.00048185
                      7,                0.64455,                0.51613,                      1,                0.68701,             0.00055742,             0.00055742,             0.00055742
                      8,                 0.6136,                    0.5,                      1,                0.71265,             0.00063129,             0.00063129,             0.00063129
                      9,                0.63682,                    0.5,                      1,                0.74683,             0.00065745,             0.00065745,             0.00065745
                     10,                0.62168,                0.51613,                      1,                0.70459,             0.00065745,             0.00065745,             0.00065745
                     11,                0.55101,                0.51613,                      1,                0.69604,             0.00065038,             0.00065038,             0.00065038
                     12,                0.56752,                0.54839,                      1,                0.71826,             0.00064331,             0.00064331,             0.00064331
                     13,                0.55894,                0.53226,                      1,                 0.7229,             0.00063625,             0.00063625,             0.00063625
                     14,                0.57408,                0.59677,                      1,                0.68359,             0.00062918,             0.00062918,             0.00062918
                     15,                0.57417,                0.48387,                      1,                0.70972,             0.00062211,             0.00062211,             0.00062211
                     16,                 0.5705,                0.51613,                      1,                0.75488,             0.00061504,             0.00061504,             0.00061504
                     17,                0.55789,                0.51613,                      1,                 0.7251,             0.00060797,             0.00060797,             0.00060797
                     18,                0.42322,                0.53226,                      1,                0.71875,              0.0006009,              0.0006009,              0.0006009
                     19,                0.45349,                0.51613,                      1,                 0.7688,             0.00059383,             0.00059383,             0.00059383
                     20,                0.56472,                0.45161,                      1,                0.78198,             0.00058677,             0.00058677,             0.00058677
                     21,                0.53274,                0.54839,                      1,                0.74097,              0.0005797,              0.0005797,              0.0005797
                     22,                0.52224,                0.51613,                      1,                0.76245,             0.00057263,             0.00057263,             0.00057263
                     23,                0.40762,                0.46774,                      1,                0.75098,             0.00056556,             0.00056556,             0.00056556
                     24,                0.42884,                0.40323,                      1,                0.81274,             0.00055849,             0.00055849,             0.00055849
                     25,                0.38951,                0.43548,                      1,                 0.7937,             0.00055142,             0.00055142,             0.00055142
                     26,                0.41644,                0.51613,                      1,                0.73877,             0.00054435,             0.00054435,             0.00054435
                     27,                 0.3575,                0.54839,                      1,                0.71777,             0.00053728,             0.00053728,             0.00053728
                     28,                0.36048,                0.58065,                      1,                0.71729,             0.00053022,             0.00053022,             0.00053022
                     29,                0.33603,                0.58065,                      1,                0.70947,             0.00052315,             0.00052315,             0.00052315
                     30,                0.40741,                0.58065,                      1,                0.70264,             0.00051608,             0.00051608,             0.00051608
                     31,                0.45314,                0.59677,                      1,                0.68726,             0.00050901,             0.00050901,             0.00050901
                     32,                0.33169,                0.48387,                      1,                0.74414,             0.00050194,             0.00050194,             0.00050194
                     33,                0.34156,                0.53226,                      1,                0.73047,             0.00049487,             0.00049487,             0.00049487
                     34,                0.30815,                0.53226,                      1,                0.73413,              0.0004878,              0.0004878,              0.0004878
                     35,                0.34089,                0.58065,                      1,                0.70288,             0.00048074,             0.00048074,             0.00048074
                     36,                0.29481,                0.51613,                      1,                0.76123,             0.00047367,             0.00047367,             0.00047367
                     37,                0.33552,                0.53226,                      1,                 0.7561,              0.0004666,              0.0004666,              0.0004666
                     38,                0.33773,                0.58065,                      1,                0.68604,             0.00045953,             0.00045953,             0.00045953
                     39,                0.40931,                 0.6129,                      1,                 0.6521,             0.00045246,             0.00045246,             0.00045246
