fold,variable,img_class,total,pred_1,pred_0
0,argmax,0,32,12,20
0,argmax,1,30,25,5
0,thr05,0,32,12,20
0,thr05,1,30,25,5
0,thr08,0,32,11,21
0,thr08,1,30,20,10
0,thr09,0,32,8,24
0,thr09,1,30,14,16
1,argmax,0,30,9,21
1,argmax,1,32,23,9
1,thr05,0,30,9,21
1,thr05,1,32,23,9
1,thr08,0,30,5,25
1,thr08,1,32,17,15
1,thr09,0,30,4,26
1,thr09,1,32,15,17
2,argmax,0,31,19,12
2,argmax,1,31,26,5
2,thr05,0,31,19,12
2,thr05,1,31,26,5
2,thr08,0,31,0,31
2,thr08,1,31,1,30
2,thr09,0,31,0,31
2,thr09,1,31,0,31
3,argmax,0,29,0,29
3,argmax,1,28,13,15
3,thr05,0,29,0,29
3,thr05,1,28,13,15
3,thr08,0,29,0,29
3,thr08,1,28,9,19
3,thr09,0,29,0,29
3,thr09,1,28,6,22
4,argmax,0,30,12,18
4,argmax,1,27,17,10
4,thr05,0,30,12,18
4,thr05,1,27,17,10
4,thr08,0,30,8,22
4,thr08,1,27,14,13
4,thr09,0,30,7,23
4,thr09,1,27,9,18
