                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98219,                 2.1284,                 1.8466,                 1.4097,                0.93963,                0.39169,                0.41218,                0.31409,                0.93963,                0.39169,                0.41309,                0.31812,                  1.928,                 3.2832,                 2.8119,                  2.333,              0.0006618,              0.0006618,              0.0006618
                      2,                0.74587,                 1.3684,                0.95691,                 1.1912,                0.87552,                0.35232,                0.41527,                0.29106,                0.86894,                0.34967,                 0.3676,                0.25363,                 1.8833,                 6.2506,                 2.5282,                 2.7198,              0.0013153,              0.0013153,              0.0013153
                      3,                0.74938,                 1.3493,                0.72861,                 1.1786,                0.74809,                0.45628,                0.53207,                 0.3779,                0.98339,                0.39603,                0.46566,                0.36091,                 1.6435,                 2.6894,                  2.031,                 2.3914,              0.0019556,              0.0019556,              0.0019556
                      4,                0.73853,                 1.3163,                0.63686,                 1.1771,                0.80559,                0.68058,                0.81272,                0.65107,                0.71899,                0.58411,                0.67537,                0.44164,                0.71753,                  3.464,                 1.3307,                 1.2721,              0.0019406,              0.0019406,              0.0019406
                      5,                0.68859,                 1.2075,                0.56039,                 1.1328,                0.86973,                0.88431,                0.93888,                0.79203,                0.85987,                0.87947,                0.93655,                0.76057,                0.66992,                 1.6639,                0.91843,                 1.1927,              0.0019406,              0.0019406,              0.0019406
                      6,                0.67849,                 1.2025,                0.53346,                 1.1218,                 0.8613,                0.72185,                0.86065,                0.67502,                0.86256,                0.71921,                0.82524,                0.59254,                0.84315,                 3.3275,                 1.0588,                 1.3973,              0.0019208,              0.0019208,              0.0019208
                      7,                 0.6632,                 1.1797,                0.51011,                 1.1194,                0.98154,                0.91567,                0.97806,                0.81989,                0.98154,                0.91567,                0.97806,                0.81515,                0.68276,                 1.2133,                0.63455,                 1.2667,               0.001901,               0.001901,               0.001901
                      8,                0.63314,                 1.1479,                0.47204,                 1.0981,                0.85588,                0.98013,                0.92982,                0.78922,                0.85588,                0.98013,                0.92982,                 0.7726,                0.62645,                 1.1353,                0.59932,                 1.1647,              0.0018812,              0.0018812,              0.0018812
                      9,                0.63033,                 1.1384,                0.46697,                 1.0942,                0.80475,                0.51258,                 0.6574,                0.53884,                0.80267,                0.51126,                0.65341,                0.49805,                0.81707,                 2.4948,                 2.2644,                  1.381,              0.0018614,              0.0018614,              0.0018614
                     10,                0.61941,                 1.1097,                0.45945,                 1.0889,                0.99938,                0.39735,                0.43879,                0.38569,                0.99938,                0.39735,                0.43891,                0.37797,                0.92816,                 2.2261,                 2.6532,                  1.493,              0.0018416,              0.0018416,              0.0018416
                     11,                 0.6234,                 1.1327,                0.45245,                 1.0881,                0.99969,                0.39735,                0.40994,                0.36349,                0.99969,                0.39735,                0.40575,                0.35885,                 2.2376,                 2.6849,                 2.6077,                 3.2763,              0.0018218,              0.0018218,              0.0018218
                     12,                0.61349,                 1.1026,                0.43539,                 1.0805,                   0.99,                      1,                0.99485,                0.88941,                   0.99,                      1,                0.99485,                0.86404,                0.48745,                0.97759,                0.35248,                 1.0381,               0.001802,               0.001802,               0.001802
                     13,                0.60379,                 1.0619,                0.41285,                 1.0725,                      1,                0.99843,                  0.995,                0.87901,                      1,                0.99843,                  0.995,                0.87753,                0.55375,                 1.0155,                0.31207,                 1.0777,              0.0017822,              0.0017822,              0.0017822
                     14,                0.59277,                 1.0255,                0.40263,                 1.0643,                0.99988,                      1,                  0.995,                0.89189,                0.99988,                      1,                  0.995,                0.88481,                0.47406,                0.91509,                0.28085,                 1.0263,              0.0017624,              0.0017624,              0.0017624
                     15,                0.59306,                 1.0448,                0.40804,                 1.0662,                0.93453,                0.94533,                0.98542,                0.79266,                0.93453,                0.94533,                0.98055,                 0.7521,                 0.8155,                 1.5187,                 0.5504,                 1.3279,              0.0017426,              0.0017426,              0.0017426
                     16,                0.58413,                 1.0126,                0.40019,                 1.0564,                 0.9999,                      1,                  0.995,                0.91141,                 0.9999,                      1,                  0.995,                0.89958,                0.43443,                0.79404,                0.26007,                0.99489,              0.0017228,              0.0017228,              0.0017228
                     17,                0.57184,                 1.0107,                0.38713,                 1.0527,                0.94729,                0.90459,                  0.962,                0.81504,                0.94729,                0.90459,                0.96246,                0.80041,                0.65285,                  1.158,                0.52336,                  1.174,               0.001703,               0.001703,               0.001703
                     18,                0.56007,                 1.0042,                0.37773,                  1.045,                0.99988,                      1,                  0.995,                 0.8953,                0.99988,                      1,                  0.995,                0.88761,                0.49329,                0.82753,                0.28893,                 1.0413,              0.0016832,              0.0016832,              0.0016832
                     19,                0.56906,                0.99588,                 0.3717,                 1.0497,                0.98201,                0.93999,                0.99001,                0.82532,                0.98201,                0.93999,                0.98902,                0.82531,                  0.753,                 1.1344,                0.45918,                  1.351,              0.0016634,              0.0016634,              0.0016634
                     20,                  0.563,                0.99135,                0.36465,                 1.0473,                0.98828,                0.99735,                0.99417,                0.88936,                0.98828,                0.99735,                0.99417,                0.87419,                0.49826,                 0.9501,                0.30345,                 1.0477,              0.0016436,              0.0016436,              0.0016436
                     21,                0.55725,                0.97697,                0.36755,                 1.0435,                0.99991,                      1,                  0.995,                0.90741,                0.99991,                      1,                  0.995,                0.89604,                0.43237,                0.77512,                0.24078,                 1.0106,              0.0016238,              0.0016238,              0.0016238
                     22,                0.54581,                0.97936,                0.35753,                  1.034,                0.99967,                      1,                  0.995,                0.89577,                0.99967,                      1,                  0.995,                0.88735,                0.47498,                0.86068,                 0.2955,                 1.0255,               0.001604,               0.001604,               0.001604
                     23,                0.55357,                0.99593,                0.36278,                 1.0423,                 0.9999,                      1,                  0.995,                0.90499,                 0.9999,                      1,                  0.995,                0.89859,                0.45842,                0.83097,                0.25533,                 1.0255,              0.0015842,              0.0015842,              0.0015842
                     24,                0.54055,                0.95898,                0.35096,                 1.0268,                0.99947,                      1,                  0.995,                0.90854,                0.99947,                      1,                  0.995,                  0.897,                0.43143,                0.77221,                0.25488,                0.98869,              0.0015644,              0.0015644,              0.0015644
                     25,                0.54245,                0.96082,                0.34758,                 1.0264,                0.99992,                      1,                  0.995,                 0.8989,                0.99992,                      1,                  0.995,                0.89965,                0.47548,                0.80651,                0.27582,                 1.0204,              0.0015446,              0.0015446,              0.0015446
                     26,                0.53419,                0.94991,                0.34455,                  1.024,                0.99977,                      1,                  0.995,                 0.8983,                0.99977,                      1,                  0.995,                0.89712,                0.44011,                0.75378,                0.28198,                0.99631,              0.0015248,              0.0015248,              0.0015248
                     27,                0.52493,                0.94211,                0.34111,                 1.0212,                0.98791,                      1,                0.99418,                 0.9016,                0.98791,                      1,                0.99418,                0.87896,                0.46913,                0.91709,                0.28468,                 1.0329,               0.001505,               0.001505,               0.001505
