                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70321,                0.48387,                      1,                0.69995,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                0.70437,                0.48387,                      1,                0.69922,             0.00020501,             0.00020501,             0.00020501
                      3,                0.69524,                    0.5,                      1,                0.69653,             0.00030794,             0.00030794,             0.00030794
                      4,                0.67656,                0.54839,                      1,                0.68408,             0.00040875,             0.00040875,             0.00040875
                      5,                0.67705,                 0.6129,                      1,                0.68335,             0.00050744,             0.00050744,             0.00050744
                      6,                0.63709,                0.56452,                      1,                0.68774,               0.000604,               0.000604,               0.000604
                      7,                0.62347,                 0.6129,                      1,                0.66626,             0.00067159,             0.00067159,             0.00067159
                      8,                0.62921,                    0.5,                      1,                0.73291,             0.00067159,             0.00067159,             0.00067159
                      9,                0.58583,                0.51613,                      1,                 0.6814,             0.00066452,             0.00066452,             0.00066452
                     10,                0.60193,                    0.5,                      1,                0.71021,             0.00065745,             0.00065745,             0.00065745
                     11,                 0.6004,                    0.5,                      1,                0.71777,             0.00065038,             0.00065038,             0.00065038
                     12,                0.52215,                0.59677,                      1,                0.68579,             0.00064331,             0.00064331,             0.00064331
                     13,                0.51332,                0.56452,                      1,                0.70386,             0.00063625,             0.00063625,             0.00063625
                     14,                0.52769,                0.62903,                      1,                0.65112,             0.00062918,             0.00062918,             0.00062918
                     15,                0.55009,                0.51613,                      1,                 0.7002,             0.00062211,             0.00062211,             0.00062211
                     16,                0.59055,                0.64516,                      1,                0.64575,             0.00061504,             0.00061504,             0.00061504
                     17,                0.54764,                0.48387,                      1,                0.74561,             0.00060797,             0.00060797,             0.00060797
                     18,                0.55655,                0.51613,                      1,                0.69678,              0.0006009,              0.0006009,              0.0006009
                     19,                0.50583,                0.54839,                      1,                0.70605,             0.00059383,             0.00059383,             0.00059383
                     20,                0.46657,                0.64516,                      1,                 0.6499,             0.00058677,             0.00058677,             0.00058677
                     21,                0.48381,                0.56452,                      1,                0.68311,              0.0005797,              0.0005797,              0.0005797
                     22,                0.45184,                0.59677,                      1,                0.68848,             0.00057263,             0.00057263,             0.00057263
