cow,len_goodframes
1023,635
1061,679
1074,475
1081,19
1084,382
1089,637
1098,671
1100,169
1102,144
1127,485
1139,471
1144,625
1148,488
1151,577
1153,443
1159,473
1163,86
1164,464
1168,783
1170,536
1171,255
1173,482
1177,449
1192,759
1198,181
1200,72
1207,181
1212,517
1219,442
1231,634
1233,1152
1240,595
1243,448
1245,560
1246,348
1258,252
1259,622
1263,166
1266,352
1267,353
1273,325
1274,760
1276,367
1277,807
1279,353
1282,483
1305,520
1314,3
1319,187
1321,582
1380,528
1389,460
1391,105
1396,621
1397,679
1398,508
1399,600
1401,732
1404,526
1409,140
1410,844
1412,291
1414,402
1417,544
1419,898
1422,399
1423,865
1424,659
1432,1067
1434,611
1441,471
1442,1534
1443,415
1456,97
1457,761
1458,356
1460,457
1461,719
1462,591
1463,535
1468,0
1470,869
1471,327
1472,534
1473,465
1475,323
1476,218
1478,452
1479,168
1483,26
1486,529
1487,770
1495,715
1501,255
1503,3
1504,464
1511,0
921,0
935,2
962,285
