cow,filename,group,idx
1057,1057_20231117_140050_frame_621,0,0
1057,1057_20231117_140050_frame_286,1,0
1057,1057_20231117_140050_frame_611,2,0
1057,1057_20231117_140050_frame_610,3,0
1057,1057_20231117_140050_frame_629,4,0
1057,1057_20231117_140050_frame_633,5,0
970,970_20231117_150812_frame_629,6,0
970,970_20231117_150812_frame_622,7,0
970,970_20231117_150812_frame_222,8,0
970,970_20231117_150812_frame_551,9,0
970,970_20231117_150812_frame_632,10,0
970,970_20231117_150812_frame_613,11,0
764,764_20231117_144922_frame_812,12,0
764,764_20231117_144922_frame_696,13,0
764,764_20231117_144922_frame_769,14,0
764,764_20231117_144922_frame_843,15,0
764,764_20231117_144922_frame_809,16,0
764,764_20231117_144922_frame_689,17,0
1223,1223_20231117_110830_frame_760,18,0
1223,1223_20231117_110830_frame_551,19,0
1223,1223_20231117_110830_frame_639,20,0
1223,1223_20231117_110830_frame_785,21,0
1223,1223_20231117_110830_frame_745,22,0
1223,1223_20231117_110830_frame_536,23,0
1116,1116_20231117_141845_frame_248,24,0
1116,1116_20231117_141845_frame_245,25,0
1116,1116_20231117_141845_frame_274,26,0
1116,1116_20231117_141845_frame_278,27,0
1116,1116_20231117_141845_frame_916,28,0
1116,1116_20231117_141845_frame_224,29,0
808,808_20231117_173436_frame_42,0,1
808,808_20231117_173436_frame_14,1,1
808,808_20231117_173436_frame_178,2,1
808,808_20231117_173436_frame_183,3,1
808,808_20231117_173436_frame_381,4,1
808,808_20231117_173436_frame_364,5,1
723,723_20231117_175039_frame_338,6,1
723,723_20231117_175039_frame_190,7,1
723,723_20231117_175039_frame_133,8,1
723,723_20231117_175039_frame_154,9,1
723,723_20231117_175039_frame_360,10,1
723,723_20231117_175039_frame_274,11,1
948,948_20231117_135427_frame_119,12,1
948,948_20231117_135427_frame_151,13,1
948,948_20231117_135427_frame_92,14,1
948,948_20231117_135427_frame_149,15,1
948,948_20231117_135427_frame_123,16,1
948,948_20231117_135427_frame_86,17,1
1329,1329_20231117_132115_frame_492,18,1
1329,1329_20231117_132115_frame_85,19,1
1329,1329_20231117_132115_frame_260,20,1
1329,1329_20231117_132115_frame_487,21,1
1329,1329_20231117_132115_frame_20,22,1
1329,1329_20231117_132115_frame_104,23,1
1003,1003_20231117_163646_frame_4,24,1
1003,1003_20231117_163646_frame_265,25,1
1003,1003_20231117_163646_frame_219,26,1
1003,1003_20231117_163646_frame_47,27,1
1003,1003_20231117_163646_frame_144,28,1
1003,1003_20231117_163646_frame_264,29,1
868,868_20231117_142436_frame_157,0,2
868,868_20231117_142436_frame_152,1,2
868,868_20231117_142436_frame_226,2,2
868,868_20231117_142436_frame_316,3,2
868,868_20231117_142436_frame_147,4,2
868,868_20231117_142436_frame_48,5,2
1288,1288_20231117_111541_frame_371,6,2
1288,1288_20231117_111541_frame_294,7,2
1288,1288_20231117_111541_frame_353,8,2
1288,1288_20231117_111541_frame_333,9,2
1288,1288_20231117_111541_frame_469,10,2
1288,1288_20231117_111541_frame_388,11,2
856,856_20231117_152520_frame_39,12,2
856,856_20231117_152520_frame_412,13,2
856,856_20231117_152520_frame_42,14,2
856,856_20231117_152520_frame_348,15,2
856,856_20231117_152520_frame_379,16,2
856,856_20231117_152520_frame_51,17,2
1320,1320_20231117_132737_frame_326,18,2
1320,1320_20231117_132737_frame_226,19,2
1320,1320_20231117_132737_frame_236,20,2
1320,1320_20231117_132737_frame_307,21,2
1320,1320_20231117_132737_frame_225,22,2
1320,1320_20231117_132737_frame_340,23,2
1261,1261_20231117_134027_frame_210,24,2
1261,1261_20231117_134027_frame_564,25,2
1261,1261_20231117_134027_frame_545,26,2
1261,1261_20231117_134027_frame_243,27,2
1261,1261_20231117_134027_frame_324,28,2
1261,1261_20231117_134027_frame_64,29,2
627,627_20231117_165940_frame_654,0,3
627,627_20231117_165940_frame_691,1,3
627,627_20231117_165940_frame_690,2,3
627,627_20231117_165940_frame_406,3,3
627,627_20231117_165940_frame_662,4,3
627,627_20231117_165940_frame_407,5,3
1291,1291_20231117_112153_frame_276,6,3
1291,1291_20231117_112153_frame_207,7,3
1291,1291_20231117_112153_frame_382,8,3
1291,1291_20231117_112153_frame_158,9,3
1291,1291_20231117_112153_frame_91,10,3
1291,1291_20231117_112153_frame_279,11,3
1281,1281_20231117_111109_frame_714,12,3
1281,1281_20231117_111109_frame_757,13,3
1281,1281_20231117_111109_frame_782,14,3
1281,1281_20231117_111109_frame_554,15,3
1281,1281_20231117_111109_frame_586,16,3
1281,1281_20231117_111109_frame_702,17,3
1293,1293_20231117_112814_frame_184,18,3
1293,1293_20231117_112814_frame_141,19,3
1293,1293_20231117_112814_frame_52,20,3
1293,1293_20231117_112814_frame_201,21,3
1293,1293_20231117_112814_frame_381,22,3
1293,1293_20231117_112814_frame_337,23,3
978,978_20231117_170827_frame_312,24,3
978,978_20231117_170827_frame_285,25,3
978,978_20231117_170827_frame_209,26,3
978,978_20231117_170827_frame_148,27,3
978,978_20231117_170827_frame_440,28,3
978,978_20231117_170827_frame_375,29,3
1376,1376_20231117_123958_frame_499,0,4
1376,1376_20231117_123958_frame_253,1,4
1376,1376_20231117_123958_frame_166,2,4
1376,1376_20231117_123958_frame_189,3,4
1376,1376_20231117_123958_frame_27,4,4
1376,1376_20231117_123958_frame_444,5,4
1315,1315_20231117_115302_frame_272,6,4
1315,1315_20231117_115302_frame_73,7,4
1315,1315_20231117_115302_frame_156,8,4
1315,1315_20231117_115302_frame_180,9,4
1315,1315_20231117_115302_frame_334,10,4
1315,1315_20231117_115302_frame_402,11,4
729,729_20231117_112927_frame_446,12,4
729,729_20231117_112927_frame_377,13,4
729,729_20231117_112927_frame_28,14,4
729,729_20231117_112927_frame_145,15,4
729,729_20231117_112927_frame_275,16,4
729,729_20231117_112927_frame_388,17,4
915,915_20231117_123346_frame_864,18,4
915,915_20231117_123346_frame_940,19,4
915,915_20231117_123346_frame_92,20,4
915,915_20231117_123346_frame_34,21,4
915,915_20231117_123346_frame_288,22,4
915,915_20231117_123346_frame_821,23,4
861,861_20231117_122436_frame_94,24,4
861,861_20231117_122436_frame_66,25,4
861,861_20231117_122436_frame_57,26,4
861,861_20231117_122436_frame_401,27,4
861,861_20231117_122436_frame_386,28,4
861,861_20231117_122436_frame_47,29,4
1335,1335_20231117_121441_frame_289,0,5
1335,1335_20231117_121441_frame_63,1,5
1335,1335_20231117_121441_frame_303,2,5
1335,1335_20231117_121441_frame_392,3,5
1335,1335_20231117_121441_frame_329,4,5
