cow,farmname,robotside,filename,directory,date,time,size,computer
0764,laufenberg,right,0764_20231117_144922.bag,videos_1,20231117,14:49:54,3807979957,maria
0902,laufenberg,right,0902_20231117_142952.bag,videos_1,20231117,14:30:30,4303784100,maria
0970,laufenberg,right,0970_20231117_150812.bag,videos_1,20231117,15:08:38,2800097357,maria
0973,laufenberg,right,0973_20231117_135700.bag,videos_1,20231117,13:57:48,5620008570,maria
1116,laufenberg,right,1116_20231117_141845.bag,videos_1,20231117,14:19:42,6708885177,maria
1184,laufenberg,right,1184_20231117_172549.bag,videos_1,20231117,17:26:08,1592799059,maria
1223,laufenberg,right,1223_20231117_110830.bag,videos_1,20231117,11:09:04,3923648168,maria
1223,laufenberg,right,1223_20231117_152133.bag,videos_1,20231117,15:21:58,2975593953,maria
1223,laufenberg,right,1223_20231117_152630.bag,videos_1,20231117,15:26:56,3051376574,maria
1223,laufenberg,right,1223_20231117_153008.bag,videos_1,20231117,15:30:12,383030603,maria
1223,laufenberg,right,1223_20231117_160714.bag,videos_1,20231117,16:07:28,1424044502,maria
1223,laufenberg,right,1223_20231117_162703.bag,videos_1,20231117,16:27:16,1396124589,maria
1236,laufenberg,right,1236_20231117_142505.bag,videos_1,20231117,14:25:42,4112333268,maria
1261,laufenberg,right,1261_20231117_134027.bag,videos_1,20231117,13:41:08,4774026248,maria
1262,laufenberg,right,1262_20231117_121934.bag,videos_1,20231117,12:19:56,2376087276,maria
1271,laufenberg,right,1271_20231117_164614.bag,videos_1,20231117,16:46:48,3830368406,maria
1281,laufenberg,right,1281_20231117_111109.bag,videos_1,20231117,11:11:42,3761340170,maria
1288,laufenberg,right,1288_20231117_111541.bag,videos_1,20231117,11:16:00,2187082098,maria
1291,laufenberg,right,1291_20231117_112153.bag,videos_1,20231117,11:22:08,1539712713,maria
1293,laufenberg,right,1293_20231117_112814.bag,videos_1,20231117,11:28:30,1615495334,maria
1295,laufenberg,right,1295_20231117_130928.bag,videos_1,20231117,13:09:54,2950439772,maria
